model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,mushroom,0,0.9948979591836736,0.9892167990919408,0.995079950799508,0.9896047052386816,7,11.0,0.42857142857142855,1.1428571428571428,1.5714285714285714,0.8607843070806813,0.99936157428271,0.354553803466401,0.35676678,0.143736009,0.01401528,1.0,1.0,2.4818766242648063,2.5424354243542435,14.0,2.0,14.0,2.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9923469387755102,0.98950056753689,0.992619926199262,0.9898782656271372,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8629566423976371,0.9993241974845128,0.3567422865740469,0.129241714,0.155257158,0.014427943,1.0,1.0,2.4971960060183287,2.4034440344403443,15.0,1.0,15.0,1.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9936061381074168,0.9893617021276596,0.9938423645320196,0.9897428884026258,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8612562364868354,0.9992868403273027,0.3552281963113473,0.076605698,0.114288456,0.0143766959999999,1.0,1.0,2.486597374179431,2.498768472906404,16.0,0.0,16.0,0.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9872122762148338,0.9900709219858156,0.9876847290640394,0.9904266958424508,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8609214556523792,0.9993989707373876,0.3546225382932166,0.085008704,0.123024453,0.017344842,1.0,1.0,2.4823577680525166,2.5369458128078817,13.0,3.0,13.0,3.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9884910485933504,0.9899290780141844,0.9889162561576356,0.9902899343544858,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8623567183485256,0.9994363868640566,0.3559120037511722,0.079500157,0.1194707909999999,0.014675645,1.0,1.0,2.491384026258206,2.455665024630542,14.0,2.0,14.0,2.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.985969387755102,0.990209988649262,0.986469864698647,0.9905621665982766,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8630544546402729,0.99936157428271,0.3567422865740469,0.075562061,0.110958461,0.014245041,1.0,1.0,2.4971960060183287,2.4034440344403443,14.0,2.0,14.0,2.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9910714285714286,0.9896424517593644,0.9913793103448276,0.9900164113785558,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8615344335189183,0.9993617420687064,0.3552477336667708,0.09376276,0.1439319379999999,0.019748365,1.0,1.0,2.486734135667396,2.497536945812808,14.0,2.0,14.0,2.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9923469387755102,0.98950056753689,0.992619926199262,0.9898782656271372,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8612373369316675,0.9992868403273027,0.3551790843542998,0.135182295,0.168593993,0.0144251149999999,1.0,1.0,2.486253590480098,2.5018450184501844,16.0,0.0,16.0,0.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9834183673469388,0.9904937570942112,0.9839901477832512,0.9908369803063456,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8621019704088163,0.9993617420687064,0.3557947796186308,0.076511142,0.114909033,0.014574035,1.0,1.0,2.490563457330416,2.4630541871921183,14.0,2.0,14.0,2.0,C2,C2,C2
complex,no_discretization,mushroom,0,0.9884910485933504,0.9899290780141844,0.9889162561576356,0.9902899343544858,7,12.0,0.5714285714285714,1.1428571428571428,1.7142857142857142,0.8619751537273538,0.9993989707373876,0.3556384807752422,0.073843006,0.109717581,0.014382747,1.0,1.0,2.489469365426696,2.4729064039408866,14.0,2.0,0.0,0.0,C2,C2,C2
