model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,nursery,0,0.8132394035656493,0.6509658145749156,0.929783950617284,0.9252400548696844,134,709.0,5.291044776119403,0,5.291044776119403,0.5158120094403209,0.9354105872389644,0.0363070194296009,42.00834012031555,53.003113257,1.7889441640000003,1.0,1.0,4.865140603566529,4.7253086419753085,2693.0,276.0,2693.0,276.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.5974746770451692,0.6355689296579127,0.9066358024691358,0.9237825788751716,149,810.0,5.436241610738255,0,5.436241610738255,0.5120532681089132,0.9316050461683868,0.0341215096528295,47.23347616195679,58.23931816,1.943501317,1.0,1.0,5.084104938271605,5.162037037037037,2628.0,300.0,1959.0,223.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.7912632004076676,0.6331623505139522,0.925925925925926,0.9223251028806584,144,786.0,5.458333333333333,0,5.458333333333333,0.5176402469427833,0.9425038953335378,0.0352241226566072,49.36357378959656,59.84754421299999,1.9113114760000005,1.0,1.0,5.07227366255144,5.229938271604938,2604.0,298.0,2604.0,298.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.8103784322094182,0.623193299198653,0.9351851851851852,0.923954046639232,159,863.0,5.427672955974843,0,5.427672955974843,0.5143074134811665,0.9374928003985076,0.0338654226087256,54.5784866809845,65.818857309,2.1134583680000003,1.0,1.0,5.38460219478738,5.344135802469136,2631.0,302.0,2631.0,302.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.7670175933154075,0.6319974348458748,0.9228395061728396,0.9238683127572016,149,809.0,5.429530201342282,0,5.429530201342282,0.5105389654164225,0.9353905496808298,0.0341266882094622,54.98399710655213,63.86007395099999,2.067157795,1.0,1.0,5.084876543209877,5.003086419753086,2777.0,290.0,2777.0,290.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.7414780412467475,0.6157880184989116,0.9182098765432098,0.924039780521262,150,805.0,5.366666666666666,0,5.366666666666666,0.5159052253678185,0.9390945214274896,0.0370496113397347,57.10930991172791,68.43895827700001,2.095661627,1.0,1.0,5.55744170096022,5.841049382716049,2880.0,322.0,2880.0,322.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.7849406720531539,0.6304772921216999,0.9112654320987654,0.9206104252400548,129,682.0,5.286821705426356,0,5.286821705426356,0.5142832343071494,0.9310599876825848,0.0365571931391627,41.07726001739502,50.515748464,1.849076083,1.0,1.0,4.715877914951989,4.75925925925926,2780.0,294.0,2780.0,294.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.6099624751207514,0.6224278943161359,0.9266975308641976,0.9267832647462276,141,752.0,5.333333333333333,0,5.333333333333333,0.5158585326686463,0.9387080430027674,0.0365658047067293,51.60093712806702,62.799491868,2.049456127,1.0,1.0,5.155778463648834,5.124228395061729,2626.0,305.0,2626.0,305.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.7568940588438235,0.6340184459802254,0.910493827160494,0.9243827160493828,146,783.0,5.363013698630137,0,5.363013698630137,0.5177812016411358,0.9420562902517128,0.0356858475675066,51.33283829689026,62.04567433300001,1.966872977,1.0,1.0,5.210133744855967,5.155092592592593,2609.0,304.0,2609.0,304.0,C2,C2,C2
at_least_M-of-N,no_discretization,nursery,0,0.7839711670697586,0.638978637733406,0.910493827160494,0.9205246913580248,151,826.0,5.470198675496689,0,5.470198675496689,0.515969611284845,0.9379147207240192,0.0328712788088554,48.9123957157135,58.305357901,1.955836671,1.0,1.0,4.963563100137174,4.681327160493828,2666.0,299.0,2666.0,299.0,C2,C2,C2
