model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,nursery,0,0.698063278224778,0.5449831686937704,0.9074074074074074,0.8858024691358025,122,609.0,2.0,2.9918032786885247,4.991803278688525,0.5123695634293329,0.903300477853728,0.0663306179585779,65.594989845,70.47728376300002,3.422762036999999,1.0,1.0,8.092335390946502,8.084104938271604,3667.0,401.0,3667.0,401.0,C2,C2,C2
complex,no_discretization,nursery,0,0.5380049272532886,0.5469511702986278,0.8742283950617284,0.8872599451303155,125,635.0,2.216,2.864,5.08,0.5132142103354592,0.9116934865433668,0.0617469135802469,65.870986174,70.15596739400002,3.293850566,1.0,1.0,7.718364197530864,7.729166666666667,3554.0,402.0,2332.0,264.0,C2,C2,C2
complex,no_discretization,nursery,0,0.6878165477636107,0.5522976140737522,0.8858024691358025,0.8906035665294925,133,683.0,2.1954887218045114,2.9398496240601504,5.135338345864661,0.5062205785541057,0.9038848818162324,0.0597191280670812,71.293623355,75.70550562200002,3.3479870340000004,1.0,1.0,7.942644032921811,8.166666666666666,3570.0,403.0,3570.0,403.0,C2,C2,C2
complex,no_discretization,nursery,0,0.6870718135976351,0.5469394493679582,0.8935185185185185,0.8890603566529492,131,667.0,2.236641221374046,2.854961832061069,5.091603053435114,0.5124842197950084,0.9090041511815986,0.062645289479471,71.308127668,75.79489310900003,3.684557772999999,1.0,1.0,8.2065329218107,8.29861111111111,3730.0,418.0,3730.0,418.0,C2,C2,C2
complex,no_discretization,nursery,0,0.6796542053372655,0.5420214470583326,0.8850308641975309,0.8816015089163237,133,671.0,2.2030075187969924,2.8421052631578947,5.045112781954887,0.505317872881564,0.9025630539473096,0.0617967243210907,70.730623479,75.434944858,3.569286173,1.0,1.0,8.218964334705076,7.972222222222222,3668.0,396.0,3668.0,396.0,C2,C2,C2
complex,no_discretization,nursery,0,0.6780091358081944,0.5441276631677778,0.8819444444444444,0.8845164609053497,133,666.0,2.112781954887218,2.8947368421052633,5.007518796992481,0.511142635548337,0.9053055382495848,0.0657088967274152,70.98810142,76.78588881199998,3.797994135,1.0,1.0,8.739283264746227,9.020833333333334,3753.0,407.0,3753.0,407.0,C2,C2,C2
complex,no_discretization,nursery,0,0.69235849228951,0.5505325874649851,0.8912037037037037,0.8898319615912208,126,637.0,2.1825396825396823,2.873015873015873,5.055555555555555,0.5100257647738798,0.9036903492456378,0.0635553432621333,68.572970808,73.30978023000003,3.511958855,1.0,1.0,8.007973251028806,8.253858024691358,3797.0,415.0,3797.0,415.0,C2,C2,C2
complex,no_discretization,nursery,0,0.5470018128573421,0.5473089340038493,0.8888888888888888,0.8858024691358025,116,577.0,2.189655172413793,2.7844827586206895,4.974137931034483,0.5120438352500228,0.901867295675953,0.0665058417293411,65.028574554,69.44625739700001,3.5070713279999994,1.0,1.0,7.714677640603567,7.8503086419753085,3654.0,414.0,3654.0,414.0,C2,C2,C2
complex,no_discretization,nursery,0,0.6698790780717416,0.5435098569052724,0.871141975308642,0.883659122085048,137,699.0,2.1605839416058394,2.9416058394160585,5.102189781021898,0.5100754093435177,0.9089933405150278,0.0618954822624733,74.334029017,79.19653374900003,3.6449423220000017,1.0,1.0,8.479681069958847,8.167438271604938,3777.0,419.0,3777.0,419.0,C2,C2,C2
complex,no_discretization,nursery,0,0.6699400104329681,0.5415050494641386,0.8719135802469136,0.8808299039780522,116,581.0,2.2844827586206895,2.7241379310344827,5.008620689655173,0.5120113445319817,0.9027710781209748,0.065109709805591,63.838364721,66.92589477799999,3.3754558140000004,1.0,1.0,7.55272633744856,6.954475308641976,3731.0,417.0,3731.0,417.0,C2,C2,C2
