model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,sonar,0.0,0.6136363636363636,0.9942528735632185,0.6190476190476191,0.9946524064171124,34,37.0,0.14705882352941177,0.9411764705882353,1.088235294117647,0.5680409060175796,1.0,0.0677886127713117,0.0622422695159912,0.055312888,0.0059217149999999,0.9705882352941176,0.9705882352941176,2.304812834224599,2.761904761904762,0.0,10.0,0.0,6.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.06060606060606061,0.5727272727272728,0.9942528735632185,0.5714285714285714,0.9946524064171124,33,47.0,0.42424242424242425,0.9393939393939394,1.4242424242424243,0.6024747474747475,1.0,0.1004699400421325,0.1676027774810791,0.0746288319999999,0.012097543,1.0,1.0,3.3155080213903743,3.142857142857143,0.0,8.0,0.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.0,0.6636363636363636,1.0,0.6666666666666666,1.0,37,41.0,0.08108108108108109,1.027027027027027,1.1081081081081081,0.5684032308170239,1.0,0.0687960687960688,0.0754125118255615,0.054563815,0.006081934,1.0,0.8378378378378378,2.5454545454545454,3.809523809523809,0.0,14.0,0.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.0,0.898989898989899,1.0,0.9,1.0,40,42.0,0.05,1.0,1.05,0.5563977272727271,1.0,0.0565159574468085,0.0598785877227783,0.05333758,0.00453506,1.0,1.0,2.2606382978723403,2.15,0.0,8.0,0.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,39,48.0,0.3076923076923077,0.9230769230769231,1.2307692307692308,0.5809699559699563,1.0,0.0804881393116686,0.1403560638427734,0.051619622,0.009103231,0.9743589743589745,0.9743589743589745,3.1390374331550803,3.6666666666666665,0.0,8.0,0.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.0,0.6090909090909091,0.9942528735632185,0.6190476190476191,0.9946524064171124,40,41.0,0.025,1.0,1.025,0.5577859195402299,1.0,0.0578877005347593,0.0570545196533203,0.050939071,0.0054611919999999,1.0,0.85,2.3155080213903743,2.2857142857142856,0.0,9.0,0.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.08333333333333333,0.759090909090909,1.0,0.7619047619047619,1.0,36,58.0,0.25,1.2777777777777777,1.6111111111111112,0.5901724137931036,1.0,0.0903149138443255,0.1272075176239013,0.050469875,0.007011283,1.0,1.0,3.251336898395722,3.761904761904762,0.0,7.0,0.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.046511627906976744,0.6590909090909092,0.9942528735632185,0.6666666666666666,0.9946524064171124,43,49.0,0.23255813953488372,0.8604651162790697,1.1395348837209303,0.5701510291365945,1.0,0.0701405297848525,0.1015229225158691,0.030540835,0.004874804,0.9767441860465116,0.9767441860465116,3.016042780748663,2.571428571428572,0.0,8.0,0.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.0,0.7,1.0,0.7142857142857143,1.0,40,42.0,0.05,1.0,1.05,0.5580186781609198,1.0,0.0585561497326203,0.0614221096038818,0.053910986,0.005919937,1.0,0.85,2.342245989304813,2.4285714285714284,0.0,9.0,0.0,7.0,C2,C2,C2
at_least_M-of-N,no_discretization,sonar,0.06060606060606061,0.595959595959596,0.994318181818182,0.6,0.9946808510638298,33,38.0,0.18181818181818182,0.9090909090909091,1.1515151515151516,0.5760881542699726,1.0,0.0757575757575757,0.1074171066284179,0.0312352159999999,0.006900546,1.0,1.0,2.5,2.45,0.0,8.0,0.0,2.0,C2,C2,C2
