model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,sonar,0,0.6136363636363636,0.9942528735632185,0.6190476190476191,0.9946524064171124,34,37.0,0.058823529411764705,1.0294117647058822,1.088235294117647,0.5680409060175796,1.0,0.0677886127713117,16.213030283,31.542819421,0.0043889789999999,0.9705882352941176,0.9705882352941176,2.304812834224599,2.761904761904762,0.0,10.0,0.0,6.0,C2,C2,C2
complex,no_discretization,sonar,0,0.5727272727272728,0.9942528735632185,0.5714285714285714,0.9946524064171124,34,49.0,0.29411764705882354,1.1470588235294117,1.4411764705882353,0.6032623394185261,1.0,0.1016042780748662,18.264055493,35.893315857,0.003657043,1.0,1.0,3.4545454545454546,3.238095238095238,0.0,8.0,0.0,2.0,C2,C2,C2
complex,no_discretization,sonar,0,0.6636363636363636,1.0,0.6666666666666666,1.0,37,41.0,0.02702702702702703,1.0810810810810811,1.1081081081081081,0.5684032308170239,1.0,0.0687960687960688,13.340821536,23.716603863000003,0.003617046,1.0,0.8378378378378378,2.5454545454545454,3.809523809523809,0.0,14.0,0.0,7.0,C2,C2,C2
complex,no_discretization,sonar,0,0.898989898989899,1.0,0.9,1.0,40,42.0,0.0,1.05,1.05,0.5563977272727271,1.0,0.0565159574468085,12.978121214,24.830604901,0.00389425,1.0,1.0,2.2606382978723403,2.15,0.0,8.0,0.0,4.0,C2,C2,C2
complex,no_discretization,sonar,0,0.6666666666666666,1.0,0.6666666666666666,1.0,40,50.0,0.2,1.05,1.25,0.58292297979798,1.0,0.0822192513368983,13.078035117,25.433626457,0.0046347459999999,0.975,0.975,3.288770053475936,3.857142857142857,0.0,8.0,0.0,3.0,C2,C2,C2
complex,no_discretization,sonar,0,0.6090909090909091,0.9942528735632185,0.6190476190476191,0.9946524064171124,40,41.0,0.025,1.0,1.025,0.5577859195402299,1.0,0.0578877005347593,18.107503926,35.933656719,0.006427233,1.0,0.85,2.3155080213903743,2.2857142857142856,0.0,9.0,0.0,7.0,C2,C2,C2
complex,no_discretization,sonar,0,0.759090909090909,1.0,0.7619047619047619,1.0,37,47.0,0.08108108108108109,1.1891891891891893,1.2702702702702702,0.5782898415657037,1.0,0.0779014308426072,11.397509738,21.271332056999995,0.003682099,1.0,1.0,2.8823529411764706,3.4285714285714284,0.0,7.0,0.0,3.0,C2,C2,C2
complex,no_discretization,sonar,0,0.7045454545454546,0.9942528735632185,0.7142857142857143,0.9946524064171124,43,48.0,0.13953488372093023,0.9767441860465116,1.1162790697674418,0.5693491045175086,1.0,0.0693943539360775,19.149968317,36.898964361,0.029598929,0.9767441860465116,0.9767441860465116,2.983957219251337,2.4761904761904763,0.0,8.0,0.0,5.0,C2,C2,C2
complex,no_discretization,sonar,0,0.7,1.0,0.7142857142857143,1.0,40,42.0,0.0,1.05,1.05,0.5580186781609198,1.0,0.0585561497326203,16.280241514,30.226787424,0.0043301969999999,1.0,0.85,2.342245989304813,2.4285714285714284,0.0,9.0,0.0,7.0,C2,C2,C2
complex,no_discretization,sonar,0,0.595959595959596,0.994318181818182,0.6,0.9946808510638298,34,41.0,0.17647058823529413,1.0294117647058822,1.2058823529411764,0.5805347593582888,1.0,0.0797872340425531,10.871272076,20.890137752,0.003094122,1.0,1.0,2.7127659574468086,2.55,0.0,8.0,0.0,2.0,C2,C2,C2
