model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,sonar,0.0,0.6136363636363636,0.9942528735632185,0.6190476190476191,0.9946524064171124,34,37.0,0.14705882352941177,0.9411764705882353,1.088235294117647,0.5680409060175796,1.0,0.0677886127713117,0.0557949542999267,0.0476381519999999,0.0061183259999999,0.9705882352941176,0.9705882352941176,2.304812834224599,2.761904761904762,0.0,10.0,0.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.12903225806451613,0.4772727272727273,0.985,0.4761904761904761,0.983957219251337,31,47.0,0.1935483870967742,1.1935483870967742,1.5161290322580645,0.5986281053021876,0.9985768500948766,0.0998792478868379,0.1760189533233642,0.064014335,0.005429065,1.0,1.0,3.0962566844919786,2.952380952380953,2.0,8.0,0.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.02702702702702703,0.6636363636363636,1.0,0.6666666666666666,1.0,37,40.0,0.08108108108108109,0.972972972972973,1.0810810810810811,0.5684032308170239,1.0,0.0687960687960688,0.0662603378295898,0.042190201,0.0062788889999999,1.0,0.8378378378378378,2.5454545454545454,3.809523809523809,0.0,14.0,0.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.0,0.898989898989899,1.0,0.9,1.0,40,42.0,0.05,1.0,1.05,0.5563977272727271,1.0,0.0565159574468085,0.0577332973480224,0.0509994349999999,0.006510388,1.0,1.0,2.2606382978723403,2.15,0.0,8.0,0.0,4.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.02631578947368421,0.6666666666666666,0.994318181818182,0.6666666666666666,0.9946524064171124,38,48.0,0.2894736842105263,0.9473684210526315,1.263157894736842,0.5822036150983522,1.0,0.0817618913594145,0.1415867805480957,0.0549413979999999,0.007355209,0.9736842105263158,0.9736842105263158,3.106951871657754,3.4761904761904763,0.0,7.0,0.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.0,0.6090909090909091,0.9942528735632185,0.6190476190476191,0.9946524064171124,40,41.0,0.025,1.0,1.025,0.5577859195402299,1.0,0.0578877005347593,0.0554306507110595,0.051768688,0.003553715,1.0,0.85,2.3155080213903743,2.2857142857142856,0.0,9.0,0.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.08333333333333333,0.759090909090909,1.0,0.7619047619047619,1.0,36,43.0,0.19444444444444445,0.9166666666666666,1.1944444444444444,0.5767145593869734,1.0,0.0760546642899584,0.1303439140319824,0.0432136719999999,0.006757705,1.0,1.0,2.7379679144385025,3.1904761904761907,0.0,7.0,0.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.0,0.7045454545454546,0.9942528735632185,0.7142857142857143,0.9946524064171124,43,48.0,0.2558139534883721,0.8604651162790697,1.1162790697674418,0.5693491045175086,1.0,0.0693943539360775,0.1021943092346191,0.033126286,0.0082782299999999,0.9767441860465116,0.9767441860465116,2.983957219251337,2.4761904761904763,0.0,8.0,0.0,5.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.0,0.7,1.0,0.7142857142857143,1.0,40,42.0,0.05,1.0,1.05,0.5580186781609198,1.0,0.0585561497326203,0.0602076053619384,0.055111386,0.0060768309999999,1.0,0.85,2.342245989304813,2.4285714285714284,0.0,9.0,0.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,sonar,0.08823529411764706,0.5505050505050505,0.994318181818182,0.55,0.9946808510638298,34,39.0,0.14705882352941177,0.9117647058823529,1.1470588235294117,0.5815374331550802,1.0,0.0807259073842302,0.110133409500122,0.03369442,0.008477785,1.0,1.0,2.74468085106383,2.7,0.0,9.0,0.0,2.0,C2,C2,C2
