model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,sonar,0,0.7090909090909091,1.0,0.7142857142857143,1.0,44,78.0,1.7727272727272727,0.0,1.7727272727272727,0.5957628004179728,1.0,0.0949197860962567,0.237640924,0.4295173489999999,0.005087713,0.7954545454545454,0.5909090909090909,4.176470588235294,4.0,0.0,9.0,0.0,6.0,C2,C2,C2
plain,no_discretization,sonar,0,0.6227272727272727,1.0,0.6190476190476191,1.0,40,84.0,2.1,0.0,2.1,0.6277629310344829,1.0,0.1263368983957219,0.240919104,0.413073439,0.0052106959999999,0.775,0.775,5.053475935828877,4.857142857142857,0.0,11.0,0.0,4.0,C2,C2,C2
plain,no_discretization,sonar,0,0.7136363636363636,1.0,0.7142857142857143,1.0,39,78.0,2.0,0.0,2.0,0.6177674624226349,1.0,0.1183326477444125,0.262387788,0.422351684,0.0046840389999999,0.8461538461538461,0.6410256410256411,4.614973262032086,5.285714285714286,0.0,7.0,0.0,3.0,C2,C2,C2
plain,no_discretization,sonar,0,0.9545454545454546,1.0,0.95,1.0,49,95.0,1.9387755102040816,0.0,1.9387755102040816,0.5966743970315398,1.0,0.096287451150673,0.279166311,0.491549588,0.0052241459999999,0.8163265306122449,0.5510204081632653,4.718085106382978,5.35,0.0,7.0,0.0,3.0,C2,C2,C2
plain,no_discretization,sonar,0,0.7638888888888888,1.0,0.7619047619047619,1.0,44,99.0,2.25,0.0,2.25,0.6327192378328743,1.0,0.1306514341273699,0.265230596,0.465409961,0.0055229999999999,0.8409090909090909,0.7272727272727273,5.748663101604278,6.238095238095238,0.0,7.0,0.0,2.0,C2,C2,C2
plain,no_discretization,sonar,0,0.85,0.9942528735632185,0.8571428571428571,0.9946524064171124,46,86.0,1.8695652173913044,0.0,1.8695652173913044,0.5926086956521741,1.0,0.0914903510811439,0.290874167,0.53184751,0.006520685,0.7608695652173914,0.5,4.208556149732621,3.1904761904761907,0.0,3.0,0.0,3.0,C2,C2,C2
plain,no_discretization,sonar,0,0.7636363636363637,0.9942528735632185,0.7619047619047619,0.9946524064171124,44,90.0,2.0454545454545454,0.0,2.0454545454545454,0.6113466562173462,1.0,0.1096256684491978,0.313118992,0.551777346,0.0064262239999999,0.7727272727272727,0.6363636363636364,4.823529411764706,5.0,0.0,10.0,0.0,4.0,C2,C2,C2
plain,no_discretization,sonar,0,0.7045454545454546,1.0,0.7142857142857143,1.0,48,90.0,1.875,0.0,1.875,0.6108836206896552,1.0,0.1108511586452763,0.384869704,0.6249837109999999,0.0066714809999999,0.8541666666666666,0.6875,5.320855614973262,3.7142857142857135,0.0,10.0,0.0,8.0,C2,C2,C2
plain,no_discretization,sonar,0,0.7636363636363637,0.9942528735632185,0.7619047619047619,0.9946524064171124,46,82.0,1.7826086956521738,0.0,1.7826086956521738,0.5866479260369817,1.0,0.0854452452917926,0.260431103,0.4467228850000001,0.003821947,0.717391304347826,0.5,3.93048128342246,4.571428571428571,0.0,8.0,0.0,3.0,C2,C2,C2
plain,no_discretization,sonar,0,0.6313131313131313,1.0,0.65,1.0,43,99.0,2.302325581395349,0.0,2.302325581395349,0.6263002114164907,1.0,0.1251855517070757,0.272797416,0.448930104,0.004745202,0.813953488372093,0.6511627906976745,5.382978723404255,4.35,0.0,12.0,0.0,7.0,C2,C2,C2
