model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,soybean,0.24074074074074073,0.839766081871345,0.9628833262016832,0.855072463768116,0.9364820846905536,54,197.0,2.185185185185185,1.2222222222222223,3.6481481481481484,0.7433491728296332,0.9212034573054996,0.0606526722161901,0.90968918800354,1.508692945,0.0822418769999999,1.0,1.0,3.275244299674267,3.4347826086956523,122.0,30.0,122.0,30.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.2,0.8845029239766082,0.9690950365432632,0.8840579710144928,0.9446254071661238,50,162.0,2.04,1.0,3.24,0.7482368039674131,0.9401976862604352,0.055700325732899,0.9720041751861572,1.90755785,0.1395486239999999,1.0,1.0,2.785016286644951,2.8840579710144927,111.0,18.0,111.0,18.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.19298245614035087,0.9649122807017544,0.9739655108370018,0.9117647058823528,0.9414634146341464,57,197.0,2.0350877192982457,1.2280701754385965,3.456140350877193,0.7320354780653844,0.9357512261182506,0.0553416060476394,1.0651741027832031,1.888003003,0.134801576,1.0,1.0,3.154471544715447,2.9705882352941178,139.0,16.0,139.0,16.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.3888888888888889,0.9383040935672512,0.9576374109706411,0.9117647058823528,0.9317073170731708,54,177.0,1.962962962962963,0.9259259259259259,3.2777777777777777,0.7370127381753401,0.9232918626490996,0.0639265281541704,0.8330392837524414,1.418115133,0.119223577,1.0,1.0,3.452032520325204,3.514705882352941,132.0,24.0,132.0,24.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.24489795918367346,0.6812865497076024,0.9607161075756898,0.8088235294117647,0.9252032520325204,49,166.0,2.0816326530612246,1.0612244897959184,3.3877551020408165,0.7484583690073208,0.9264653382173752,0.0632818981251037,1.0068111419677734,1.6739096880000002,0.144502949,1.0,1.0,3.100813008130081,3.426470588235294,119.0,20.0,119.0,20.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.19230769230769232,0.9395061728395062,0.9609898730566254,0.8529411764705882,0.930081300813008,52,185.0,2.0576923076923075,1.3076923076923077,3.5576923076923075,0.7419659330255132,0.9157161418665842,0.0688555347091932,0.9007089138031006,1.5765506589999998,0.109878461,1.0,1.0,3.580487804878049,3.7205882352941178,135.0,19.0,135.0,19.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.2826086956521739,0.898148148148148,0.9715888669056926,0.9117647058823528,0.9528455284552846,46,151.0,2.108695652173913,0.8913043478260869,3.282608695652174,0.7686423375725389,0.9435742318326154,0.0572287027218098,0.8438897132873535,1.273803814,0.087101308,1.0,1.0,2.632520325203252,2.676470588235294,101.0,14.0,101.0,14.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.19607843137254902,0.8538011695906432,0.97052793974357,0.8405797101449275,0.9267100977198696,51,169.0,1.9019607843137254,1.2156862745098038,3.3137254901960786,0.7344176892742426,0.9125260331432234,0.0677971514338634,0.8103504180908203,1.5238742320000005,0.1420995029999999,1.0,1.0,3.457654723127036,3.391304347826087,147.0,27.0,147.0,27.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.07142857142857142,0.8801169590643274,0.9610091067009884,0.8676470588235294,0.9317073170731708,56,206.0,2.4107142857142856,1.1964285714285714,3.6785714285714284,0.7319132669617242,0.918942345155657,0.0642857142857143,1.3063983917236328,2.795684566,0.2391692539999999,1.0,1.0,3.6,3.338235294117647,136.0,16.0,136.0,16.0,C2,C2,C2
at_least_M-of-N,no_discretization,soybean,0.24074074074074073,0.9152046783625732,0.96269820880059,0.9558823529411764,0.930081300813008,54,168.0,1.8518518518518519,1.0185185185185186,3.111111111111111,0.7361863171722983,0.9260922585723428,0.062330623306233,1.2024009227752686,2.0112030030000003,0.141698774,1.0,1.0,3.365853658536585,3.735294117647059,142.0,17.0,142.0,17.0,C2,C2,C2
