model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,soybean,0,0.912280701754386,0.965920899810502,0.8840579710144928,0.9657980456026058,46,146.0,1.3043478260869565,1.8695652173913044,3.1739130434782608,0.7777840505792885,0.9143948066890392,0.0620308738139073,0.657849956,1.9331302740000005,0.1186515859999999,1.0,1.0,2.85342019543974,2.782608695652174,200.0,23.0,200.0,23.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9108187134502924,0.9727491296563476,0.8985507246376812,0.969055374592834,51,172.0,1.4313725490196079,1.9411764705882353,3.372549019607843,0.7729445900055486,0.9333424472272048,0.0601967171233313,0.68589215,1.916270381,0.090234886,1.0,1.0,3.070032573289902,3.0434782608695654,196.0,27.0,196.0,27.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9134502923976608,0.9782013409617536,0.9117647058823528,0.967479674796748,54,187.0,1.3148148148148149,2.1481481481481484,3.462962962962963,0.7661624281005828,0.9422588749111536,0.0564588979223125,0.767026088,2.2546539240000003,0.1213764099999999,1.0,1.0,3.048780487804878,3.117647058823529,114.0,12.0,114.0,12.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9678362573099416,0.9679003998825004,0.9705882352941176,0.959349593495935,48,150.0,1.2083333333333333,1.9166666666666667,3.125,0.7781248318780897,0.9210286912398716,0.0642615176151761,0.705176775,1.828481947,0.148004082,1.0,1.0,3.084552845528455,3.088235294117647,234.0,25.0,234.0,25.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9298245614035088,0.9770570382646414,0.9264705882352942,0.9609756097560976,50,171.0,1.1,2.32,3.42,0.7611203753697015,0.9226796224683116,0.0621788617886178,0.804989325,1.961873081,0.215813211,1.0,1.0,3.1089430894308943,2.8823529411764706,223.0,22.0,223.0,22.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9425925925925926,0.9822100984167738,0.9117647058823528,0.9739837398373984,47,144.0,1.2127659574468086,1.851063829787234,3.0638297872340425,0.7789275764135531,0.9312807409921332,0.0623421553364469,0.562020656,1.818672318,0.12836355,1.0,1.0,2.930081300813008,2.926470588235294,209.0,30.0,209.0,30.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9197530864197532,0.9768634649003364,0.9117647058823528,0.9626016260162602,47,149.0,1.2340425531914894,1.9361702127659575,3.1702127659574466,0.7813122250766331,0.941718987929752,0.0596782563570316,0.68050738,1.840754816,0.127603602,1.0,1.0,2.804878048780488,2.8529411764705883,114.0,13.0,114.0,13.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9064327485380116,0.9810441165603792,0.8695652173913043,0.9592833876221498,44,132.0,1.0909090909090908,1.9090909090909092,3.0,0.767041294656519,0.9128227356653918,0.063073734083506,0.505229058,1.6400302240000002,0.110003063,1.0,1.0,2.775244299674267,2.63768115942029,221.0,27.0,221.0,27.0,C2,C2,C2
complex,no_discretization,soybean,0,0.976608187134503,0.9781250673342792,0.9411764705882352,0.9577235772357724,53,173.0,1.2452830188679245,2.018867924528302,3.2641509433962264,0.7441117250925522,0.9195167438406372,0.0630771590734775,0.80339158,2.2913339760000007,0.131105023,1.0,1.0,3.343089430894309,3.088235294117647,257.0,29.0,257.0,29.0,C2,C2,C2
complex,no_discretization,soybean,0,0.9633040935672514,0.9747369356664044,0.9264705882352942,0.9626016260162602,52,178.0,1.1923076923076923,2.230769230769231,3.423076923076923,0.7535435001748249,0.9249984285141484,0.0591307066916823,1.034578241,2.466316179,0.1829257859999999,1.0,1.0,3.07479674796748,3.3823529411764706,220.0,26.0,220.0,26.0,C2,C2,C2
