model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,soybean,0.5094339622641509,0.828654970760234,0.9641991156753672,0.8260869565217391,0.9381107491856676,53,193.0,2.2264150943396226,0.9056603773584906,3.641509433962264,0.7405983321124933,0.9051179538521932,0.0667137852621228,0.737293004989624,1.2767935499999998,0.1086505629999999,1.0,1.0,3.535830618892508,3.579710144927536,133.0,19.0,133.0,19.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.42105263157894735,0.904970760233918,0.963008216004798,0.8840579710144928,0.9348534201954396,57,193.0,2.1403508771929824,0.8245614035087719,3.3859649122807016,0.7393582262234681,0.932320531758679,0.058660494885422,1.0063843727111816,1.609397812,0.09290899,1.0,1.0,3.343648208469056,3.4782608695652173,138.0,21.0,138.0,21.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.6140350877192983,0.912280701754386,0.9743452926944274,0.8970588235294118,0.9365853658536586,57,197.0,2.175438596491228,0.6666666666666666,3.456140350877193,0.7383000831732965,0.9262560094660216,0.0591926971901298,0.8165204524993896,1.18473644,0.125891254,1.0,1.0,3.3739837398373984,3.2794117647058822,150.0,17.0,150.0,17.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.5818181818181818,0.9119883040935672,0.9719393907107536,0.8970588235294118,0.934959349593496,55,190.0,2.1272727272727274,0.7454545454545455,3.4545454545454546,0.7421003187251048,0.9056021659341436,0.067790096082779,0.7352719306945801,1.4018403359999998,0.1335664889999999,1.0,1.0,3.7284552845528456,3.6176470588235294,141.0,19.0,141.0,19.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.4716981132075472,0.6549707602339181,0.9613502229846942,0.7941176470588235,0.926829268292683,53,194.0,2.3207547169811322,0.8679245283018868,3.660377358490566,0.7484537601299589,0.9153721267437224,0.0643963798128547,0.8667709827423096,1.5352978359999998,0.1687990419999999,1.0,1.0,3.413008130081301,3.691176470588236,130.0,23.0,130.0,23.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.5094339622641509,0.9333333333333332,0.9509021537583796,0.8382352941176471,0.9235772357723576,53,187.0,2.0377358490566038,0.9811320754716981,3.5283018867924527,0.739774963020454,0.9117814843833052,0.0659610369688602,0.762650728225708,1.2043331110000002,0.143680044,1.0,1.0,3.4959349593495936,3.5,140.0,20.0,140.0,20.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.48148148148148145,0.947530864197531,0.9715888669056926,0.9264705882352942,0.9528455284552846,54,186.0,2.185185185185185,0.7777777777777778,3.4444444444444446,0.7630179861588396,0.9442757745141588,0.0536585365853658,0.9204585552215576,1.409691052,0.12526992,1.0,1.0,2.897560975609756,2.9705882352941178,127.0,21.0,127.0,21.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.6538461538461539,0.8596491228070177,0.9452183144215716,0.855072463768116,0.9087947882736156,52,176.0,1.8653846153846154,0.8653846153846154,3.3846153846153846,0.7251780705467668,0.8904666290468567,0.0736031069907291,0.5200495719909668,0.920444401,0.127649361,1.0,1.0,3.8273615635179152,3.710144927536232,167.0,21.0,167.0,21.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.29310344827586204,0.95906432748538,0.960374991291984,0.8970588235294118,0.930081300813008,58,211.0,2.3620689655172415,0.9827586206896551,3.6379310344827585,0.7313955773775528,0.920005740191992,0.0627137650686852,1.4024996757507324,2.2294330680000005,0.143619443,1.0,1.0,3.63739837398374,3.4411764705882355,138.0,14.0,138.0,14.0,C2,C2,C2
exact_M-of-N,no_discretization,soybean,0.32727272727272727,0.9046783625730996,0.9597351847364736,0.9264705882352942,0.9170731707317074,55,187.0,2.1272727272727274,0.9454545454545454,3.4,0.7307604087806233,0.910122795259966,0.0672283813747228,1.026184320449829,1.510940551,0.129540795,1.0,1.0,3.697560975609756,4.147058823529412,154.0,17.0,154.0,17.0,C2,C2,C2
