model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,soybean,0,0.873391812865497,0.9822249484986522,0.855072463768116,0.9641693811074918,52,167.0,3.2115384615384617,0,3.2115384615384617,0.7354277513922324,0.9604194658966064,0.0441931846654973,0.081819155,0.429657719,0.0248560529999999,1.0,1.0,2.298045602605863,2.347826086956522,67.0,12.0,67.0,12.0,C2,C2,C2
plain,no_discretization,soybean,0,0.9429824561403508,0.9806322422767664,0.927536231884058,0.9657980456026058,55,180.0,3.272727272727273,0,3.272727272727273,0.7282406507516235,0.962083405226439,0.0429079064258217,0.12171272,0.5134242340000001,0.040130256,1.0,1.0,2.359934853420196,2.420289855072464,83.0,14.0,83.0,14.0,C2,C2,C2
plain,no_discretization,soybean,0,0.9660818713450292,0.9821314817216268,0.9264705882352942,0.9658536585365852,60,203.0,3.3833333333333333,0,3.3833333333333333,0.710903776576052,0.9577630096818702,0.0434688346883468,0.091092606,0.407492407,0.029686722,1.0,1.0,2.608130081300813,2.6029411764705883,141.0,18.0,141.0,18.0,C2,C2,C2
plain,no_discretization,soybean,0,0.9684210526315788,0.9779931497969244,0.9705882352941176,0.959349593495935,56,196.0,3.5,0,3.5,0.7211093207064492,0.9617677778012172,0.0416957026713124,0.097169705,0.3729390150000001,0.037152943,1.0,1.0,2.334959349593496,2.411764705882353,67.0,5.0,67.0,5.0,C2,C2,C2
plain,no_discretization,soybean,0,0.9561403508771928,0.9768104378278064,0.9411764705882352,0.9544715447154472,53,175.0,3.30188679245283,0,3.30188679245283,0.72815490480439,0.9557618912828028,0.04411719588894,0.096461393,0.4148424909999999,0.036176705,1.0,1.0,2.3382113821138213,2.294117647058824,91.0,14.0,91.0,14.0,C2,C2,C2
plain,no_discretization,soybean,0,0.9512345679012344,0.9734209262479032,0.8823529411764706,0.9609756097560976,56,182.0,3.25,0,3.25,0.7301003985217794,0.9620233434920042,0.045383275261324,0.087180517,0.440817905,0.0293468509999999,1.0,1.0,2.5414634146341464,2.5,75.0,14.0,75.0,14.0,C2,C2,C2
plain,no_discretization,soybean,0,0.9598765432098766,0.9741024747320872,0.9558823529411764,0.951219512195122,55,186.0,3.381818181818182,0,3.381818181818182,0.7224965699675585,0.9503954072457144,0.0458832224685883,0.099126674,0.4190639399999999,0.023909159,1.0,1.0,2.5235772357723576,2.485294117647059,94.0,11.0,94.0,11.0,C2,C2,C2
plain,no_discretization,soybean,0,0.9502923976608189,0.9718983618783156,0.927536231884058,0.9511400651465798,55,176.0,3.2,0,3.2,0.7267546854992298,0.9458812300112082,0.0489191590168788,0.099574849,0.645967157,0.024546846,1.0,1.0,2.690553745928338,2.5942028985507246,104.0,13.0,104.0,13.0,C2,C2,C2
plain,no_discretization,soybean,0,0.982456140350877,0.9753552393206084,0.9558823529411764,0.9544715447154472,57,188.0,3.2982456140350878,0,3.2982456140350878,0.7181120190315874,0.9658746857839592,0.0402795606903437,0.094684687,0.448177298,0.038290614,1.0,0.9473684210526316,2.295934959349593,2.073529411764706,66.0,9.0,66.0,9.0,C2,C2,C2
plain,no_discretization,soybean,0,0.969152046783626,0.9776686453893356,0.9411764705882352,0.9642276422764228,57,189.0,3.3157894736842106,0,3.3157894736842106,0.7216543507826451,0.9676629105077356,0.0380259592069604,0.07823024,0.419426273,0.0355535289999999,1.0,1.0,2.167479674796748,2.3823529411764706,57.0,7.0,57.0,7.0,C2,C2,C2
