model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,tic-tac-toe,0.38235294117647056,0.9393939393939394,0.9581939799331104,0.9583333333333334,0.9709976798143852,68,231.0,1.6470588235294117,1.3676470588235294,3.3970588235294117,0.5525551213187192,0.9773510886751956,0.1067797188480961,3.3406214714050293,0.387578146,0.037937543,1.0,1.0,7.261020881670533,7.1875,174.0,26.0,136.0,18.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.3389830508474576,0.8766233766233766,0.9230383100566126,0.8854166666666666,0.919953596287703,59,206.0,1.3389830508474576,1.8135593220338984,3.4915254237288136,0.5611333092950288,0.977609577276132,0.0968579181249754,1.6914069652557373,0.3905925199999999,0.039395345,1.0,1.0,5.7146171693735495,6.489583333333333,111.0,14.0,62.0,8.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.36666666666666664,0.9060721062618596,0.9425365319624924,0.8958333333333334,0.9361948955916474,60,204.0,1.35,1.6833333333333333,3.4,0.5631510141770736,0.971058851112759,0.1080433101314771,1.5821688175201416,0.328045967,0.0339230499999999,1.0,1.0,6.482598607888631,6.3125,138.0,26.0,81.0,14.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.3275862068965517,0.93841642228739,0.9574883180341088,0.9473684210526316,0.962920046349942,58,199.0,1.396551724137931,1.706896551724138,3.4310344827586206,0.5704268260133358,0.9820681748925298,0.1033683621688576,0.8254721164703369,0.325276059,0.0340732709999999,1.0,1.0,5.995365005793743,6.747368421052632,81.0,20.0,40.0,12.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.3898305084745763,0.9207779886148008,0.9699236041696416,0.90625,0.9709976798143852,59,203.0,1.5084745762711864,1.5423728813559323,3.440677966101695,0.5790886350864681,0.9825187499595214,0.113059892249007,2.1586251258850098,0.3765954199999999,0.033348659,1.0,1.0,6.670533642691416,5.083333333333333,91.0,19.0,39.0,11.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.3076923076923077,0.8391053391053391,0.9560019484724096,0.8645833333333334,0.9640371229698376,65,227.0,1.353846153846154,1.8307692307692307,3.4923076923076923,0.5750110637387787,0.9761199206620012,0.1184900945921827,1.5306963920593262,0.355758981,0.035914753,1.0,1.0,7.701856148491879,7.291666666666667,150.0,25.0,49.0,11.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.3333333333333333,0.9848484848484848,0.9784212621111223,0.9895833333333334,0.9779582366589328,54,172.0,1.4814814814814814,1.3703703703703705,3.185185185185185,0.5614729208085629,0.9784724081862896,0.0905731717796683,2.800427198410034,0.513019762,0.055236252,1.0,1.0,4.890951276102088,5.489583333333333,71.0,4.0,25.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.4264705882352941,0.8845598845598845,0.9361994095178124,0.8958333333333334,0.9443155452436196,68,238.0,1.3676470588235294,1.7058823529411764,3.5,0.5483926684342975,0.959884201023951,0.1126484236385969,1.5967745780944824,0.445678275,0.040062933,1.0,1.0,7.6600928074245935,6.78125,195.0,25.0,94.0,11.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.3492063492063492,0.8080808080808081,0.9083000172273474,0.8333333333333334,0.9129930394431556,63,204.0,1.3015873015873016,1.5873015873015872,3.238095238095238,0.56483502835758,0.9665073129778442,0.1207417228298898,3.0081446170806885,0.3354282089999999,0.035012206,1.0,1.0,7.606728538283063,6.895833333333333,180.0,26.0,76.0,9.0,C2,C2,C2
at_least_M-of-N,no_discretization,tic-tac-toe,0.3898305084745763,0.8990713587487781,0.966332811499324,0.9052631578947368,0.9652375434530708,59,200.0,1.4745762711864407,1.5254237288135593,3.389830508474576,0.5704118676927165,0.9773556973639445,0.1008700434039711,1.7181439399719238,0.319253611,0.038621113,1.0,1.0,5.951332560834299,5.042105263157895,76.0,17.0,28.0,7.0,C2,C2,C2
