model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,tic-tac-toe,0,0.9393939393939394,0.9899665551839464,0.9583333333333334,0.9930394431554525,65,236.0,0.6,3.0307692307692307,3.6307692307692307,0.5650195447618189,0.9993831248467008,0.0731750847760128,0.188479587,0.250143036,0.0487494,0.9846153846153848,0.953846153846154,4.756380510440835,4.552083333333333,1.0,3.0,0.0,0.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.9545454545454546,0.9949832775919732,0.96875,0.9965197215777262,51,168.0,0.5882352941176471,2.7058823529411766,3.2941176470588234,0.5680757038304446,0.9996785599485696,0.0738592420726991,0.201850958,0.2949331409999999,0.06073243,1.0,1.0,3.766821345707657,3.9895833333333335,0.0,3.0,0.0,0.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.9852941176470588,0.9932885906040269,0.9895833333333334,0.9953596287703016,53,179.0,0.6226415094339622,2.7547169811320753,3.3773584905660377,0.5679650320572406,1.0,0.0720570853215427,0.133735509,0.201145813,0.0428724179999999,1.0,1.0,3.819025522041764,3.9479166666666665,0.0,6.0,0.0,3.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.9696969696969696,0.9899665551839464,0.9789473684210528,0.993047508690614,51,163.0,0.5490196078431373,2.6470588235294117,3.196078431372549,0.5707892284746935,0.9992720923833408,0.0766364483220866,0.117321471,0.163352294,0.041442112,1.0,1.0,3.9084588644264193,4.042105263157895,3.0,8.0,1.0,2.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.939753320683112,0.9798657718120805,0.9479166666666666,0.9860788863109048,61,213.0,0.6065573770491803,2.8852459016393444,3.4918032786885247,0.5727617157088168,0.998759297028174,0.0846677570271195,0.196839047,0.253991132,0.057811949,1.0,1.0,5.164733178654292,3.6041666666666665,7.0,5.0,0.0,1.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.8636363636363636,0.9832775919732442,0.90625,0.988399071925754,58,196.0,0.6206896551724138,2.7586206896551726,3.3793103448275863,0.5775482454273163,0.9986468886438014,0.0894471557724618,0.200004187,0.249268999,0.0499742789999999,1.0,1.0,5.187935034802784,4.802083333333333,5.0,6.0,0.0,0.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.9848484848484848,0.991638795986622,0.9895833333333334,0.994199535962877,62,224.0,0.5483870967741935,3.064516129032258,3.6129032258064515,0.5636069293231738,0.9993574185666964,0.0713644188309258,0.208004763,0.272394267,0.060625239,1.0,1.0,4.424593967517401,4.760416666666667,2.0,2.0,0.0,1.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.9314574314574314,0.9866220735785952,0.9479166666666666,0.9907192575406032,53,176.0,0.5660377358490566,2.7547169811320753,3.3207547169811322,0.5729159830869325,0.9987591246237464,0.0806592829313137,0.142476409,0.20987764,0.0515240279999999,1.0,1.0,4.274941995359629,3.8958333333333335,8.0,8.0,0.0,1.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.9090909090909092,0.9832775919732442,0.9375,0.988399071925754,63,225.0,0.5555555555555556,3.015873015873016,3.5714285714285716,0.5788620406857163,0.9987109009338576,0.0892903178286009,0.234477117,0.3349008089999999,0.0644336379999999,1.0,1.0,5.625290023201856,4.9375,7.0,6.0,1.0,0.0,C2,C2,C2
complex,no_discretization,tic-tac-toe,0,0.9545454545454546,0.9899665551839464,0.968421052631579,0.993047508690614,66,230.0,0.5454545454545454,2.9393939393939394,3.484848484848485,0.5675765555318946,0.9993911324315788,0.0757224621651041,0.206398762,0.271497068,0.053155427,1.0,0.9545454545454546,4.997682502896871,4.378947368421053,3.0,7.0,0.0,2.0,C2,C2,C2
