model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,tic-tac-toe,0.4492753623188406,0.9242424242424244,0.9754926130321914,0.9479166666666666,0.980278422273782,69,242.0,1.6231884057971016,1.434782608695652,3.5072463768115942,0.5372642294034146,0.967208176167287,0.0975991122768082,3.212575435638428,0.4907262129999999,0.0619402219999999,1.0,1.0,6.734338747099768,6.46875,160.0,32.0,119.0,19.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.39705882352941174,0.8405483405483405,0.945968503656356,0.8854166666666666,0.95707656612529,68,230.0,1.338235294117647,1.6470588235294117,3.3823529411764706,0.5470965314113678,0.9744768683464846,0.0926368227105227,0.9160988330841064,0.359926001,0.034281135,1.0,1.0,6.299303944315545,7.1875,90.0,12.0,39.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.25925925925925924,0.9074952561669828,0.9522883050121376,0.90625,0.948955916473318,54,179.0,1.3703703703703705,1.6851851851851851,3.314814814814815,0.5617516139791666,0.9729348367073128,0.0972759302225659,1.6736042499542236,0.336431612,0.039508562,1.0,1.0,5.252900232018561,5.375,81.0,15.0,41.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.27586206896551724,0.9393939393939394,0.9526732133115112,0.9578947368421052,0.9617612977983776,58,192.0,1.3275862068965518,1.706896551724138,3.310344827586207,0.5535215725974053,0.9704234189766522,0.0994525912015023,0.70432448387146,0.239476332,0.024717964,1.0,1.0,5.7682502896871375,6.273684210526316,131.0,19.0,64.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.3880597014925373,0.8391840607210626,0.9323147222618876,0.84375,0.9466357308584686,67,225.0,1.462686567164179,1.507462686567164,3.3582089552238807,0.5530698710554914,0.9665568351435796,0.1199743740693285,1.986045837402344,0.5395570630000001,0.046573281,1.0,1.0,8.03828306264501,6.333333333333333,163.0,17.0,63.0,6.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.296875,0.7799422799422799,0.8960091958392986,0.84375,0.9245939675174014,64,228.0,1.453125,1.8125,3.5625,0.5605621158901586,0.9794933735949588,0.1080880220417633,1.6855964660644531,0.746132534,0.106993405,1.0,1.0,6.917633410672853,7.135416666666667,127.0,21.0,58.0,9.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.22,0.9163059163059164,0.9639948436766724,0.9375,0.974477958236659,50,159.0,1.46,1.5,3.18,0.5664745686351326,0.984503006044467,0.0915081206496519,2.655969619750977,0.2979573449999999,0.025062478,1.0,1.0,4.575406032482599,5.322916666666667,58.0,11.0,10.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.3235294117647059,0.9314574314574314,0.9361429751035126,0.9479166666666666,0.9524361948955916,68,250.0,1.3088235294117647,2.0441176470588234,3.676470588235294,0.5572567794174198,0.9767096891780862,0.0979425412856557,1.3735086917877195,0.6104462140000001,0.066563062,1.0,1.0,6.6600928074245935,5.864583333333333,127.0,16.0,54.0,7.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.2878787878787879,0.847041847041847,0.9029714204245056,0.875,0.906032482598608,66,218.0,1.2727272727272727,1.7424242424242424,3.303030303030303,0.5441404679089761,0.9553284868579974,0.1191731702172537,2.571673631668091,0.4942661209999999,0.047790723,1.0,1.0,7.865429234338747,7.270833333333333,230.0,36.0,148.0,19.0,C2,C2,C2
exact_M-of-N,no_discretization,tic-tac-toe,0.32786885245901637,0.9616324535679376,0.9823910671505492,0.968421052631579,0.9872537659327926,61,205.0,1.5081967213114753,1.5245901639344261,3.360655737704918,0.5635034480334749,0.9824994783642154,0.0903064035104382,2.052820444107056,0.437921568,0.041886575,1.0,1.0,5.508690614136732,4.726315789473684,71.0,10.0,21.0,4.0,C2,C2,C2
