model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,tic-tac-toe,0,0.976911976911977,0.9873022567825256,0.9791666666666666,0.9895591647331786,65,240.0,3.6923076923076925,0,3.6923076923076925,0.5072415782740587,0.9761961346576732,0.0351061931108334,0.084267827,0.1206182959999999,0.032405629,1.0,0.9230769230769232,2.2819025522041763,2.53125,122.0,17.0,82.0,10.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.9617604617604618,0.9983277591973244,0.96875,0.9988399071925754,58,214.0,3.689655172413793,0,3.689655172413793,0.5159813444867399,0.9850519155030434,0.0327826226098088,0.066545336,0.081885313,0.033235581,1.0,1.0,1.9013921113689096,1.9479166666666667,59.0,12.0,22.0,7.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,1.0,0.99496644295302,1.0,0.9965197215777262,56,214.0,3.8214285714285716,0,3.8214285714285716,0.5130439747813792,0.9813826846528084,0.0289401723566456,0.062316018,0.0768295989999999,0.031200893,0.9642857142857144,0.7857142857142857,1.6206496519721578,1.71875,35.0,10.0,0.0,1.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.9838709677419356,0.9957689935719538,0.9789473684210528,0.996523754345307,62,232.0,3.7419354838709675,0,3.7419354838709675,0.5152765849405992,0.9858691288026024,0.0317534482114155,0.05465041,0.064765058,0.031313243,0.9838709677419356,0.8225806451612904,1.9687137891077635,1.873684210526316,67.0,12.0,28.0,4.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.9919354838709676,0.99496644295302,0.9895833333333334,0.9965197215777262,76,292.0,3.8421052631578947,0,3.8421052631578947,0.5178575135565928,0.9915805137844612,0.0261020881670533,0.067311839,0.086474549,0.033124424,0.9605263157894736,0.7368421052631579,1.983758700696056,1.9166666666666667,17.0,10.0,0.0,4.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.9545454545454546,0.9949832775919732,0.96875,0.9965197215777262,51,189.0,3.7058823529411766,0,3.7058823529411766,0.524782676881076,0.9930618401206636,0.03025340066421,0.062979104,0.078450747,0.0271060129999999,1.0,0.9215686274509804,1.54292343387471,1.46875,5.0,9.0,0.0,3.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.9466089466089466,0.9949832775919732,0.9583333333333334,0.9965197215777262,66,250.0,3.787878787878788,0,3.787878787878788,0.5117051778283376,0.982803375549702,0.034644589748998,0.079806635,0.1087980789999999,0.04205018,0.9696969696969696,0.7878787878787878,2.2865429234338746,2.5104166666666665,127.0,14.0,81.0,8.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.992063492063492,0.991638795986622,0.9895833333333334,0.994199535962877,48,176.0,3.6666666666666665,0,3.6666666666666665,0.5204896685672599,0.9878027065527064,0.0302349187935034,0.065323346,0.0665795589999999,0.038672473,1.0,0.875,1.451276102088167,1.5416666666666667,9.0,6.0,0.0,4.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.9696969696969696,0.9966555183946488,0.9791666666666666,0.9976798143851509,55,205.0,3.727272727272727,0,3.727272727272727,0.5258701895662279,0.995959595959596,0.0300991352035435,0.063965725,0.080325172,0.038963144,1.0,1.0,1.6554524361948957,1.5416666666666667,4.0,11.0,0.0,3.0,C2,C2,C2
plain,no_discretization,tic-tac-toe,0,0.9767839687194526,0.9966555183946488,0.9789473684210528,0.9976825028968712,59,229.0,3.8813559322033897,0,3.8813559322033897,0.5178558503486835,0.987664557348363,0.0277903254315847,0.071385588,0.088089578,0.030509348,1.0,0.8135593220338984,1.6396292004634994,1.5368421052631578,19.0,3.0,0.0,1.0,C2,C2,C2
