model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,titanic,0,0.7075337933642121,0.7117927386278896,0.7636363636363637,0.7546693589096416,14,22.0,0.9285714285714286,0.6428571428571429,1.5714285714285714,0.312450186940843,0.7127594851319421,0.4036922189370447,0.212207413,0.290283015,0.092877001,1.0,1.0,5.651691065118627,5.6909090909090905,1749.0,196.0,1379.0,161.0,C2,C2,C2
complex,no_discretization,titanic,0,0.6873995651762927,0.7140298750932139,0.7363636363636363,0.7576981322564361,13,21.0,1.0,0.6153846153846154,1.6153846153846154,0.3268595603415993,0.7150197055620265,0.3798780724575777,0.205604258,0.249258853,0.082467338,1.0,1.0,4.938414941948511,4.881818181818182,1725.0,189.0,1385.0,155.0,C2,C2,C2
complex,no_discretization,titanic,0,0.694772662822573,0.7132130872483222,0.7363636363636363,0.7576981322564361,16,28.0,1.125,0.625,1.75,0.3281106272498344,0.7392621235644801,0.3761357900050479,0.202780855,0.300716167,0.09470476,1.0,1.0,6.018172640080767,6.0181818181818185,1754.0,191.0,1389.0,151.0,C2,C2,C2
complex,no_discretization,titanic,0,0.7605161168352397,0.7059155947054436,0.7954545454545454,0.7511357900050479,15,24.0,1.0,0.6,1.6,0.3173602483353115,0.7124130140288614,0.3900387009927646,0.219908029,0.293506058,0.092404088,1.0,1.0,5.850580514891469,5.831818181818182,1749.0,196.0,1388.0,152.0,C2,C2,C2
complex,no_discretization,titanic,0,0.7219491445316193,0.7101947007829978,0.7681818181818182,0.7541645633518425,15,24.0,1.0,0.6,1.6,0.3205971286113612,0.7141959862994308,0.3899040888440181,0.22797912,0.303742054,0.095164647,1.0,1.0,5.848561332660273,5.85,1749.0,196.0,1384.0,156.0,C2,C2,C2
complex,no_discretization,titanic,0,0.7531430191889592,0.7067323825503355,0.7954545454545454,0.7511357900050479,15,24.0,1.0,0.6,1.6,0.3175765907481725,0.7129803151726933,0.3896348645465253,0.22946601,0.3036855539999999,0.095841499,1.0,1.0,5.84452296819788,5.886363636363637,1754.0,191.0,1384.0,156.0,C2,C2,C2
complex,no_discretization,titanic,0,0.7048397769165328,0.71209451901566,0.75,0.7561837455830389,15,24.0,1.0,0.6,1.6,0.3220102863895549,0.7158068955055771,0.3896348645465253,0.219919136,0.288533299,0.091523508,1.0,1.0,5.84452296819788,5.886363636363637,1756.0,189.0,1386.0,154.0,C2,C2,C2
complex,no_discretization,titanic,0,0.6768736017897092,0.715237735135646,0.7239819004524887,0.759090909090909,15,24.0,1.0,0.6,1.6,0.3248605738867677,0.716716768399358,0.3898653198653198,0.288882135,0.35004094,0.1197675679999999,1.0,1.0,5.847979797979798,5.855203619909502,1748.0,197.0,1386.0,154.0,C2,C2,C2
complex,no_discretization,titanic,0,0.7125437186879666,0.7112421933258761,0.7454545454545455,0.756688541140838,14,22.0,0.9285714285714286,0.6428571428571429,1.5714285714285714,0.3132169099082797,0.7139003409127651,0.4041609576692868,0.200976309,0.274158211,0.0858080069999999,1.0,1.0,5.658253407370015,5.631818181818182,1751.0,194.0,1393.0,147.0,C2,C2,C2
complex,no_discretization,titanic,0,0.6944418186974195,0.713248625093214,0.740909090909091,0.7571933366986371,15,24.0,1.0,0.6,1.6,0.3276505368441858,0.7182202636200155,0.3902742722530708,0.219714026,0.291829511,0.090621635,1.0,1.0,5.854114083796063,5.8,1744.0,201.0,1386.0,154.0,C2,C2,C2
