model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,titanic,0,0.7095661215615843,0.7024340510812825,0.7863636363636364,0.7773851590106007,9,16.0,1.7777777777777777,0,1.7777777777777777,0.3626267246404999,0.7785466729389308,0.3796062594649168,0.1649343967437744,0.181624326,0.045872261,1.0,1.0,3.4164563351842503,3.5,471.0,44.0,219.0,15.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.6823896398525381,0.705452437546607,0.7545454545454545,0.7809187279151943,9,16.0,1.7777777777777777,0,1.7777777777777777,0.369173643895875,0.7838915328250807,0.3804475853945818,0.1590921878814697,0.176396529,0.044298216,1.0,1.0,3.4240282685512367,3.4318181818181817,464.0,51.0,217.0,17.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.6857453445505246,0.7136733314690529,0.759090909090909,0.7859666834931852,14,27.0,1.9285714285714286,0,1.9285714285714286,0.3590582566171427,0.7884932684664558,0.30713204009519,0.2489516735076904,0.307409185,0.070203667,1.0,1.0,4.29984856133266,4.240909090909091,557.0,64.0,348.0,43.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.7655733056054448,0.6962195889261745,0.8272727272727273,0.7728419989904088,10,18.0,1.8,0,1.8,0.3622508557705712,0.7698965410509191,0.3618374558303887,0.1657264232635498,0.198467946,0.050079907,1.0,1.0,3.618374558303887,3.613636363636364,461.0,54.0,213.0,21.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.7132526703847244,0.7020256571588367,0.7863636363636364,0.7773851590106007,10,18.0,1.8,0,1.8,0.3646360651614971,0.7708523692752686,0.3615345784957092,0.1896793842315673,0.215876468,0.065517166,1.0,1.0,3.615345784957092,3.640909090909091,464.0,51.0,212.0,22.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.7441157009169108,0.6985988767710664,0.8181818181818182,0.773851590106007,10,18.0,1.8,0,1.8,0.3625556743211668,0.7706017542634717,0.3614336193841494,0.3709444999694824,0.283632458,0.187933614,1.0,1.0,3.614336193841494,3.65,470.0,45.0,210.0,24.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.7236506286038378,0.7008715510812826,0.7954545454545454,0.7763755678950025,10,18.0,1.8,0,1.8,0.3698493115335569,0.7751171176107505,0.3615345784957092,0.163985013961792,0.195234059,0.05023216,1.0,1.0,3.615345784957092,3.640909090909091,466.0,49.0,211.0,23.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.6548750932140194,0.7085578347039733,0.7330316742081447,0.7833333333333333,10,18.0,1.8,0,1.8,0.3729035894647888,0.776269672803172,0.3615151515151515,0.1743969917297363,0.202008099,0.059607585,1.0,1.0,3.6151515151515152,3.642533936651584,461.0,54.0,211.0,23.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.6783722469042442,0.7058963693139448,0.759090909090909,0.7804139323573952,9,16.0,1.7777777777777777,0,1.7777777777777777,0.3627848328709923,0.7790897196436725,0.381401088114869,0.1621451377868652,0.1824330169999999,0.0452671699999999,1.0,1.0,3.432609793033821,3.3545454545454545,453.0,62.0,203.0,31.0,C2,C2,C2
exact_M-of-N,no_discretization,titanic,0,0.6743548539559505,0.7063403010812825,0.7636363636363637,0.7799091367995962,10,18.0,1.8,0,1.8,0.3740850439769013,0.7764671570425691,0.3626451287228672,0.1621079444885254,0.197097018,0.04921256,1.0,1.0,3.626451287228672,3.540909090909091,460.0,55.0,203.0,31.0,C2,C2,C2
