model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,titanic,0,0.7095661215615843,0.7110278010812826,0.7863636363636364,0.7829379101463907,14,22.0,1.5714285714285714,0,1.5714285714285714,0.3298167977469373,0.7777687585966826,0.2356674118410615,0.177599071,0.15964804,0.066262545,1.0,1.0,3.299343765774861,3.263636363636364,573.0,53.0,361.0,30.0,C2,C2,C2
plain,no_discretization,titanic,0,0.6894318933736648,0.713264937546607,0.759090909090909,0.7859666834931852,13,21.0,1.6153846153846154,0,1.6153846153846154,0.349298192239063,0.7859743905883128,0.2290218615306954,0.105563459,0.139023721,0.060105793,1.0,1.0,2.977284199899041,2.9545454545454546,543.0,52.0,360.0,31.0,C2,C2,C2
plain,no_discretization,titanic,0,0.6857453445505246,0.7136733314690529,0.759090909090909,0.7859666834931852,14,22.0,1.5714285714285714,0,1.5714285714285714,0.3336360105864163,0.7829549525533877,0.2353068435854907,0.116721078,0.148475329,0.062479941,1.0,1.0,3.2942958101968705,3.309090909090909,562.0,64.0,348.0,43.0,C2,C2,C2
plain,no_discretization,titanic,0,0.7655733056054448,0.7048133389261745,0.8272727272727273,0.7783947501261989,15,24.0,1.6,0,1.6,0.3337522230337976,0.7733417156149066,0.232374221773515,0.122211778,0.162095349,0.06808248,1.0,1.0,3.485613326602726,3.518181818181818,561.0,65.0,355.0,36.0,C2,C2,C2
plain,no_discretization,titanic,0,0.7273371774269779,0.7090569071588367,0.7954545454545454,0.7819283190307925,15,24.0,1.6,0,1.6,0.337353563987649,0.7763131628351821,0.2325088339222615,0.181683841,0.227944676,0.07895164,1.0,1.0,3.487632508833922,3.5,559.0,67.0,350.0,41.0,C2,C2,C2
plain,no_discretization,titanic,0,0.7511579544380376,0.7064113767710664,0.8227272727272728,0.778899545683998,15,24.0,1.6,0,1.6,0.3351201461642447,0.7755399501481569,0.2327444051825677,0.123773931,0.160129443,0.068729545,1.0,1.0,3.491166077738516,3.4681818181818183,567.0,59.0,349.0,42.0,C2,C2,C2
plain,no_discretization,titanic,0,0.7306928821249645,0.7086840510812826,0.8,0.7814235234729935,15,24.0,1.6,0,1.6,0.3362859556985728,0.7761337749124179,0.2322396096247686,0.121535687,0.1585574,0.068156107,1.0,1.0,3.483594144371529,3.536363636363636,565.0,61.0,348.0,43.0,C2,C2,C2
plain,no_discretization,titanic,0,0.6687639821029082,0.7156000882251,0.7420814479638009,0.7878787878787878,15,24.0,1.6,0,1.6,0.3402419879571497,0.7780567767592524,0.2324242424242424,0.207791226,0.284389196,0.106978886,1.0,1.0,3.4863636363636363,3.51131221719457,563.0,63.0,355.0,36.0,C2,C2,C2
plain,no_discretization,titanic,0,0.6994990074676246,0.7121463693139448,0.7727272727272727,0.784452296819788,14,22.0,1.5714285714285714,0,1.5714285714285714,0.3293448030676162,0.7785448258759213,0.2355592413643902,0.121608273,0.149138362,0.06263049,1.0,1.0,3.297829379101464,3.277272727272728,562.0,64.0,351.0,40.0,C2,C2,C2
plain,no_discretization,titanic,0,0.6813971074770773,0.7141528010812825,0.7681818181818182,0.784957092377587,15,24.0,1.6,0,1.6,0.3417455954340864,0.778771139963624,0.2329463234056873,0.119693663,0.157301046,0.067985749,1.0,1.0,3.4941948510853105,3.440909090909091,553.0,73.0,342.0,49.0,C2,C2,C2
