model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,vote,0.7777777777777778,0.9814814814814814,0.95182119205298,0.9772727272727272,0.9514066496163684,9,17.0,1.1111111111111112,0.0,1.8888888888888888,0.8308850605875029,0.9580916599615288,0.4350667803353225,0.0853710174560546,0.058193268,0.002772794,1.0,1.0,3.915601023017903,4.068181818181818,34.0,4.0,6.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.5,0.8747276688453158,0.9626103752759384,0.8863636363636364,0.9616368286445012,8,15.0,1.125,0.25,1.875,0.853254762222153,0.9683842610321172,0.4466112531969309,0.0843536853790283,0.05377256,0.003030785,1.0,1.0,3.572890025575448,3.522727272727273,24.0,10.0,3.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.125,0.9321266968325792,0.9701574565139732,0.9302325581395348,0.9693877551020408,8,17.0,1.625,0.375,2.125,0.8051648646593496,0.9646204107972768,0.4215561224489795,0.0821220874786377,0.04941669,0.001263007,1.0,1.0,3.372448979591837,3.116279069767442,32.0,5.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.75,0.9375,0.9615131578947368,0.9534883720930232,0.9617346938775512,8,14.0,1.0,0.0,1.75,0.808024683950889,0.9487557411217564,0.4406887755102041,0.0866851806640625,0.05522127,0.001303541,1.0,1.0,3.5255102040816326,3.7906976744186047,47.0,4.0,11.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.45454545454545453,0.921945701357466,0.9630952708087164,0.9302325581395348,0.9591836734693876,11,23.0,1.5454545454545454,0.09090909090909091,2.090909090909091,0.8386877103347189,0.9678577780810456,0.4107142857142856,0.0815906524658203,0.062501693,0.001740546,1.0,1.0,4.517857142857143,4.72093023255814,25.0,3.0,3.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.8181818181818182,1.0,0.9601545253863136,1.0,0.9616368286445012,11,19.0,0.9090909090909091,0.0,1.7272727272727273,0.8527528576700445,0.9686781728251792,0.4589630318530574,0.134361982345581,0.05081927,0.0032787549999999,1.0,1.0,5.048593350383632,5.045454545454546,42.0,3.0,5.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.375,0.9705882352941176,0.9605270419426049,0.9772727272727272,0.959079283887468,8,15.0,1.125,0.375,1.875,0.842009581229098,0.9657614704784724,0.440537084398977,0.0768632888793945,0.054113627,0.001242048,1.0,1.0,3.524296675191816,3.340909090909091,24.0,4.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.75,0.9335511982570806,0.9646937086092716,0.9318181818181818,0.9641943734015346,8,13.0,0.875,0.0,1.625,0.8006963695263513,0.9448031563117189,0.4418158567774936,0.0747387409210205,0.053362843,0.003290848,1.0,1.0,3.534526854219949,3.6818181818181817,49.0,4.0,11.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.5555555555555556,0.8823529411764706,0.9577505427166058,0.9069767441860463,0.9617346938775512,9,17.0,1.1111111111111112,0.2222222222222222,1.8888888888888888,0.80627428413122,0.9647095679298806,0.425453514739229,0.0846333503723144,0.055012724,0.002903507,1.0,1.0,3.829081632653061,3.8372093023255816,28.0,5.0,10.0,4.0,C2,C2,C2
at_least_M-of-N,no_discretization,vote,0.5,0.9814814814814814,0.968092105263158,0.9767441860465116,0.9668367346938777,10,20.0,1.3,0.2,2.0,0.8120515349036967,0.9564851416614076,0.4178571428571428,0.0931196212768554,0.0555326629999999,0.001761405,1.0,1.0,4.178571428571429,4.255813953488372,40.0,4.0,8.0,0.0,C2,C2,C2
