model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,vote,0,0.9814814814814814,0.961382450331126,0.9772727272727272,0.9616368286445012,9,25.0,1.4444444444444444,1.3333333333333333,2.7777777777777777,0.8327393818340167,0.963473359639766,0.4470019892014776,0.405603921,0.491017528,0.005015847,1.0,1.0,4.023017902813299,4.181818181818182,37.0,3.0,8.0,0.0,C2,C2,C2
complex,no_discretization,vote,0,0.9041394335511984,0.965921633554084,0.9090909090909092,0.9641943734015346,10,29.0,1.6,1.3,2.9,0.860965731175612,0.9744188975356586,0.4312020460358056,0.27845494,0.382831066,0.012584777,1.0,1.0,4.312020460358056,4.136363636363637,21.0,6.0,4.0,4.0,C2,C2,C2
complex,no_discretization,vote,0,0.9321266968325792,0.9722321453106536,0.9302325581395348,0.971938775510204,8,20.0,1.5,1.0,2.5,0.8400293027428583,0.9663790431468212,0.4119897959183674,0.237648483,0.370487088,0.007880942,1.0,1.0,3.295918367346939,3.0930232558139537,23.0,3.0,4.0,0.0,C2,C2,C2
complex,no_discretization,vote,0,0.9375,0.9618421052631578,0.9534883720930232,0.9591836734693876,7,18.0,1.4285714285714286,1.1428571428571428,2.5714285714285716,0.8599828725565372,0.9641116305873164,0.4515306122448979,0.232510407,0.2777251699999999,0.0045433869999999,1.0,1.0,3.1607142857142856,3.209302325581396,21.0,1.0,4.0,1.0,C2,C2,C2
complex,no_discretization,vote,0,0.9513574660633484,0.9755434035887994,0.9534883720930232,0.9744897959183674,9,24.0,1.4444444444444444,1.2222222222222223,2.6666666666666665,0.8427955581764761,0.9633172706334084,0.4339569160997733,0.388055143,0.4982626089999999,0.009386971,1.0,1.0,3.9056122448979593,4.1395348837209305,34.0,3.0,6.0,0.0,C2,C2,C2
complex,no_discretization,vote,0,0.962962962962963,0.9646937086092716,0.9545454545454546,0.9641943734015346,8,22.0,1.375,1.375,2.75,0.7957760868194074,0.9278944675290208,0.4546035805626598,0.332649827,0.362864095,0.008198884,1.0,1.0,3.636828644501279,3.727272727272727,89.0,13.0,77.0,10.0,C2,C2,C2
complex,no_discretization,vote,0,0.9705882352941176,0.9713162251655628,0.9772727272727272,0.969309462915601,7,16.0,1.2857142857142858,1.0,2.2857142857142856,0.8448183039000885,0.9640264340381998,0.433321154548776,0.202815637,0.270017547,0.006831076,1.0,1.0,3.033248081841432,2.9318181818181817,20.0,4.0,3.0,2.0,C2,C2,C2
complex,no_discretization,vote,0,0.9335511982570806,0.9671495584988964,0.9318181818181818,0.9641943734015346,8,20.0,1.5,1.0,2.5,0.8706641566646591,0.9678278494067144,0.4389386189258312,0.22396928,0.309356709,0.010798045,1.0,1.0,3.511508951406649,3.590909090909091,22.0,3.0,5.0,0.0,C2,C2,C2
complex,no_discretization,vote,0,1.0,0.9755434035887994,1.0,0.9744897959183674,8,19.0,1.25,1.125,2.375,0.8703452417021038,0.9722479497129424,0.4550382653061225,0.233656012,0.33275931,0.006371247,1.0,1.0,3.64030612244898,3.627906976744186,17.0,5.0,5.0,3.0,C2,C2,C2
complex,no_discretization,vote,0,0.9814814814814814,0.9722587719298246,0.9767441860465116,0.971938775510204,8,21.0,1.5,1.125,2.625,0.8619029645436617,0.9687049563413916,0.4298469387755102,0.256594798,0.403054708,0.008434445,1.0,1.0,3.438775510204082,3.3255813953488373,17.0,1.0,4.0,0.0,C2,C2,C2
