model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,vote,0.36363636363636365,0.9814814814814814,0.95807119205298,0.9772727272727272,0.959079283887468,11,27.0,1.6363636363636365,0.45454545454545453,2.4545454545454546,0.8297050220845638,0.9725891433450524,0.4115322018135318,0.0847537517547607,0.060377209,0.0017504159999999,1.0,1.0,4.5268542199488495,4.75,28.0,3.0,8.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.5,0.9335511982570806,0.964210816777042,0.9318181818181818,0.959079283887468,10,21.0,1.3,0.3,2.1,0.8463288269967224,0.9680323323924204,0.4063938618925831,0.088526964187622,0.058964907,0.0033535859999999,1.0,1.0,4.063938618925831,3.636363636363636,26.0,8.0,1.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.2222222222222222,0.9321266968325792,0.9680827677172928,0.9302325581395348,0.9668367346938777,9,19.0,1.4444444444444444,0.4444444444444444,2.111111111111111,0.8132252387141291,0.963549480379088,0.4217687074829931,0.0858156681060791,0.050120815,0.001444264,1.0,1.0,3.795918367346939,3.581395348837209,33.0,2.0,4.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.5,0.96875,0.9713815789473684,0.9767441860465116,0.9693877551020408,10,19.0,1.2,0.2,1.9,0.8139887097494428,0.9602572995160764,0.4091836734693877,0.0811328887939453,0.063818342,0.001994479,1.0,1.0,4.091836734693878,4.534883720930233,38.0,6.0,6.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.1,0.9513574660633484,0.9597840125305708,0.9534883720930232,0.9566326530612244,10,22.0,1.9,0.2,2.2,0.8387407554339215,0.9678949572920766,0.4020408163265306,0.0853064060211181,0.068813279,0.002527615,1.0,1.0,4.020408163265306,4.209302325581396,26.0,4.0,4.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.4,1.0,0.9680049668874172,1.0,0.9667519181585678,10,23.0,1.6,0.3,2.3,0.8060382619618448,0.963137504366089,0.39769820971867,0.2003757953643798,0.11685178,0.005620587,1.0,1.0,3.976982097186701,3.909090909090909,40.0,2.0,1.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.1,0.9520697167755992,0.964210816777042,0.9545454545454546,0.959079283887468,10,21.0,1.4,0.6,2.1,0.8377042546661058,0.9652573041102006,0.4069053708439898,0.0806162357330322,0.056996655,0.003390864,1.0,1.0,4.069053708439898,3.840909090909091,28.0,5.0,1.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.6,0.9335511982570806,0.9746274834437086,0.9318181818181818,0.9718670076726342,10,19.0,1.2,0.1,1.9,0.8096540106237505,0.9586998662435786,0.4092071611253197,0.0771925449371337,0.058292051,0.001446798,1.0,1.0,4.092071611253197,4.2727272727272725,40.0,3.0,5.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.0,0.9705882352941176,0.969319337198758,0.9767441860465116,0.9668367346938777,10,19.0,1.2,0.7,1.9,0.7963739191614515,0.9598055654978768,0.4104591836734694,0.0851273536682128,0.05773491,0.007258474,1.0,1.0,4.104591836734694,3.86046511627907,35.0,6.0,2.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,vote,0.0,0.9814814814814814,0.9648026315789472,0.9767441860465116,0.9642857142857144,9,19.0,1.6666666666666667,0.4444444444444444,2.111111111111111,0.7988950900766166,0.95906724591846,0.4075963718820862,0.0965852737426757,0.064056415,0.010741067,1.0,1.0,3.668367346938776,3.627906976744186,36.0,4.0,5.0,0.0,C2,C2,C2
