model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,wine,0.0,0.8492063492063492,0.9859587538394032,0.8333333333333334,0.9875,12,22.0,1.75,0.08333333333333333,1.8333333333333333,0.8930012020988739,1.0,0.2734375,0.1053671836853027,0.060342661,0.001987988,1.0,1.0,3.28125,3.2222222222222223,0.0,3.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.3076923076923077,0.8968253968253969,0.9859587538394032,0.8888888888888888,0.9875,13,22.0,1.3076923076923077,0.07692307692307693,1.6923076923076923,0.8909253968661878,0.985014985014985,0.2908653846153846,0.1229767799377441,0.097722383,0.0242792389999999,1.0,1.0,3.78125,3.4444444444444446,13.0,4.0,3.0,3.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.15384615384615385,0.9523809523809524,1.0,0.9444444444444444,1.0,13,24.0,1.4615384615384615,0.23076923076923078,1.8461538461538463,0.8920613481790259,1.0,0.2673076923076922,0.1094961166381836,0.043225476,0.0018102359999999,1.0,1.0,3.475,3.7222222222222223,0.0,3.0,0.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.0,0.85,1.0,0.8823529411764706,1.0,16,32.0,1.875,0.125,2.0,0.9069940476190476,1.0,0.2791149068322981,0.1249680519104003,0.051259441,0.002409812,1.0,1.0,4.46583850931677,4.352941176470588,0.0,3.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.0,0.9523809523809524,1.0,0.9444444444444444,1.0,14,27.0,1.8571428571428572,0.07142857142857142,1.9285714285714286,0.8909864132138157,1.0,0.2642857142857143,0.1095776557922363,0.047141978,0.001485428,1.0,1.0,3.7,3.9444444444444446,0.0,1.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.0,0.9523809523809524,1.0,0.9444444444444444,1.0,13,27.0,1.9230769230769231,0.15384615384615385,2.076923076923077,0.883410560890404,1.0,0.2673076923076923,0.1186072826385498,0.0541465069999999,0.004213578,1.0,1.0,3.475,3.333333333333333,0.0,2.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.0,0.9523809523809524,0.992248062015504,0.9444444444444444,0.99375,14,27.0,1.7857142857142858,0.14285714285714285,1.9285714285714286,0.893466109430828,1.0,0.2691964285714286,0.1124675273895263,0.050674658,0.002310592,1.0,1.0,3.76875,3.111111111111111,0.0,0.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.0,1.0,1.0,1.0,1.0,14,28.0,1.8571428571428572,0.14285714285714285,2.0,0.8919785855325018,1.0,0.2660714285714285,0.1225068569183349,0.054559915,0.008785611,1.0,1.0,3.725,4.222222222222222,0.0,1.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.0,1.0,0.992248062015504,1.0,0.99375,15,30.0,1.8,0.2,2.0,0.8824751810004389,1.0,0.2616666666666666,0.129472017288208,0.0475870699999999,0.0040048,1.0,1.0,3.925,3.8333333333333335,0.0,1.0,0.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,wine,0.23076923076923078,0.9166666666666666,0.9861349342481418,0.9411764705882352,0.9875776397515528,13,25.0,1.5384615384615385,0.15384615384615385,1.9230769230769231,0.8966016295025729,1.0,0.2732919254658384,0.0978682041168212,0.052570517,0.002577228,1.0,1.0,3.5527950310559007,3.823529411764706,0.0,2.0,0.0,1.0,C2,C2,C2
