model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,wine,0,0.8492063492063492,0.9859587538394032,0.8333333333333334,0.9875,12,22.0,1.5833333333333333,0.25,1.8333333333333333,0.8930012020988739,1.0,0.2734375,0.320410444,0.723127643,0.003071604,1.0,1.0,3.28125,3.2777777777777777,0.0,3.0,0.0,1.0,C2,C2,C2
complex,no_discretization,wine,0,0.8968253968253969,0.9859587538394032,0.8888888888888888,0.9875,14,25.0,1.6428571428571428,0.14285714285714285,1.7857142857142858,0.9072994695355108,1.0,0.2723214285714285,0.321508221,0.7964287250000001,0.002662034,1.0,1.0,3.8125,3.7777777777777777,0.0,3.0,0.0,2.0,C2,C2,C2
complex,no_discretization,wine,0,0.9523809523809524,1.0,0.9444444444444444,1.0,13,25.0,1.3846153846153846,0.5384615384615384,1.9230769230769231,0.8913356587740913,1.0,0.266826923076923,0.292143576,0.6957793280000001,0.001982618,1.0,1.0,3.46875,3.6666666666666665,0.0,3.0,0.0,2.0,C2,C2,C2
complex,no_discretization,wine,0,0.85,1.0,0.8823529411764706,1.0,16,32.0,1.8125,0.1875,2.0,0.9069940476190476,1.0,0.2791149068322981,0.405021601,0.913732334,0.002665901,1.0,1.0,4.46583850931677,4.411764705882353,0.0,4.0,0.0,2.0,C2,C2,C2
complex,no_discretization,wine,0,0.9523809523809524,1.0,0.9444444444444444,1.0,14,27.0,1.7857142857142858,0.14285714285714285,1.9285714285714286,0.8909864132138157,1.0,0.2642857142857143,0.333859263,0.747744697,0.005296078,1.0,1.0,3.7,3.9444444444444446,0.0,1.0,0.0,1.0,C2,C2,C2
complex,no_discretization,wine,0,0.9523809523809524,1.0,0.9444444444444444,1.0,13,27.0,1.8461538461538463,0.23076923076923078,2.076923076923077,0.883410560890404,1.0,0.2673076923076923,0.386863156,0.931263893,0.0033469029999999,1.0,1.0,3.475,3.388888888888889,0.0,3.0,0.0,1.0,C2,C2,C2
complex,no_discretization,wine,0,0.9523809523809524,0.992248062015504,0.9444444444444444,0.99375,14,27.0,1.7142857142857142,0.21428571428571427,1.9285714285714286,0.893466109430828,1.0,0.2691964285714286,0.359685028,0.732066157,0.003030116,1.0,1.0,3.76875,3.111111111111111,0.0,0.0,0.0,0.0,C2,C2,C2
complex,no_discretization,wine,0,1.0,1.0,1.0,1.0,14,28.0,1.7142857142857142,0.2857142857142857,2.0,0.8919785855325018,1.0,0.2660714285714285,0.375802211,0.893952861,0.004746715,1.0,1.0,3.725,4.222222222222222,0.0,1.0,0.0,1.0,C2,C2,C2
complex,no_discretization,wine,0,1.0,0.992248062015504,1.0,0.99375,15,30.0,1.6666666666666667,0.3333333333333333,2.0,0.8824751810004389,1.0,0.2616666666666666,0.371084593,0.855464155,0.002951475,1.0,1.0,3.925,3.8333333333333335,0.0,1.0,0.0,1.0,C2,C2,C2
complex,no_discretization,wine,0,0.9166666666666666,0.9924242424242424,0.9411764705882352,0.9937888198757764,13,25.0,1.5384615384615385,0.38461538461538464,1.9230769230769231,0.8936988718828343,1.0,0.2713807931199236,0.327387802,0.639184929,0.002236089,1.0,1.0,3.527950310559006,3.823529411764706,0.0,3.0,0.0,2.0,C2,C2,C2
