model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,wine,0.25,0.8492063492063492,0.9859587538394032,0.8333333333333334,0.9875,12,21.0,1.4166666666666667,0.08333333333333333,1.75,0.8950894489542197,1.0,0.275,0.1166470050811767,0.047779124,0.001908901,1.0,1.0,3.3,3.2222222222222223,0.0,3.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.0,0.8968253968253969,0.9859587538394032,0.8888888888888888,0.9875,14,25.0,1.7142857142857142,0.07142857142857142,1.7857142857142858,0.9072994695355108,1.0,0.2723214285714285,0.101236343383789,0.051267275,0.004836261,1.0,1.0,3.8125,3.8333333333333335,0.0,4.0,0.0,3.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.23076923076923078,0.9523809523809524,1.0,0.9444444444444444,1.0,13,24.0,1.3846153846153846,0.23076923076923078,1.8461538461538463,0.8932632712559491,1.0,0.2682692307692307,0.1092591285705566,0.044428084,0.004628613,1.0,1.0,3.4875,3.7222222222222223,0.0,3.0,0.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.0,0.85,1.0,0.8823529411764706,1.0,16,32.0,1.875,0.125,2.0,0.9069940476190476,1.0,0.2791149068322981,0.1257469654083252,0.04634939,0.010228492,1.0,1.0,4.46583850931677,4.352941176470588,0.0,3.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.0,0.9523809523809524,1.0,0.9444444444444444,1.0,14,27.0,1.8571428571428572,0.07142857142857142,1.9285714285714286,0.8909864132138157,1.0,0.2642857142857143,0.1156480312347412,0.047928076,0.003586384,1.0,1.0,3.7,3.9444444444444446,0.0,1.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.2857142857142857,0.9523809523809524,1.0,0.9444444444444444,1.0,14,27.0,1.5,0.14285714285714285,1.9285714285714286,0.8810725255437849,1.0,0.2647321428571428,0.1214430332183837,0.051045543,0.004778664,1.0,1.0,3.70625,3.5,0.0,3.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.07142857142857142,0.8968253968253969,0.992248062015504,0.8888888888888888,0.99375,14,27.0,1.7142857142857142,0.14285714285714285,1.9285714285714286,0.893466109430828,1.0,0.2691964285714286,0.1119797229766845,0.045724601,0.002154548,1.0,1.0,3.76875,3.055555555555556,0.0,0.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.07142857142857142,1.0,1.0,1.0,1.0,14,28.0,1.7857142857142858,0.14285714285714285,2.0,0.8930946569610733,1.0,0.2669642857142857,0.2023882865905761,0.04511097,0.007288815,1.0,1.0,3.7375,4.166666666666667,0.0,1.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.0,1.0,0.992248062015504,1.0,0.99375,15,30.0,1.8,0.2,2.0,0.8824751810004389,1.0,0.2616666666666666,0.1385722160339355,0.042541298,0.005808305,1.0,1.0,3.925,3.8333333333333335,0.0,1.0,0.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,wine,0.15384615384615385,0.9166666666666666,0.9924242424242424,0.9411764705882352,0.9937888198757764,13,25.0,1.5384615384615385,0.23076923076923078,1.9230769230769231,0.8950255228262305,1.0,0.272336359292881,0.1028172969818115,0.054977416,0.0020171119999999,1.0,1.0,3.540372670807453,3.882352941176471,0.0,3.0,0.0,2.0,C2,C2,C2
