model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,wine,0,0.8492063492063492,0.9859587538394032,0.8333333333333334,0.9875,12,22.0,1.8333333333333333,0,1.8333333333333333,0.8806314104322072,1.0,0.2635416666666667,0.041207117,0.091424452,0.005829822,1.0,1.0,3.1625,3.0,0.0,1.0,0.0,0.0,C2,C2,C2
plain,no_discretization,wine,0,0.8968253968253969,0.9859587538394032,0.8888888888888888,0.9875,15,27.0,1.8,0,1.8,0.8988961715664767,1.0,0.2691666666666666,0.051862154,0.118843241,0.00643838,1.0,1.0,4.0375,4.0,0.0,3.0,0.0,2.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,1.0,1.0,1.0,14,28.0,2.0,0,2.0,0.8904425793737856,1.0,0.2683035714285714,0.039758235,0.094460298,0.005488738,1.0,1.0,3.75625,3.6666666666666665,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,0.85,1.0,0.8823529411764706,1.0,16,31.0,1.9375,0,1.9375,0.8996362433862435,1.0,0.2732919254658384,0.072716586,0.1585968999999999,0.005136301,1.0,1.0,4.372670807453416,4.176470588235294,0.0,4.0,0.0,2.0,C2,C2,C2
plain,no_discretization,wine,0,0.9523809523809524,1.0,0.9444444444444444,1.0,14,27.0,1.9285714285714286,0,1.9285714285714286,0.891660267661255,1.0,0.2647321428571428,0.038490391,0.0899856989999999,0.004816622,1.0,1.0,3.70625,3.9444444444444446,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,0.9523809523809524,1.0,0.9444444444444444,1.0,13,28.0,2.1538461538461537,0,2.1538461538461537,0.8913477887568774,1.0,0.2735576923076923,0.045955956,0.1002136,0.005819816,1.0,1.0,3.55625,3.5,0.0,2.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,0.9523809523809524,0.992248062015504,0.9444444444444444,0.99375,14,28.0,2.0,0,2.0,0.8941399638782673,1.0,0.2696428571428572,0.038685233,0.089281207,0.005788598,1.0,1.0,3.775,3.2777777777777777,0.0,1.0,0.0,0.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,1.0,1.0,1.0,15,30.0,2.0,0,2.0,0.8858741955536054,1.0,0.26375,0.06801806,0.148029002,0.008035793,1.0,1.0,3.95625,4.5,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,0.992248062015504,1.0,0.99375,15,29.0,1.9333333333333333,0,1.9333333333333333,0.884666611818049,1.0,0.2633333333333333,0.041871016,0.100202559,0.0055428,1.0,1.0,3.95,3.7777777777777777,0.0,1.0,0.0,1.0,C2,C2,C2
plain,no_discretization,wine,0,1.0,0.9924242424242424,1.0,0.9937888198757764,14,28.0,2.0,0,2.0,0.8866881202523891,1.0,0.2684117125110913,0.039582417,0.091995669,0.004934905,1.0,1.0,3.75776397515528,3.7058823529411766,0.0,0.0,0.0,0.0,C2,C2,C2
