model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,zoo,0.1,1.0,0.9841269841269842,1.0,0.989010989010989,10,16.0,0.3,1.2,1.6,0.9077777777777778,1.0,0.1087912087912088,0.057213544845581,0.136695201,0.0039356429999999,0.9,0.9,1.0879120879120878,1.1,0.0,0.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.0,0.75,1.0,0.8,1.0,8,11.0,0.125,1.25,1.375,0.9236280487804878,0.9875,0.1263736263736263,0.0365521907806396,0.098059275,0.005652904,0.875,0.875,1.010989010989011,1.5,1.0,2.0,1.0,2.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8881559497413155,0.9818181818181818,0.110989010989011,0.0453062057495117,0.162023093,0.00402595,1.0,1.0,1.10989010989011,1.2,2.0,0.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.0,0.8333333333333334,1.0,0.9,1.0,8,13.0,0.25,1.375,1.625,0.9705030487804878,0.9875,0.1304945054945054,0.0489454269409179,0.151838318,0.008258846,1.0,1.0,1.043956043956044,1.1,1.0,1.0,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.1,0.8333333333333334,0.9841269841269842,0.9,0.989010989010989,10,17.0,0.3,1.3,1.7,0.8902777777777778,1.0,0.1065934065934065,0.0527269840240478,0.177780567,0.002211354,1.0,0.8,1.065934065934066,1.0,0.0,0.0,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.0529332160949707,0.184917983,0.0065600039999999,0.9,0.9,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.0490591526031494,0.168165714,0.003429398,0.9,0.9,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.0,1.0,0.979591836734694,1.0,0.9888888888888888,9,13.0,0.3333333333333333,1.1111111111111112,1.4444444444444444,0.9017155683822352,0.9797979797979798,0.1209876543209876,0.0439655780792236,0.160003681,0.005416803,1.0,1.0,1.0888888888888888,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.0,1.0,0.979591836734694,1.0,0.989010989010989,10,15.0,0.3,1.2,1.5,0.891568648154014,0.9818181818181818,0.1120879120879121,0.0454356670379638,0.163997056,0.004710237,0.9,0.9,1.120879120879121,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,zoo,0.1111111111111111,0.6666666666666666,0.9841269841269842,0.8,0.989010989010989,9,14.0,0.3333333333333333,1.1111111111111112,1.5555555555555556,0.9197530864197532,1.0,0.1172161172161172,0.0639660358428955,0.2080393989999999,0.001427994,1.0,1.0,1.054945054945055,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
