model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
complex,no_discretization,zoo,0,0.8,0.9841269841269842,0.9,0.989010989010989,10,16.0,0.4,1.2,1.6,0.8966666666666667,1.0,0.1065934065934065,0.08373648,0.290062554,0.0381039799999999,0.9,0.9,1.065934065934066,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,0.75,1.0,0.8,1.0,8,11.0,0.125,1.25,1.375,0.9236280487804878,0.9875,0.1263736263736263,0.385429108,0.577639871,0.0289983199999999,0.875,0.875,1.010989010989011,1.5,1.0,2.0,1.0,2.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8881559497413155,0.9818181818181818,0.110989010989011,0.239494101,0.431278814,0.032907401,1.0,1.0,1.10989010989011,1.2,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,0.8333333333333334,1.0,0.9,1.0,8,13.0,0.25,1.375,1.625,0.9705030487804878,0.9875,0.1304945054945054,0.260694066,0.5607109989999999,0.023739081,1.0,1.0,1.043956043956044,1.1,1.0,1.0,1.0,1.0,C2,C2,C2
complex,no_discretization,zoo,0,0.8333333333333334,1.0,0.9,1.0,10,16.0,0.3,1.3,1.6,0.8756559497413156,0.9818181818181818,0.1098901098901099,0.250987981,0.4610237729999999,0.028669767,1.0,0.8,1.098901098901099,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.250410322,0.437790095,0.02830139,0.9,0.9,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.248204307,0.465167339,0.035162938,0.9,0.9,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,0.979591836734694,1.0,0.9888888888888888,9,13.0,0.3333333333333333,1.1111111111111112,1.4444444444444444,0.9017155683822352,0.9797979797979798,0.1209876543209876,0.342152064,0.527650799,0.024920764,1.0,1.0,1.0888888888888888,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,1.0,0.979591836734694,1.0,0.989010989010989,10,15.0,0.3,1.2,1.5,0.891568648154014,0.9818181818181818,0.1120879120879121,0.337395073,0.5500319759999999,0.021357477,0.9,0.9,1.120879120879121,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
complex,no_discretization,zoo,0,0.6666666666666666,0.9841269841269842,0.8,0.989010989010989,9,14.0,0.4444444444444444,1.1111111111111112,1.5555555555555556,0.9074074074074072,1.0,0.1147741147741147,0.064490242,0.248978203,0.0285465549999999,1.0,1.0,1.032967032967033,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
