model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,zoo,0.1,1.0,1.0,1.0,1.0,10,16.0,0.3,1.2,1.6,0.9022222222222224,1.0,0.1076923076923077,0.051013708114624,0.140986851,0.001627777,0.9,0.9,1.0769230769230769,1.0,0.0,0.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.0,0.75,1.0,0.8,1.0,8,11.0,0.125,1.25,1.375,0.9236280487804878,0.9875,0.1263736263736263,0.0358881950378418,0.100787645,0.005408136,0.875,0.875,1.010989010989011,1.5,1.0,2.0,1.0,2.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8881559497413155,0.9818181818181818,0.110989010989011,0.0445749759674072,0.16683003,0.004406539,1.0,1.0,1.10989010989011,1.2,2.0,0.0,2.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.0,0.8333333333333334,1.0,0.9,1.0,8,13.0,0.25,1.375,1.625,0.9705030487804878,0.9875,0.1304945054945054,0.0550971031188964,0.196043051,0.004596524,1.0,1.0,1.043956043956044,1.1,1.0,1.0,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.1,0.8333333333333334,0.9841269841269842,0.9,0.989010989010989,10,17.0,0.3,1.3,1.7,0.8902777777777778,1.0,0.1065934065934065,0.0499348640441894,0.1723264879999999,0.00189341,1.0,0.8,1.065934065934066,1.0,0.0,0.0,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.0499370098114013,0.189245663,0.005541516,0.9,0.9,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.0,1.0,1.0,1.0,1.0,10,15.0,0.3,1.2,1.5,0.8931559497413156,0.9818181818181818,0.1120879120879121,0.0450649261474609,0.165145771,0.003768963,0.9,0.9,1.120879120879121,1.1,2.0,0.0,2.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.0,1.0,0.979591836734694,1.0,0.9888888888888888,9,13.0,0.3333333333333333,1.1111111111111112,1.4444444444444444,0.9017155683822352,0.9797979797979798,0.1209876543209876,0.0440866947174072,0.155866822,0.005561711,1.0,1.0,1.0888888888888888,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.0,1.0,0.979591836734694,1.0,0.989010989010989,10,15.0,0.3,1.2,1.5,0.891568648154014,0.9818181818181818,0.1120879120879121,0.0453832149505615,0.176829974,0.0053626839999999,0.9,0.9,1.120879120879121,1.0,2.0,0.0,2.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,zoo,0.1111111111111111,0.6666666666666666,0.9841269841269842,0.8,0.989010989010989,9,14.0,0.3333333333333333,1.1111111111111112,1.5555555555555556,0.9135802469135802,1.0,0.115995115995116,0.0511224269866943,0.16751814,0.003312308,1.0,1.0,1.043956043956044,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
