model_type,variant,dataset,M-of-N count,BAcc (test),BAcc (train),Acc (test),Acc (train),rules,conditions_count,plain conditions count,complex conditions count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,rules_per_example (train) ,rules_per_example (test) ,voting_conflicts (train) ,voting_conflicts (test) ,negative_voting_conflicts (train) ,negative_voting_conflicts (test) ,induction measure,pruning measure,voting measure
plain,no_discretization,zoo,0,0.8,0.9662698412698412,0.9,0.978021978021978,12,30.0,2.5,0,2.5,0.8586805555555556,1.0,0.0915750915750915,0.036004778,0.159615138,0.005898032,0.8333333333333334,0.8333333333333334,1.098901098901099,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,zoo,0,0.8,1.0,0.9,1.0,11,27.0,2.4545454545454546,0,2.4545454545454546,0.8808203991130821,0.990909090909091,0.0999000999000999,0.036342458,0.161706846,0.003655969,0.9090909090909092,0.9090909090909092,1.098901098901099,1.4,1.0,2.0,1.0,2.0,C2,C2,C2
plain,no_discretization,zoo,0,1.0,0.979591836734694,1.0,0.989010989010989,13,31.0,2.3846153846153846,0,2.3846153846153846,0.8400955413150535,0.986013986013986,0.0896027049873203,0.034319174,0.176906708,0.003278054,1.0,0.8461538461538461,1.164835164835165,1.3,2.0,1.0,2.0,0.0,C2,C2,C2
plain,no_discretization,zoo,0,0.6666666666666666,0.979591836734694,0.8,0.989010989010989,11,26.0,2.3636363636363638,0,2.3636363636363638,0.8798824481751311,0.990909090909091,0.0989010989010989,0.074723209,0.393968119,0.009815097,1.0,1.0,1.0879120879120878,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,zoo,0,1.0,0.979591836734694,1.0,0.989010989010989,13,31.0,2.3846153846153846,0,2.3846153846153846,0.8593263105458226,0.986013986013986,0.0912933220625528,0.03568357,0.158376886,0.008766715,1.0,1.0,1.1868131868131868,1.1,2.0,1.0,2.0,1.0,C2,C2,C2
plain,no_discretization,zoo,0,1.0,0.9821428571428572,1.0,0.989010989010989,12,27.0,2.25,0,2.25,0.8650142173770224,0.9848484848484848,0.097985347985348,0.034849674,0.157741129,0.003960307,1.0,1.0,1.175824175824176,1.3,2.0,2.0,2.0,1.0,C2,C2,C2
plain,no_discretization,zoo,0,1.0,0.979591836734694,1.0,0.989010989010989,13,31.0,2.3846153846153846,0,2.3846153846153846,0.8490699002894126,0.986013986013986,0.0912933220625528,0.046659522,0.251760832,0.0067440589999999,1.0,1.0,1.1868131868131868,1.2,2.0,1.0,2.0,1.0,C2,C2,C2
plain,no_discretization,zoo,0,0.8333333333333334,0.963718820861678,0.9090909090909092,0.9777777777777776,12,29.0,2.4166666666666665,0,2.4166666666666665,0.8586309523809524,1.0,0.0888888888888888,0.036484793,0.167621809,0.005224706,1.0,1.0,1.0666666666666669,1.0909090909090908,0.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,zoo,0,0.8333333333333334,0.963718820861678,0.9,0.978021978021978,12,29.0,2.4166666666666665,0,2.4166666666666665,0.8440476190476192,1.0,0.0888278388278388,0.035059305,0.16131154,0.0058078529999999,0.8333333333333334,0.8333333333333334,1.065934065934066,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
plain,no_discretization,zoo,0,0.6666666666666666,1.0,0.8,1.0,12,27.0,2.25,0,2.25,0.861111111111111,1.0,0.0924908424908425,0.044635598,0.150525874,0.006827425,1.0,0.8333333333333334,1.10989010989011,0.9,0.0,0.0,0.0,0.0,C2,C2,C2
