model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,auto-mpg,0.16666666666666666,0.2257551674360434,0.1640020330309171,29944146458580.867,0.5181795405575257,0.3764365577613472,299441464585.80865,0.5571433436033316,0.4056992358662806,0.1180011183927537,0.0790307905913135,1672857344055.0042,0.3091815810451161,0.2070731626876538,16728573440.55004,0.7154255319148936,0.6582538297214691,12,1.3333333333333333,3.25,57.0,4.75,0.6421671456021838,0.8568866196317865,0.2255586592178771,19.40942144393921,1.7225264189999998,2.169036546,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.0,0.2034924785372894,0.1496418682340163,16173089635966.275,0.5054541337540507,0.3716948234413598,161730896359.66275,0.5889136576322063,0.5346575819972262,0.1399262922992159,0.1024384646356053,2255335569524.03,0.3574923292996918,0.261716113038692,22553355695.2403,0.5613175170774962,0.5503632311575677,5,0.4,1.4,9.0,1.8,0.644830084901794,0.851782502310015,0.2955307262569832,2.369714975357056,0.280724016,0.239560666,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.0,0.1461399596750992,0.1174251124594207,44916219687871.27,0.4177334007151238,0.3356535178063806,449162196878.7127,0.4281914893617021,0.7018520395237678,0.1302213479577431,0.0935376849651311,1672857344055.056,0.3384729127577024,0.2431242893679303,16728573440.55056,0.4973404255319149,0.5996334551935054,13,1.2307692307692308,3.076923076923077,56.0,4.3076923076923075,0.631551776907039,0.8765917692211804,0.2249677696605071,7.947253704071045,1.527825466,1.200905834,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.1111111111111111,0.1916211405945089,0.1399116989195361,14692464736330.771,0.418328948925515,0.3054418409670495,146924647363.3077,0.5336294910762998,0.4457721519219669,0.1332151011485161,0.0947226537219966,1610381952877.2932,0.3425059944273691,0.2435390314472105,16103819528.772932,0.5564891044009519,0.5957901239737851,9,0.6666666666666666,2.4444444444444446,29.0,3.2222222222222223,0.6792797012594289,0.8872280363136837,0.2014856081708449,13.1411612033844,0.884954746,0.816902433,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.15,0.1811664103432001,0.1464718869978586,14972073229290.604,0.3760739855427708,0.3040534181193075,149720732292.90607,0.4468903436988542,0.5036356251520482,0.1299801342970619,0.0840979047847146,1516532399373.8462,0.342006448990557,0.2212801666847975,15165323993.738462,0.7154255319148936,0.6162903733305622,20,1.15,5.65,139.0,6.95,0.6924411977707658,0.9214191020425344,0.1708100558659218,8689.963606595993,56.241252435,165.89573696600002,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.1111111111111111,0.1524208971985627,0.110497241455631,12304917014673.738,0.3720386657709176,0.2697087278587908,123049170146.73738,0.4265867111210971,0.574545655937305,0.1234819251038885,0.0856679587143108,2749702126184.3423,0.3346070579995928,0.2321400772308127,27497021261.843426,0.5872578755055833,0.6596439118458772,18,1.2222222222222223,3.8333333333333335,93.0,5.166666666666667,0.6404893157885713,0.867754043800939,0.2271880819366852,119.10828375816344,7.361703797,13.477824041,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.25,0.1179802074736472,0.0927228166068003,15842195894147.36,0.3297355153246573,0.259145210632268,158421958941.4736,0.4015957446808511,0.6932059642095669,0.1242314628096672,0.0838637840147959,1833848034096.427,0.3211304825034314,0.2167825832212554,18338480340.96427,0.7154255319148936,0.652210364973318,12,0.75,2.5,42.0,3.5,0.6125540504339431,0.8627384060459028,0.2125232774674115,5.243065595626831,0.8447812640000001,0.776023384,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.25,0.2005719830475607,0.1701906973276664,19761731535460.168,0.58563707411671,0.4969287360599256,197617315354.60168,0.4336589282026017,0.0987012805652428,0.1394222638969477,0.1021629403311514,2254510187893.036,0.3445959214416405,0.2525058163352,22545101878.930363,0.5898876404494382,0.6025987671924178,12,0.8333333333333334,3.0,49.0,4.083333333333333,0.6295095659295998,0.8643903824504705,0.2518621973929236,134.9686040878296,5.475749603000001,11.732690637,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.0625,0.1655205192184462,0.1270727939373314,27835690603025.223,0.4242024149511683,0.3256670914115936,278356906030.2522,0.4148936170212766,0.6262052207452713,0.1229877719761429,0.0830677040310576,1672857344055.0095,0.3152759095441753,0.2129418682958029,16728573440.550097,0.5588700697839137,0.654952854122349,16,1.1875,4.1875,87.0,5.4375,0.6591664275983833,0.9120088670519884,0.1433310055865921,119.60858058929443,5.416452828999999,5.466753072,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,auto-mpg,0.0625,0.2189585138492943,0.1600995027016731,20005938263172.33,0.5217854558825087,0.381522465307072,200059382631.72333,0.6800850375266818,0.4085567224336884,0.132124181529286,0.0974065282026739,2355958682762.9897,0.3408698327545181,0.2513010608151554,23559586827.629894,0.5113963711975077,0.5824897999986153,16,0.6875,3.8125,73.0,4.5625,0.686972925424737,0.8974391842655369,0.2129178272980501,104.24357175827026,6.300293859999999,11.083260159,1.0,1.0,C2,C2,C2
