model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,auto-mpg,0,0.2174525504628248,0.1520128563972861,34083666595871.145,0.4991224075693012,0.3489176038865129,340836665958.7114,0.5759531932361485,0.4486087113935486,0.1240283849606855,0.0882933023956775,1672857344055.0469,0.3249739721023855,0.2313424076162527,16728573440.550468,0.5319148936170213,0.6224507720143335,17,1.2352941176470589,4.411764705882353,96.0,5.647058823529412,0.5724396808046358,0.862707184749791,0.1391718698652645,609.551133694,604.071976814,5.465704468,1.0,1.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.2337271881045069,0.161829560276428,14133421817312.916,0.5805540049800174,0.4019677817739673,141334218173.12915,0.6235101968747241,0.3861045880329644,0.1620593355647376,0.1099082231887124,1834003338349.177,0.4140391945204359,0.2808003133028301,18340033383.49177,0.6051714850356884,0.3968695249426495,12,1.4166666666666667,3.5,59.0,4.916666666666667,0.5901861755721353,0.8830967158168338,0.1336126629422719,329.682504144,326.990923903,2.680495474,1.0,1.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.1847706289611375,0.1362572524262747,44916219687871.49,0.5281571403181373,0.3894842009993057,449162196878.7149,0.6276595744680851,0.5233937306708867,0.1441018176888737,0.0969214705867627,1672857344055.047,0.3745511986457078,0.2519194661454962,16728573440.55047,0.5585106382978724,0.5097333801603199,15,1.5333333333333334,3.2,71.0,4.733333333333333,0.6130995608412181,0.903846132475616,0.0983240223463687,535.839184713,531.21859053,4.61050412,1.0,1.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.2282946513646345,0.166896183208431,15355972542862.11,0.4983910504570972,0.364351786471225,153559725428.6211,0.5800405268490376,0.2133292992016262,0.1667016320989092,0.1191161957692551,1668197574294.504,0.4286023715212885,0.306256653582163,16681975742.94504,0.6382978723404255,0.3670349853250267,15,1.2666666666666666,4.866666666666666,92.0,6.133333333333334,0.6686795230497253,0.9181387573305382,0.1500464252553389,606.500015262,600.886305345,5.597205215000001,1.0,1.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.219757617236062,0.1618453718143688,19221485684151.742,0.4561834768972146,0.3359664404929013,192214856841.51743,0.5301963993453356,0.2696464909119741,0.1330748373716483,0.0825924875624994,2047385666079.5647,0.3501492964721617,0.2173190813912375,20473856660.79565,0.5851063829787234,0.5978013388212104,49,1.7551020408163265,6.857142857142857,422.0,8.612244897959183,0.581649841749169,0.9152827064688102,0.0948010489111845,1944.954338869,1926.894566232,18.035217365,0.9591836734693876,0.8979591836734694,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.2086737691206238,0.1396498162203124,13833670987410.14,0.5093442701881528,0.3408661952309306,138336709874.1014,0.644808743169399,0.2025569894783528,0.1710159978943266,0.1156169465945792,3170637067556.1787,0.463413247551347,0.3132948107373646,31706370675.561787,0.644808743169399,0.347169828004128,26,0.9615384615384616,5.115384615384615,158.0,6.076923076923077,0.622739255703806,0.9010874148275088,0.1240868070477009,1094.058020842,1085.412806978,8.628911350000001,0.9615384615384616,0.9615384615384616,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.1390930493113946,0.1005153084333937,16639357706171.88,0.3887424787163144,0.2809239594845182,166393577061.7188,0.3617021276595745,0.573578142388345,0.1305570012365882,0.0937741279130708,1833934506728.1584,0.3374815996937949,0.2424001960694902,18339345067.28158,0.599096404145059,0.615891631437625,15,0.6666666666666666,3.933333333333333,69.0,4.6,0.6884067309941951,0.8881850138612414,0.211731843575419,375.410639564,371.721633004,3.674949677,1.0,1.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.1535233534744311,0.119087311396178,20833356567752.945,0.4482628439488062,0.3477152868052647,208333565677.52945,0.3788790797217763,0.4719474868663583,0.1845239747203412,0.1259223020984004,2258723114883.0254,0.4560692626812382,0.3112294299978074,22587231148.830254,0.6348314606741573,0.3039017353855858,25,1.88,5.32,180.0,7.2,0.6214389853248197,0.9183656270228988,0.1418994413407821,1152.887295065,1141.486401103,11.382979326999996,0.92,0.92,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.2021403839672928,0.1412674536442223,30181982113751.21,0.5180532265302724,0.3620457165845027,301819821137.5121,0.6276595744680851,0.4425117427374619,0.1442246069100639,0.0975012568937545,1776488001909.822,0.3697159757560443,0.2499419003609696,17764880019.09822,0.574468085106383,0.5255031875040344,23,1.4782608695652173,6.130434782608695,175.0,7.608695652173913,0.6452174217701213,0.9127333159205016,0.1414865193101773,731.320785099,723.0088754259999,8.302747421000001,1.0,1.0,C2,C2,C2
complex,no_discretization,auto-mpg,0,0.2319886684420941,0.1681687766086114,22071903957144.95,0.5528367497321884,0.4007518146945572,220719039571.4495,0.6898005924604991,0.3360689636118804,0.1412618708141849,0.0958539291987049,2218877404153.298,0.3644443410864078,0.2472954794242844,22188774041.532974,0.5649787332770357,0.5227429228838059,27,1.037037037037037,4.555555555555555,151.0,5.592592592592593,0.6689056332549823,0.9162082147638076,0.1849788507170122,1188.54624753,1180.6907879330004,7.837505203000001,1.0,1.0,C2,C2,C2
