model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,auto-mpg,0.5454545454545454,0.2381434769383768,0.1728496848730417,29944146458580.887,0.5466146306558382,0.3967447182284334,299441464585.80884,0.6255159745994306,0.3386851590359664,0.1213896220937185,0.0817473443131482,1672857344055.012,0.3180599963170333,0.2141909628081181,16728573440.55012,0.7154255319148936,0.6383449546288232,11,0.5454545454545454,2.727272727272727,42.0,3.8181818181818183,0.6765739709536335,0.8731674358121616,0.223209751142712,19.428189516067505,1.546377075,1.248421743,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.6666666666666666,0.2020328231339478,0.1451996783432141,15210917507567.527,0.5018285016777269,0.3606608861707251,152109175075.67526,0.5889136576322063,0.5413094590645067,0.1395292526583947,0.1019064709008337,2115984868626.2532,0.3564779479158275,0.2603569426048063,21159848686.26253,0.5307549683133822,0.5529112918352076,9,0.7777777777777778,0.6666666666666666,19.0,2.111111111111111,0.5891739980166943,0.8549348229938596,0.1840471756672873,2.5615434646606445,0.3335424880000001,0.257161848,0.8888888888888888,0.8888888888888888,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.5,0.1423628494425659,0.1135477739669225,49503791582030.85,0.4069367294568323,0.3245703493301073,495037915820.3085,0.4281914893617021,0.7170646442951518,0.1258049651510327,0.0877271607330058,1872462452684.57,0.3269937968071795,0.2280215040539979,18724624526.8457,0.5065040549721048,0.6263293645896808,14,0.9285714285714286,1.9285714285714286,47.0,3.357142857142857,0.6269640138771491,0.8859315845427218,0.1945331205107741,6.656121015548706,1.171059281,0.8099417740000001,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.5714285714285714,0.2163921362439903,0.1651369405810685,16546318340925.666,0.4724066177137103,0.3605111762080451,165463183409.25665,0.5921401293741722,0.2932196760752931,0.1686931438011599,0.1159572095177355,1914923922574.871,0.4337226971458785,0.2981346635214951,19149239225.74871,0.7074468085106382,0.3518211343068432,14,0.21428571428571427,1.5,32.0,2.2857142857142856,0.6083386203432,0.8767070309604751,0.2109033028253084,14.541067361831663,1.33387281,1.5210292319999998,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.6,0.1877749147679226,0.1501511722914573,14972073229290.62,0.3897922382407974,0.3116910562537238,149720732292.9062,0.4468903436988542,0.4667628577696219,0.1257051075748542,0.084679583102833,1672857344055.0444,0.3307579092309313,0.2228106908461267,16728573440.550444,0.5930851063829786,0.6411156002801748,20,0.8,3.4,96.0,4.8,0.679562419049438,0.9160211290979154,0.163268156424581,8684.231789112091,44.87743245,113.732858499,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.42105263157894735,0.1543997430313381,0.1133851578401917,20272376485619.53,0.3768687591303146,0.2767577387117467,202723764856.1953,0.4293651496860176,0.5634267906769318,0.1236020788253807,0.0855195224160856,2749702126184.344,0.3349326464063363,0.2317378496739643,27497021261.84344,0.5838068386297995,0.6589812246227269,19,0.9473684210526315,2.9473684210526314,82.0,4.315789473684211,0.6449272965512819,0.8681093591090466,0.2319905910026463,116.4676160812378,6.30270311,11.005268759000002,0.9473684210526316,0.9473684210526316,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.7272727272727273,0.1146320792158413,0.0869517797118365,16212204196737.775,0.3203780407100506,0.2430160999511942,162122041967.37778,0.4015957446808511,0.7103717361492389,0.1244775946461594,0.0856526251850664,1960637536187.444,0.3217667177503213,0.2214066246286326,19606375361.87444,0.5452127659574468,0.650830893161212,11,0.5454545454545454,1.9090909090909092,35.0,3.1818181818181817,0.5929331451519037,0.8465765551895551,0.2216861350939563,5.1000730991363525,0.7710200749999999,0.7284823009999999,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.4666666666666667,0.2034389843140758,0.1739198291473417,18749477038858.59,0.5940082444451834,0.5078171852575,187494770388.5859,0.4336589282026017,0.0727505698286394,0.1398028952801487,0.1013382825926051,2079702738700.436,0.3455366895697545,0.2504675931322087,20797027387.00436,0.5898876404494382,0.6004259454941137,15,0.8,2.2666666666666666,53.0,3.533333333333333,0.6551949049869492,0.8771841028989364,0.2253258845437616,134.9526789188385,5.890081950000001,11.745389525,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.5333333333333333,0.16330431829604,0.1231902501672792,27440033772891.105,0.4185226491569287,0.3157167574518738,274400337728.91104,0.4148936170212766,0.6361478969621286,0.1249516863053437,0.0834650140858402,1338285875244.0657,0.3203103521270178,0.2139603621418165,13382858752.440657,0.7420212765957446,0.6438451895044095,15,1.0,2.0,53.0,3.533333333333333,0.6530724531584791,0.8883957369951481,0.1579143389199254,114.25474691390993,3.3758347840000007,2.520447835,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,auto-mpg,0.4,0.1970176040609853,0.1543483083267383,19183278894978.42,0.4694995346131963,0.3678171769123045,191832788949.7842,0.533808441782001,0.5211499985284127,0.1305643925458719,0.0961007681300796,2189997930660.771,0.3368457017910968,0.2479323041469137,21899979306.60771,0.5112287368003209,0.5922894260090842,15,0.6666666666666666,2.0,46.0,3.066666666666667,0.6664438992137082,0.8814202142100692,0.2161559888579387,102.96158480644226,7.743158718999998,8.790812867,1.0,1.0,C2,C2,C2
