model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,auto-mpg,0,0.1830173140936625,0.1388404984968908,47910634333729.1,0.4200826444337911,0.3186828746335499,479106343337.291,0.4499570793826994,0.6094152849472441,0.1192008878436656,0.0900368868214785,2676571750487.986,0.3123251666379908,0.2359108743968853,26765717504.87986,0.521037323598782,0.6512691327859956,8,2.875,0.0,23.0,2.875,0.4718921675826544,0.7612325224922247,0.259427374301676,0.716061004,0.652141881,0.060127219,1.0,0.75,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.2037264181627303,0.1438161851112115,16345075122145.246,0.5060352154312601,0.3572244329997627,163450751221.45245,0.6799080741078087,0.5335870303296915,0.133879179131037,0.0951061775674049,1672857344055.0496,0.3420427912857181,0.2429831334103906,16728573440.550495,0.4920212765957447,0.5883868443877529,7,2.142857142857143,0.0,15.0,2.142857142857143,0.5140770473292637,0.8124544446411167,0.174780526735834,0.840441888,0.667910276,0.1685646089999999,1.0,1.0,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.16408930193974,0.1277048629422141,58001520056623.83,0.4690406530332295,0.3650376447571964,580015200566.2383,0.4612194956155256,0.6241155052487806,0.1167652863120514,0.0862152384053274,2005946365671.288,0.3034977535315637,0.2240916971357131,20059463656.712875,0.5017703732970002,0.6781000537881381,24,2.7916666666666665,0.0,67.0,2.7916666666666665,0.467833063200315,0.8034718687154297,0.1163873370577281,4.052329631,3.250563321,0.796559717,0.875,0.6666666666666666,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.1928200561253173,0.144259564948305,15355972542862.14,0.4209463066570131,0.3149336862834946,153559725428.6214,0.565544384693321,0.4388151838760011,0.117266031242283,0.0848177734734012,1668197574294.4282,0.301499742123166,0.2180728430798192,16681975742.944284,0.5053191489361701,0.6867836265025957,13,2.6153846153846154,0.0,34.0,2.6153846153846154,0.5022801832687956,0.8122854704017792,0.1583458324405399,6.199398886,4.380887334,1.814849332,1.0,1.0,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.177361195562454,0.1387358870000901,19989241226453.67,0.3681749368961122,0.2879946556488897,199892412264.5367,0.481867976241358,0.5242678955724119,0.1271226052156764,0.0940462108795913,2233434773905.731,0.3344876586823522,0.2474563578341614,22334347739.05731,0.481867976241358,0.6329761372862744,13,2.5384615384615383,0.0,33.0,2.5384615384615383,0.4814737447479114,0.7962800642723606,0.1733992264718521,1.677380051,1.101163403,0.5724268880000001,0.9230769230769232,0.9230769230769232,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.167576473029421,0.116088908479071,17515177972405.95,0.4090313637193958,0.2833572260442188,175151779724.05948,0.4972677595628416,0.4857313786613906,0.1379278465525942,0.1025159516441802,4147020165873.6313,0.3737521172621358,0.277794186872516,41470201658.73631,0.5601092896174863,0.5753504661409188,8,2.25,0.0,18.0,2.25,0.5220051860633423,0.7965307962913014,0.2133379888268156,0.304082668,0.2938059819999999,0.006368776,1.0,1.0,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.1366498335171634,0.0947718800681711,19274937988478.613,0.3819140874444976,0.2648720101593746,192749379884.78613,0.4547433471631885,0.5884270580415877,0.1235191629748528,0.0921377986749165,2153624356254.8547,0.3192892324330566,0.2381703883710328,21536243562.548546,0.5391482814235957,0.6561871401620784,9,1.8888888888888888,0.0,17.0,1.8888888888888888,0.527842354062879,0.7994237159751747,0.2535692116697703,0.724171501,0.659980058,0.0603556819999999,1.0,1.0,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.1884445205240051,0.1644041345517755,18975841126561.992,0.550226885909761,0.4800329281720321,189758411265.61996,0.4104300958731242,0.2043991381695961,0.1256353265274692,0.091296088489819,4593779043674.317,0.310520141477221,0.2256473167041687,45937790436.74317,0.5194693531068648,0.6773077799597115,14,3.142857142857143,0.0,44.0,3.142857142857143,0.5509695693630529,0.8502941736203083,0.149241819632881,6.602433413,5.3231152470000005,1.272361515,1.0,1.0,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.1536577012987242,0.1213278937001426,32850015307150.383,0.3937999244718414,0.3109438379698087,328500153071.50385,0.373087583319582,0.6778647762483221,0.1263062169927147,0.0891114595083651,1672857344055.0432,0.3237826558170891,0.2284348760522189,16728573440.550432,0.4680851063829787,0.6360815895043497,12,2.9166666666666665,0.0,35.0,2.9166666666666665,0.5119550839744748,0.8220420445139087,0.1294227188081936,0.637864486,0.570256063,0.064048729,0.9166666666666666,0.9166666666666666,C2,C2,C2
plain,no_discretization,auto-mpg,0,0.1997808819669102,0.151770886869694,21353455681389.867,0.4760845182090637,0.3616750954452606,213534556813.89868,0.6674510621903658,0.5076235433570093,0.1232029296125136,0.0923772905230201,2319734739761.2617,0.3178537155409021,0.2383260293946856,23197347397.612617,0.4388297872340425,0.6369683079385646,19,2.736842105263158,0.0,52.0,2.736842105263158,0.5093299094279906,0.8200675742413147,0.161999706787861,4.598438715,4.087563347,0.504908372,1.0,1.0,C2,C2,C2
