model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,auto-price,0,0.205718886146741,0.1184090918632589,22259776227038.047,0.743761734586596,0.428099496378866,222597762270.3805,0.7255381942077056,0.4806442037980496,0.1117270886531248,0.0664184978091633,2243101775771.1816,0.4982851993138189,0.2962160279832709,22431017757.71181,0.617734971770176,0.6895417186136936,15,2.1333333333333333,1.0666666666666667,48.0,3.2,0.5780044124419681,0.8573602046102048,0.158041958041958,20.11160683631897,2.4255401669999994,1.7362604460000002,0.8,0.7333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.2184210982004121,0.1274212664653191,19391760045362.875,0.7535944575058496,0.4396276777645982,193917600453.62875,0.6344510627300808,0.3456531415655361,0.1241603113559019,0.076629372889392,2454214697744.911,0.6056320866613625,0.3737845572046248,24542146977.449112,0.6370165007682544,0.5670044292630649,9,2.4444444444444446,0.4444444444444444,26.0,2.888888888888889,0.5019134599504027,0.7912148850334215,0.1833721833721834,8.219616413116455,0.867275543,0.3130801669999999,0.7777777777777778,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.1980569224302869,0.1194196240551,23928364493805.043,0.8126805455260094,0.4900106698253366,239283644938.0504,0.6039604652790551,0.4634190189047004,0.1393611838126433,0.0894149178853108,2459942439343.668,0.6672339332910863,0.428101037342816,24599424393.43668,0.6528826240897856,0.4943922735130945,6,1.3333333333333333,0.8333333333333334,13.0,2.1666666666666665,0.5418593857288179,0.8213596188249465,0.2808857808857809,0.9383316040039062,0.27170142,0.133767078,0.6666666666666666,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.2682392036588451,0.1856845330708629,33026310310678.715,0.7444882493507508,0.5153607342693135,330263103106.7872,0.5880820362081636,0.3523517492446515,0.1263256755005883,0.0639616048338092,2482994360576.2085,0.6150402583621474,0.3114090766295598,24829943605.762085,0.7277671985248113,0.5832856127351601,14,2.7857142857142856,0.7142857142857143,49.0,3.5,0.5219049486430072,0.8235207122933793,0.1418650793650794,1.424405813217163,0.550768022,0.159650728,0.8571428571428571,0.7857142857142857,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.2501290020876771,0.1567665228028861,23743713136535.36,0.8348014493296986,0.5232057032568875,237437131365.3536,0.7845396713932308,0.2192050760877402,0.1572876131946804,0.0949991277784594,4183661552770.44,0.7177476881872102,0.4335077820679697,41836615527.70439,0.7056787759930709,0.3864931503063041,9,2.5555555555555554,1.0,32.0,3.5555555555555554,0.4972649145784987,0.8008010780069603,0.1732711732711732,3.3625247478485107,0.5276619439999999,0.177033127,0.8888888888888888,0.4444444444444444,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.3100043662184297,0.2723575071655454,13857338624533.225,0.7739081809815122,0.6799249491816209,138573386245.33224,0.6154719754158595,-0.5503835283106615,0.1439718376077078,0.0870822040028842,3467656801913.235,0.6463725120125557,0.3909621762716227,34676568019.13235,0.6365822700247177,0.4920683453907074,10,3.2,0.7,39.0,3.9,0.4937821236313334,0.8091054485293837,0.1636363636363636,4.333424806594849,0.689844928,0.134622901,0.8,0.8,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.3949787014830185,0.3200786191462932,20040701553652.98,0.8273643041828367,0.6704706431497588,200407015536.52985,0.7771439850731461,-0.3378372058509453,0.1414039268190569,0.0727582148326527,6784302596579.785,0.6817742336559289,0.3508012632717076,67843025965.79785,0.8317522880619947,0.5020488378186017,15,2.4,1.2666666666666666,55.0,3.6666666666666665,0.5115677823513417,0.8379849986839234,0.1286713286713286,0.8480358123779297,0.4663137239999999,0.1745258489999999,0.6,0.4666666666666667,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.2303185468926865,0.1320362658389923,45793927244769.22,0.8671562541102488,0.4971205108592202,457939272447.6922,0.6269788008204955,0.4237953293021828,0.1541053205705537,0.1002179421483184,3112852356415.343,0.7181638474853448,0.4670371058820701,31128523564.153427,0.6269788008204955,0.3972152949782461,5,2.0,0.0,10.0,2.0,0.5161518946661309,0.8187779984552576,0.3356643356643357,0.5649776458740234,0.130562098,0.034880695,0.6,0.6,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.1696111110648281,0.1201770400773476,21122441880265.02,0.6873462138124837,0.4870154612263799,211224418802.6502,0.456835629393965,0.524666670901705,0.1067326486659634,0.0637767825486452,2875783526263.978,0.4955688400391635,0.2961210702076493,28757835262.639786,0.5921959186613455,0.7105875938494037,19,2.6315789473684212,1.3157894736842106,75.0,3.9473684210526314,0.502281243022263,0.8088401012175965,0.1019506808980493,5.620320796966553,1.461980049,0.592294012,0.7894736842105263,0.7368421052631579,C2,C2,C2
at_least_M-of-N,no_discretization,auto-price,0,0.2265511857007402,0.1411859668086993,21491625833667.33,0.8215250932488147,0.5119717832823588,214916258336.67328,0.6468701984100474,0.3441867513276931,0.1400160314021838,0.0843249186885227,2799280020365.11,0.6633255420462743,0.3994890573380439,27992800203.6511,0.6468701984100474,0.4755047260400825,8,2.25,0.0,18.0,2.25,0.5145008491839943,0.8036918111097825,0.2666083916083916,0.923053741455078,0.34078973,0.177223145,0.75,0.75,C2,C2,C2
