model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,auto-price,0,0.184520364429436,0.1100307141376322,36945881328923.59,0.6671200145264948,0.3978080784786695,369458813289.236,0.611226362821031,0.5821645709682433,0.0932933951402905,0.0552325077846519,2856619198674.947,0.4160738326984265,0.2463282761759105,28566191986.749462,0.4486827764867037,0.7835348029568494,25,0.8,4.44,131.0,5.24,0.576952308179159,0.8528682794412031,0.1009790209790209,1783.827743276,1744.78571748,39.024097308,0.8,0.72,C2,C2,C2
complex,no_discretization,auto-price,0,0.2602026354921262,0.1440726320818874,23988948903755.56,0.8977487319258941,0.4970780657625363,239889489037.5556,0.8924774681748657,0.0713710235403785,0.1217704286542766,0.0629897344069719,2632725976537.9414,0.5939746606155119,0.3072528078460402,26327259765.379414,0.7134798651837635,0.5835129161917285,21,0.9523809523809523,4.285714285714286,110.0,5.238095238095238,0.6076481518285809,0.8501848332333902,0.1398601398601398,1839.046158338,1805.076313227,33.951735613000004,0.8571428571428571,0.8571428571428571,C2,C2,C2
complex,no_discretization,auto-price,0,0.2135249053021091,0.1260525925922583,28803585440787.188,0.8761498179160421,0.5172275144732791,288035854407.8719,0.5603580733515933,0.3763336699444527,0.1464258774268656,0.0893318286545724,2897442817459.829,0.7010582965660941,0.4277032224511582,28974428174.59829,0.5603580733515933,0.4418309923039949,12,0.8333333333333334,3.5833333333333335,53.0,4.416666666666667,0.6057100845231826,0.8928056397793239,0.2132867132867132,750.208657118,731.3518738,18.840168227,0.9166666666666666,0.8333333333333334,C2,C2,C2
complex,no_discretization,auto-price,0,0.2683367583100076,0.1852072025998031,32322799805886.48,0.7447590087717053,0.5140359207375337,323227998058.86475,0.6082904669650611,0.351880583305188,0.1338966725755092,0.0735614203310621,2527847017963.084,0.6519010784493257,0.3581475799485615,25278470179.63084,0.639755494689024,0.5318394595859602,15,1.0,3.0,60.0,4.0,0.5376313366186174,0.8133299968172167,0.1671296296296296,906.858633349,882.7497186209999,24.097159119,0.8666666666666667,0.8,C2,C2,C2
complex,no_discretization,auto-price,0,0.2989182555001423,0.1651952718838935,26109159273349.266,0.997634783811092,0.551336515318397,261091592733.49265,0.861012759703387,-0.1150998525708784,0.1407698717294969,0.0784933353122099,2921304534082.284,0.6423725807015658,0.3581872012305902,29213045340.82284,0.7316788028592425,0.5085834242861562,14,0.8571428571428571,5.214285714285714,85.0,6.071428571428571,0.4898627568952496,0.7505555031001164,0.0879120879120879,969.93863646,950.863565975,19.060002555,0.4285714285714285,0.3571428571428571,C2,C2,C2
complex,no_discretization,auto-price,0,0.3737052803784692,0.3143301525556879,18779507935937.71,0.9329338721542604,0.7847072593184391,187795079359.3771,0.8137687166706143,-1.25300415758121,0.1526735466194619,0.0829891486715875,3017734597416.748,0.6854394962657918,0.3725860931413551,30177345974.16748,0.8203954840002672,0.4288137131949865,20,0.8,4.2,100.0,5.0,0.5360012067007865,0.787999823304083,0.1171328671328671,1184.187709987,1154.834791136,29.337179961,0.75,0.7,C2,C2,C2
complex,no_discretization,auto-price,0,0.3744630886288048,0.2788888628396515,20252042594967.266,0.78439012433395,0.5841902084373308,202520425949.67267,0.8729708063330883,-0.2024691538147369,0.1178206929870009,0.0647778447375443,2413389469353.998,0.5680684721918021,0.3123241797261751,24133894693.53998,0.6164633973122515,0.654293969255989,12,1.0,3.0,48.0,4.0,0.6298118724213436,0.8471068210929401,0.1421911421911422,329.942958022,318.90201166500003,11.027034903,0.5833333333333334,0.3333333333333333,C2,C2,C2
complex,no_discretization,auto-price,0,0.2490013654301333,0.1500184444604941,47304091191406.52,0.937497627645844,0.5648239540449244,473040911914.0653,0.6350925919892317,0.3265235595577112,0.1332552043694002,0.078806613030652,2604400997769.7905,0.620997833903864,0.3672557197366236,26044009977.697903,0.7618881762798723,0.549291947946445,11,0.9090909090909091,3.090909090909091,44.0,4.0,0.5839745666710334,0.8472447335088137,0.221233312142403,726.768574311,706.225489551,20.525593215,0.9090909090909092,0.9090909090909092,C2,C2,C2
complex,no_discretization,auto-price,0,0.1475093391726304,0.1111705493540081,19580207858347.08,0.5977791498785483,0.4505168069839789,195802078583.4708,0.3734718418063999,0.6404753239705019,0.1202311534586215,0.0674260894269255,2361188401819.8843,0.5582435552830093,0.3130651149701496,23611884018.19884,0.6237154955726721,0.6327544033339907,19,1.1578947368421053,4.157894736842105,101.0,5.315789473684211,0.5653225540223351,0.8200468645962681,0.1210894368789105,846.695974962,821.9216188519999,24.758500824,0.7368421052631579,0.6842105263157895,C2,C2,C2
complex,no_discretization,auto-price,0,0.1708865659294045,0.1203246133259276,25043132699827.414,0.6196727753858102,0.4363238659597415,250431326998.27417,0.4194964668043677,0.6268672645886892,0.1303039064238557,0.0751739291415753,2641868416081.852,0.617314378173434,0.3561362709413714,26418684160.81852,0.6528826240897856,0.5457437378300118,14,0.5,3.642857142857143,58.0,4.142857142857143,0.5630647934382893,0.7907680071998996,0.1578421578421578,652.164641338,632.958007905,19.192731164,0.8571428571428571,0.7857142857142857,C2,C2,C2
