model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,auto-price,0.17647058823529413,0.2082201295173467,0.1199418424686911,27284061357353.48,0.7528047988515753,0.4336410451901486,272840613573.5348,0.7255381942077056,0.4679382003852246,0.1228522497723828,0.0735030674222308,2885277827971.352,0.5479016637946803,0.3278120914290824,28852778279.71352,0.617734971770176,0.6246360914023468,17,2.5294117647058822,0.7058823529411765,58.0,3.411764705882353,0.5077983287992667,0.8108343079912153,0.1361579596873714,21.36084270477295,3.1862805040000004,2.586382681,0.7647058823529411,0.7058823529411765,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.09090909090909091,0.2560313591448449,0.1598556416165415,19827054062639.54,0.8833570327634253,0.5515324596195069,198270540626.3954,0.6178769456877546,0.1009058492088674,0.1380072624764876,0.0862341518163733,2557301349921.913,0.6731750704818487,0.4206349737342241,25573013499.21913,0.6185872145431355,0.4650394578041594,11,2.3636363636363638,0.09090909090909091,28.0,2.5454545454545454,0.4960839672221979,0.8155387749477607,0.214240305149396,8.520493268966675,1.0485918,0.444351047,0.7272727272727273,0.7272727272727273,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.07692307692307693,0.12021573634655,0.0759560353889381,26327449713067.48,0.4932773315677117,0.3116679362601044,263274497130.6748,0.4166151012821278,0.8023131121867084,0.1111036818914669,0.0724900132429895,2795068832213.552,0.5319425728417182,0.3470679233427604,27950688322.13552,0.579558590173463,0.6786436018022914,13,2.4615384615384617,0.7692307692307693,43.0,3.3076923076923075,0.5476422169519591,0.8007030007030006,0.14308768154922,1.434900999069214,0.602032002,0.335921802,0.4615384615384615,0.4615384615384615,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.07142857142857142,0.2826271826853621,0.2128226669548029,93076598618536.0,0.7844215669681502,0.5906816475076218,930765986185.36,0.5793974213374307,0.2810104912096788,0.1247113889857933,0.0738421222534749,2611122522721.3623,0.607180801516216,0.3595142299363759,26111225227.213623,0.6703019061755641,0.593867757615482,14,3.0714285714285716,0.5,51.0,3.642857142857143,0.4890328267300496,0.7782043812073758,0.1076388888888889,1.6463801860809326,0.7077868359999999,0.215191738,0.7857142857142857,0.7142857142857143,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.0,0.2576183210524591,0.1750810984430302,26122576895215.63,0.859796928758753,0.5843302996077397,261225768952.15628,0.6651960269884621,0.1717482324245499,0.1460441627353769,0.0883809720413807,2922805806458.981,0.6664406563713988,0.4033072730522233,29228058064.589813,0.6295484194613202,0.4710692960897564,5,1.4,0.4,9.0,1.8,0.543792820636366,0.7946237375785109,0.3468531468531468,3.11995530128479,0.358421232,0.103752821,0.4,0.4,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.2,0.3378520048944756,0.2891447056961402,18315542041019.65,0.8434282192161474,0.7218332307876746,183155420410.19653,0.7200547798784154,-0.8414355590105171,0.1475627422341934,0.0915380662970095,3920670507210.163,0.6624941513719378,0.4109671088479754,39206705072.10163,0.6842071385837984,0.4664149928697811,10,2.3,0.7,32.0,3.2,0.5025186624014613,0.8238621529842558,0.1902097902097902,4.592999458312988,0.870568523,0.294425726,0.7,0.5,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.06666666666666667,0.3375786876824292,0.2729459264361618,20955316523841.176,0.7071281438534383,0.5717415031683771,209553165238.4117,0.6011542424877665,0.022749378277874,0.1146271947243403,0.0698785026958157,3920670507210.3945,0.5526711287114259,0.3369168289465277,39206705072.10394,0.7118808451075544,0.6727805289898512,15,2.1333333333333333,1.0,48.0,3.2,0.548154749308912,0.8291791199943375,0.1454545454545454,0.9498891830444336,0.533642653,0.211658582,0.6,0.4666666666666667,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.3333333333333333,0.2220792738832909,0.1375424451205351,46804971137214.5,0.8361351434970938,0.5178514414102314,468049711372.145,0.6259791482614923,0.4642835179989221,0.1315364990921581,0.0807128157930803,2789677603111.352,0.6129882986715455,0.3761390334657297,27896776031.113518,0.6259791482614923,0.5608432979098159,15,2.4,0.4,47.0,3.1333333333333333,0.5401171339802571,0.8191478945770948,0.1631701631701631,1.100874662399292,0.5112035850000001,0.181764563,0.6666666666666666,0.6,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.0,0.1437133836074273,0.109550507334178,24798391203521.49,0.5823961029238854,0.4439516135744398,247983912035.21487,0.3410987829005628,0.6587410124609272,0.1267864983631134,0.075141907607298,3054885845132.511,0.58868058379284,0.3488903204100259,30548858451.32511,0.6096933662903334,0.5916161256197727,14,2.7142857142857144,1.2857142857142858,56.0,4.0,0.5031172411144398,0.8213457722038958,0.1343656343656343,5.22290825843811,1.295143508,0.53905768,0.7142857142857143,0.7142857142857143,C2,C2,C2
exact_M-of-N,no_discretization,auto-price,0.14285714285714285,0.2276800692770921,0.1460573055143311,22137406795671.715,0.8256186767030836,0.5296363431565982,221374067956.7172,0.6468701984100474,0.3376347545402778,0.1409102209998727,0.0858456448328457,2799280020365.144,0.6675617626678644,0.406693493029336,27992800203.65144,0.6468701984100474,0.4687841269244471,7,1.8571428571428572,0.0,14.0,2.0,0.506830494105381,0.7764093033080375,0.2827172827172827,0.9349584579467772,0.343032616,0.1877988229999999,0.7142857142857143,0.7142857142857143,C2,C2,C2
