model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,auto-price,0,0.10188133237451,0.0784730172567379,63190878261427.02,0.3683445788968925,0.2837135108318782,631908782614.2703,0.2244990975747878,0.8726186385529275,0.129041536706298,0.0764225746789483,3326136756146.496,0.5755049076512461,0.3408326334735291,33261367561.464954,0.617956382154323,0.585861756566815,12,2.4166666666666665,0.0,29.0,2.4166666666666665,0.5239442986117956,0.7803240740740741,0.12004662004662,1.136809452,0.966108313,0.1654357199999999,0.5833333333333334,0.5,C2,C2,C2
plain,no_discretization,auto-price,0,0.1835290103024637,0.1185577050844626,21360571526188.64,0.6332100978110077,0.4090467000778754,213605715261.8864,0.4990075243799642,0.5380145538943379,0.0886366345854293,0.0584161706857428,2504726717914.987,0.4323538606853095,0.2849437711682334,25047267179.149868,0.4000830820068252,0.7793294466337727,11,2.3636363636363638,0.0,26.0,2.3636363636363638,0.5367564931000072,0.7892583847129301,0.1563890654799745,1.226289443,1.069573159,0.151533024,0.2727272727272727,0.2727272727272727,C2,C2,C2
plain,no_discretization,auto-price,0,0.1746572682762983,0.126768666959674,21408194333963.227,0.7166655036398722,0.5201657591981175,214081943339.63223,0.4878776157066132,0.5827190589642741,0.0862097519086151,0.0538523529287466,2812403902940.997,0.4127553331590988,0.2578344721148062,28124039029.40997,0.4022126840075751,0.8065169882494009,15,3.1333333333333333,0.0,47.0,3.1333333333333333,0.5457670793741108,0.8177499005690557,0.1118881118881119,2.322466806,1.978247781,0.338686122,0.6666666666666666,0.5333333333333333,C2,C2,C2
plain,no_discretization,auto-price,0,0.2508374176200943,0.1883462545084362,26776696294742.17,0.6961902189105657,0.5227482462596882,267766962947.4217,0.4814871904692749,0.4336572611144027,0.0946558027201606,0.0674130238605283,2789239197370.3184,0.4608495393338542,0.3282129578793337,27892391973.703182,0.3343261994134594,0.7660356312764827,7,1.7142857142857142,0.0,12.0,1.7142857142857142,0.6433428034841989,0.7723833440328285,0.2132936507936507,0.212740289,0.198020215,0.009951655,0.2857142857142857,0.1428571428571428,C2,C2,C2
plain,no_discretization,auto-price,0,0.2552180571460347,0.1840835851052934,26692078925833.2,0.8517860872684309,0.6143759514533991,266920789258.332,0.592275966373154,0.1871101948774901,0.1121999457342393,0.0749256530714846,2986526313381.2524,0.5119999600083215,0.3419068621215104,29865263133.812523,0.4373037611062863,0.6878123882702185,15,2.8,0.0,42.0,2.8,0.5494356805065271,0.8291098444039621,0.1095571095571095,1.68147579,1.431954431,0.243739417,0.2666666666666666,0.2,C2,C2,C2
plain,no_discretization,auto-price,0,0.3330459826680002,0.2887316163119151,30462252807219.9,0.8314302594311952,0.7208019767513905,304622528072.199,0.5351242453224901,-0.7894185006589807,0.1191633844232079,0.0815669692603958,3408363950459.5063,0.5349930751000093,0.3662011105376788,34083639504.595062,0.4257799452201216,0.6520347761326517,11,2.3636363636363638,0.0,26.0,2.3636363636363638,0.5547513130658651,0.7975671837740804,0.1296884933248569,0.126565336,0.115236586,0.006755217,0.2727272727272727,0.1818181818181818,C2,C2,C2
plain,no_discretization,auto-price,0,0.3462167379838616,0.2779808577559147,23798084616481.52,0.7252223207047647,0.5822882046293287,237980846164.8152,0.623351626973347,-0.0279027658792614,0.1105830557904546,0.0669221590574558,2704599912540.7124,0.5331724501070038,0.3226629184377655,27045999125.407124,0.5002338165542121,0.6954623558476116,25,3.28,0.0,82.0,3.28,0.5591356629180442,0.8158560302616364,0.106013986013986,5.22405619,4.612227848000001,0.604999635,0.68,0.6,C2,C2,C2
plain,no_discretization,auto-price,0,0.2118328070106324,0.1370277004375255,53384157851664.125,0.7975568876378328,0.5159134122017123,533841578516.6413,0.4985332852428922,0.5125777020337895,0.1034647153721823,0.072817262587144,3216741607025.678,0.4821677654967394,0.3393440620305644,32167416070.256783,0.3885194893546102,0.7282863275918887,11,2.5454545454545454,0.0,28.0,2.5454545454545454,0.5397946251745185,0.8030495590008241,0.1678321678321678,0.599877677,0.5417119970000001,0.053789613,0.5454545454545454,0.3636363636363636,C2,C2,C2
plain,no_discretization,auto-price,0,0.1516652530935363,0.1179715312175108,23305063262880.6,0.6146209220981372,0.4780776731603652,233050632628.806,0.3315457065427567,0.6199315172604369,0.1130618108296903,0.0721912537421659,2921304534082.273,0.5249556826885409,0.3351901814967967,29213045340.82273,0.5536776003741064,0.6752460486420576,12,3.0833333333333335,0.0,37.0,3.0833333333333335,0.5443373079081064,0.8183431674571816,0.1561771561771562,1.350241095,1.136983249,0.208053886,0.4166666666666667,0.4166666666666667,C2,C2,C2
plain,no_discretization,auto-price,0,0.2197891225589359,0.1428651506461011,31317828426187.94,0.7970043451629351,0.518060878134529,313178284261.8794,0.6193132473779144,0.3827517071140054,0.1196820433134728,0.0821119683838341,3504092691043.05,0.5669933325426108,0.3890052116978069,35040926910.4305,0.4683345580867125,0.6167836395244245,5,2.8,0.0,14.0,2.8,0.5310116097631017,0.8113308913308913,0.2461538461538461,0.074739912,0.064938775,0.00536468,0.4,0.2,C2,C2,C2
