model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,auto93,0.0,0.3099067715699331,0.2333127884384725,23318911431163.816,0.6707635251928419,0.5049831846292733,233189114311.63812,0.7302406994539811,-0.2874473612333095,0.1369195782992387,0.0852620852560086,2809507401345.496,0.6335471690227155,0.3945202973154205,28095074013.45496,0.656880733944954,0.4138463579833258,7,2.0,0.42857142857142855,17.0,2.4285714285714284,0.5851673515927226,0.8739626844890002,0.2633390705679862,0.2469019889831543,0.109854651,0.0155711969999999,0.8571428571428571,0.8571428571428571,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.5,0.3212463012463378,0.229924907747584,44397024389454.11,0.9611271451922953,0.6879054150496823,443970243894.5411,0.8239299709740447,-0.2852587479622996,0.157319767784487,0.1040940001956302,5349039083067.44,0.6871062755364751,0.4546386114559557,53490390830.67441,0.7009174311926606,0.25657289843628,6,1.6666666666666667,0.16666666666666666,14.0,2.3333333333333335,0.4127346914376128,0.7813685636856369,0.2791164658634538,0.0571084022521972,0.034802978,0.002175196,0.6666666666666666,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.0,0.2204923009272862,0.1620639465534572,40667603581451.98,0.8032219533779712,0.5903758053018799,406676035814.5198,0.5456790123456791,0.4098009979636561,0.1255503595635064,0.0824224310143939,5754319210032.827,0.4359280702541835,0.2861819864369954,57543192100.32827,0.5382716049382716,0.6581335693021124,17,2.235294117647059,0.8823529411764706,53.0,3.1176470588235294,0.543486987657191,0.7839219603925486,0.134453781512605,2.3061635494232178,1.1377196640000002,0.331585787,0.4705882352941176,0.4705882352941176,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.08333333333333333,0.3454223074938435,0.2094326270341147,30035558705267.47,0.8452052086489985,0.5124554592740996,300355587052.6747,0.7541284403669725,-0.1138605368956584,0.112569170044993,0.0635945286797594,2256324421107.355,0.5118610056277095,0.2891694003733993,22563244211.07355,0.4844036697247706,0.6004985970935092,24,2.4166666666666665,1.5,96.0,4.0,0.5404327088638173,0.8030814884433307,0.0952380952380952,2.478845357894897,1.152413242,0.261651242,0.5833333333333334,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.2727272727272727,0.2349446076783727,0.1579586809558455,24381146555693.688,1.05585778233324,0.7098775503825944,243811465556.9369,0.6296610851072894,0.3340719728085315,0.1140273577745888,0.0707034271788844,2612265702395.5537,0.5083428219807846,0.315201372699321,26122657023.955536,0.6296610851072894,0.5675088929902967,11,2.090909090909091,0.36363636363636365,30.0,2.727272727272727,0.6168995244549318,0.8602018979626055,0.2456709956709956,0.3838212490081787,0.2066710539999999,0.114129532,0.6363636363636364,0.6363636363636364,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.0,0.3110986494744402,0.2431867270535555,34889398504221.133,0.7097617789582945,0.5548228650435139,348893985042.2113,0.667700094906675,0.2907385103413832,0.1042755357843577,0.065932657550735,2834440127077.3125,0.4878624453968214,0.3084718510651659,28344401270.773125,0.5119664554852793,0.6317383373411363,17,2.9411764705882355,0.7647058823529411,63.0,3.7058823529411766,0.5560886254415621,0.8009433340370814,0.1449579831932773,1.0068106651306152,0.5197561810000001,0.074508188,0.7058823529411765,0.5882352941176471,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.375,0.4524813476883421,0.369744666932293,13828996468572.28,0.7041676061194246,0.5754098336191921,138289964685.72278,0.8192921490067558,-1.3510306121169884,0.133907495654423,0.0844340577190017,1989398192142.314,0.6414978069251568,0.4044901489033461,19893981921.42314,0.601113172541744,0.4614757308730092,8,1.5,0.5,19.0,2.375,0.5040737920871927,0.8237905581496413,0.2053571428571428,0.4791345596313476,0.225191901,0.177927062,0.875,0.875,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.0,0.4520194787913767,0.3653411643584933,30602895783075.77,1.0249278879571917,0.8283898494175141,306028957830.7577,0.7908256880733945,-0.6077800627901562,0.1174431666369775,0.0747362084734901,3688778574151.5474,0.4985493283430628,0.3172571687592274,36887785741.51547,0.5137614678899083,0.5749520908730412,16,2.875,0.9375,61.0,3.8125,0.5676995542006241,0.8261531581844083,0.1558734939759036,3.0705254077911377,1.0424567340000002,0.298310272,0.625,0.5625,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.0,0.3617289488409848,0.2342499741217011,36826613727328.13,1.0463039301980277,0.6775699577200999,368266137273.2813,0.9119266055045872,-0.2401354948962679,0.1283865792843818,0.0799558697567751,3945708613642.753,0.5733623646121356,0.3570753797156537,39457086136.42753,0.6257614782858851,0.4689621066272719,11,2.6363636363636362,0.6363636363636364,36.0,3.272727272727273,0.4878641852833283,0.8073332464636813,0.2056277056277056,0.6818082332611084,0.301806129,0.0552703639999999,0.6363636363636364,0.5454545454545454,C2,C2,C2
at_least_M-of-N,no_discretization,auto93,0.06666666666666667,0.3464685096179158,0.2642931116478648,73448392662190.25,0.8152200226303901,0.6218661450537996,734483926621.9025,0.7163787007887221,0.0412106377247618,0.1207502397578238,0.0751877880633678,2319420835618.398,0.5293446304810089,0.3296080568362521,23194208356.18398,0.4203975217260577,0.547698641684387,15,2.8,1.4666666666666666,65.0,4.333333333333333,0.4903509599357171,0.7862647532157516,0.1404761904761904,1.653153657913208,0.789615816,0.2351215379999999,0.4,0.4,C2,C2,C2
