model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,auto93,0,0.3280451893464169,0.2513947323004232,30574896552790.93,0.7100223932309327,0.5441198202882465,305748965527.90924,0.7559633027522936,-0.4425626933783348,0.1177420232241368,0.0752980066478779,3683722476240.327,0.5448097811521921,0.3484150297378027,36837224762.40327,0.4385321100917431,0.566545665174158,9,1.1111111111111112,2.7777777777777777,35.0,3.888888888888889,0.5496364081467437,0.8166092138314359,0.1713520749665328,247.049262283,238.637050599,8.392407280999999,0.7777777777777778,0.6666666666666666,C2,C2,C2
complex,no_discretization,auto93,0,0.3284692368401424,0.2442798474387592,30689038218549.79,0.9827372289201008,0.7308535272964505,306890382185.49786,0.8018348623853211,-0.3437042767078659,0.1754439036928345,0.1117269126614824,3697474484163.1416,0.7662648434436006,0.4879759480778371,36974744841.63142,0.8018348623853211,0.0754117715981251,3,0.3333333333333333,2.3333333333333335,8.0,2.6666666666666665,0.6091357633200575,0.8416666666666667,0.2730923694779116,65.98064632,61.87510503199999,4.088587212999999,1.0,1.0,C2,C2,C2
complex,no_discretization,auto93,0,0.1389809125596625,0.1048864706440879,41287130314461.14,0.5062876100387704,0.3820864287748916,412871303144.6114,0.3358024691358025,0.7655112941840094,0.131714942731767,0.0732110012534698,5325385273995.355,0.4573323486155047,0.2541986387674061,53253852739.95355,0.8741907172056831,0.623737765066144,22,0.6818181818181818,3.0454545454545454,82.0,3.727272727272727,0.5896369667987034,0.8169599623546994,0.1358225108225108,552.01640132,529.9015220009999,22.094959509,0.8181818181818182,0.5,C2,C2,C2
complex,no_discretization,auto93,0,0.3702274088451054,0.2517606860099977,50667820954238.98,0.9059001910178672,0.6160269285807133,506678209542.3898,0.7688073394495414,-0.2795792548531803,0.1190588762082153,0.0657832020126316,3215662015433.634,0.5413702178001686,0.2991214727987956,32156620154.336334,0.544954128440367,0.5531076314491303,14,1.0714285714285714,3.5714285714285716,65.0,4.642857142857143,0.5528989300852037,0.831229504622362,0.135204081632653,367.600382721,350.26247996699993,17.320469866,0.7142857142857143,0.5,C2,C2,C2
complex,no_discretization,auto93,0,0.2720299049131492,0.1312292245831453,29291773962438.254,1.222521746585971,0.5897534717432262,292917739624.38257,0.798165137614679,0.1072504715389692,0.1408030972981663,0.077780944899471,3639868637237.392,0.6277111495092077,0.3467534966888482,36398686372.37392,0.798165137614679,0.3405475649284563,8,1.0,2.625,29.0,3.625,0.6465949426577948,0.8719532203907203,0.1532738095238095,174.294613109,166.10523871599997,8.173843906,0.875,0.875,C2,C2,C2
complex,no_discretization,auto93,0,0.4365921138831587,0.3221501677932022,40238182846826.0,0.996071168911752,0.734975470227498,402381828468.26,0.8018348623853211,-0.3968890145382935,0.1630251476465901,0.094813546054169,4311233876446.1104,0.7627277730465913,0.4435936779110741,43112338764.46111,0.8018348623853211,0.099879082825103,12,1.4166666666666667,3.1666666666666665,55.0,4.583333333333333,0.6739349881855743,0.8505260942760943,0.1488095238095238,380.215651214,364.482474075,15.711087888000002,1.0,1.0,C2,C2,C2
complex,no_discretization,auto93,0,0.5070127658712982,0.4569423906667661,34235988725389.09,0.7890313433681871,0.7111100402572321,342359887253.89087,0.8531410696420063,-1.9518528913881077,0.160501240259512,0.087349961854501,3668141649149.532,0.7688979106961874,0.418459091410897,36681416491.49532,0.8423005565862709,0.2263361767329118,10,0.4,2.6,30.0,3.0,0.5683535068798692,0.8507201958797703,0.1654761904761905,274.911841011,263.864970347,11.028478035000004,0.9,0.9,C2,C2,C2
complex,no_discretization,auto93,0,0.4495275745364359,0.3626574924240927,33877199459518.094,1.0192776399372676,0.8223047793336987,338771994595.1809,0.8978750098016153,-0.5901021051694693,0.1357912034762934,0.0807795538589158,4359591951890.145,0.5764372268440439,0.3429113287169725,43595919518.90144,0.5871559633027523,0.4317680442972146,20,1.2,3.15,87.0,4.35,0.603273750459545,0.8600723399407609,0.1704819277108433,379.784619155,361.690840007,18.072554916999994,0.7,0.65,C2,C2,C2
complex,no_discretization,auto93,0,0.3146261192429655,0.1954006463797944,15608806047971.531,0.910058612012226,0.5651979608640308,156088060479.71533,0.7192660550458716,0.0618070777809697,0.1466405387580923,0.0814174721950535,1672372076568.6687,0.6548828274651709,0.3636027584713249,16723720765.686687,0.7192660550458716,0.3072215785502937,11,1.4545454545454546,3.272727272727273,52.0,4.7272727272727275,0.5651162873379301,0.792840492840493,0.0984848484848484,300.110066477,284.78094613900004,15.312127492,0.8181818181818182,0.8181818181818182,C2,C2,C2
complex,no_discretization,auto93,0,0.3596450401583992,0.2738995968328063,35941930569675.97,0.8462236239021158,0.6444696396066031,359419305696.7597,0.7068348623853211,-0.0331034737263307,0.1190611210601756,0.0676695236773591,3705415961703.216,0.5219398757191267,0.2966495062673082,37054159617.032166,0.5944954128440367,0.5602642006173726,19,0.7894736842105263,3.1578947368421053,75.0,3.9473684210526314,0.5513609086087337,0.8221123991247832,0.1203007518796992,448.409270856,425.611570444,22.767937485,0.7368421052631579,0.631578947368421,C2,C2,C2
