model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,auto93,0.09090909090909091,0.3191310944144331,0.2448764303826825,19121255177457.17,0.690728688513894,0.530011580089215,191212551774.5717,0.7302406994539811,-0.3652292766488181,0.1310468232197112,0.0807404585062625,1982190767695.8591,0.6063730614099467,0.3735980606107597,19821907676.95859,0.656880733944954,0.4630506056037262,11,2.3636363636363638,0.8181818181818182,36.0,3.272727272727273,0.5695964552159313,0.821043771043771,0.1653888280394304,0.2980031967163086,0.157270723,0.021314099,0.9090909090909092,0.9090909090909092,C2,C2,C2
exact_M-of-N,no_discretization,auto93,0.8,0.3117032635924028,0.2185464437672895,28934266398342.85,0.9325756179024736,0.6538625309460369,289342663983.4285,0.8018348623853211,-0.2100323894235134,0.1552970285793579,0.1007137336361452,3486056192571.981,0.6782718053284983,0.4398750353414146,34860561925.71981,0.7009174311926606,0.2755672291874548,5,1.6,0.2,13.0,2.6,0.4350993692790134,0.8017748917748918,0.2578313253012048,0.0520336627960205,0.034320129,0.001799157,0.6,0.4,C2,C2,C2
exact_M-of-N,no_discretization,auto93,0.11764705882352941,0.2124896348601706,0.135831760485159,35820428331466.56,0.7740693841334786,0.4948156989102223,358204283314.66565,0.5802469135802469,0.4518655322169209,0.1341280401653323,0.074130712581528,2561550972449.9634,0.4657109539114724,0.25739200265601,25615509724.499638,0.5802469135802469,0.6098247711537761,17,2.4705882352941178,0.8823529411764706,59.0,3.4705882352941178,0.5657971969260746,0.8181719345381584,0.1330532212885154,2.046298027038574,0.95306714,0.3078157499999999,0.5882352941176471,0.4705882352941176,C2,C2,C2
exact_M-of-N,no_discretization,auto93,0.13043478260869565,0.3468824488009351,0.2493228129140153,58321358043653.53,0.8487779919097883,0.6100617578489814,583213580436.5353,0.7124788910225424,-0.1232972827292728,0.113249372345471,0.0688710400270118,1892324835273.537,0.5149539398068794,0.3131621188355784,18923248352.73537,0.4808095444699005,0.5956560140531433,23,2.391304347826087,1.608695652173913,95.0,4.130434782608695,0.5146436505289563,0.8024210737513336,0.1112836438923395,2.1718666553497314,0.932523769,0.182375901,0.6521739130434783,0.3478260869565217,C2,C2,C2
exact_M-of-N,no_discretization,auto93,1.6666666666666667,0.2482012958993108,0.1489922818687869,20969701465261.094,1.115434282361725,0.6695819149597264,209697014652.61093,0.7001931573926248,0.2568021930991185,0.1174917259048445,0.0704858519649933,3645963024611.464,0.523787244320166,0.3142314054881093,36459630246.11463,0.7001931573926248,0.5408298719583372,15,1.0666666666666667,0.26666666666666666,45.0,3.0,0.5503931688264355,0.8097952012854094,0.1658730158730158,0.3799772262573242,0.229278296,0.085176767,0.6,0.5333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,auto93,0.21739130434782608,0.3496847219059997,0.2833509156296745,72704908112276.67,0.7977946889638631,0.6464561973718973,727049081122.7667,0.667700094906675,0.1038856248192917,0.0982587937362368,0.0578178353928949,1874406746246.5027,0.459712578154821,0.2705059278780511,18744067462.465027,0.4117904121718574,0.6730099737512927,23,2.9565217391304346,1.2173913043478262,101.0,4.391304347826087,0.5158722678733078,0.7930118033615199,0.098343685300207,1.326284885406494,0.7377116720000002,0.179847677,0.8260869565217391,0.5217391304347826,C2,C2,C2
exact_M-of-N,no_discretization,auto93,1.7272727272727273,0.4773035003140649,0.4110914493281515,18567716459990.21,0.7427967250488203,0.6397551705688296,185677164599.9021,0.754240070927808,-1.6160507207041857,0.1338390689729254,0.0843174424233678,2764173860487.445,0.6411700017795123,0.4039314911819281,27641738604.874447,0.5377531619647364,0.4620259616638987,11,0.5454545454545454,0.6363636363636364,32.0,2.909090909090909,0.484417641023617,0.8054384639750493,0.1374458874458874,0.4843041896820068,0.271444191,0.1386370529999999,0.6363636363636364,0.2727272727272727,C2,C2,C2
exact_M-of-N,no_discretization,auto93,0.0,0.4474728489505062,0.3605093696529758,30602895783075.76,1.014618669131962,0.81743403584105,306028957830.7576,0.798165137614679,-0.5755990728253917,0.1106600015080691,0.0691834856348537,3688778574151.529,0.469754614134526,0.2936857144043365,36887785741.51529,0.5137614678899083,0.6226331710800558,16,2.875,0.8125,59.0,3.6875,0.567880591534785,0.8199302144614646,0.1634036144578313,3.09279727935791,1.049028079,0.268854648,0.6875,0.6875,C2,C2,C2
exact_M-of-N,no_discretization,auto93,0.1111111111111111,0.3398349074914926,0.1989856278319733,25163471570813.297,0.9829752373043829,0.5755675489081185,251634715708.13297,0.7779816513761468,-0.0945574958102204,0.1273794674235136,0.0794849032370582,2696086239730.358,0.5688646979463909,0.3549720876199909,26960862397.303577,0.5211009174311927,0.4772607453517286,9,2.2222222222222223,0.5555555555555556,26.0,2.888888888888889,0.5239711604937669,0.7785913195687632,0.1693121693121693,0.5925860404968262,0.273728297,0.0358962399999999,0.7777777777777778,0.7777777777777778,C2,C2,C2
exact_M-of-N,no_discretization,auto93,0.125,0.3685813893677504,0.3157875128922406,146685105478278.38,0.8672503279241186,0.7430294420993897,1466851054782.7837,0.6866271645237989,-0.0850817938359522,0.1229724551625896,0.0650527379827681,1180497936401.658,0.5390863733930245,0.2851780470028846,11804979364.01658,0.5853211009174312,0.5308976849287977,16,2.6875,1.5,69.0,4.3125,0.4870573428381304,0.7715226715686275,0.1004464285714285,1.3090548515319824,0.6071668279999999,0.096474529,0.5625,0.4375,C2,C2,C2
