model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,auto93,0,0.318866573694263,0.2743598603064413,38154596220866.92,0.6901561587500264,0.593825640331438,381545962208.6692,0.5509829619921363,-0.3629669977870067,0.097567148864647,0.0643305140860888,4596939303719.411,0.4514576492320282,0.2976668171731004,45969393037.19412,0.4899082568807339,0.702362539620462,11,2.5454545454545454,0.0,28.0,2.5454545454545454,0.5095790259013654,0.7964459453589888,0.1785323110624315,0.144927148,0.1241922229999999,0.01420776,0.3636363636363636,0.3636363636363636,C2,C2,C2
plain,no_discretization,auto93,0,0.3318968043903335,0.2258501013132198,30800615742047.95,0.9929920651678272,0.6757141242541862,308006157420.4795,0.8807339449541285,-0.3718936260043153,0.1227959824523143,0.0765598505344009,4447197418037.879,0.536320968063188,0.3343810793592376,44471974180.37879,0.6623853211009174,0.5470605878919893,16,3.375,0.0,54.0,3.375,0.4662981610323587,0.7319529100017201,0.1212349397590361,0.206374838,0.1848453309999999,0.0127085449999999,0.625,0.4375,C2,C2,C2
plain,no_discretization,auto93,0,0.266381638455075,0.1601519246858934,41336966530263.125,0.9703902543720592,0.5834105827843261,413369665302.6312,0.7506172839506173,0.138569620947321,0.1358665665251738,0.0873448056957561,4428960699671.424,0.4717473559079828,0.30327314653701,44289606996.71424,0.5382716049382714,0.5996445572141321,14,2.857142857142857,0.0,40.0,2.857142857142857,0.4899398471648327,0.8038795570750458,0.1284013605442177,0.155340047,0.1380470359999999,0.010982107,0.4285714285714285,0.3571428571428571,C2,C2,C2
plain,no_discretization,auto93,0,0.3583188767375531,0.2475749659287424,36288713439023.77,0.8767615015172004,0.6057849947568917,362887134390.2377,0.7401041447392952,-0.1985866371406044,0.1248473679939737,0.0654685673042146,6470274772310.19,0.5676909522014421,0.2976908036538482,64702747723.10191,0.8146788990825689,0.5085965936102967,19,3.1578947368421053,0.0,60.0,3.1578947368421053,0.4976761416470426,0.7577324809022687,0.100250626566416,0.257270896,0.226954906,0.0237990879999999,0.7368421052631579,0.5789473684210527,C2,C2,C2
plain,no_discretization,auto93,0,0.2434546706959976,0.1364312597948483,25339447738602.504,1.0941026109934755,0.6131317880898914,253394477386.02505,0.7009174311926606,0.2849563537840774,0.1006211030534478,0.0595266098696787,3351945461205.5386,0.4485766966390924,0.265374252588752,33519454612.055386,0.6220183486238532,0.6632270449849935,19,3.1578947368421053,0.0,60.0,3.1578947368421053,0.5394366631208131,0.8098647883782264,0.1209273182957393,0.23828614,0.205650044,0.025969351,0.7894736842105263,0.4736842105263157,C2,C2,C2
plain,no_discretization,auto93,0,0.3586012407627115,0.2713358812921677,46826418143913.945,0.8181374461456968,0.6190442746263617,468264181439.13947,0.6421031745752158,0.0576034140923753,0.1181045356394383,0.0648088436493828,2911522790868.366,0.5525626613769532,0.3032139869462182,29115227908.683662,0.7412844036697248,0.5275837777030417,13,2.4615384615384617,0.0,32.0,2.4615384615384617,0.4411966774592498,0.7325377142237607,0.1291208791208791,0.101465189,0.0918231319999999,0.003994264,0.4615384615384615,0.3846153846153846,C2,C2,C2
plain,no_discretization,auto93,0,0.5428838700078582,0.48245331010402,50728981562652.09,0.8448552345799416,0.7508110426561414,507289815626.52094,0.8024775477367134,-2.384315148121417,0.1014184616348922,0.0630359433283378,3580916745855.9414,0.4858557051086002,0.3019802528974526,35809167458.55942,0.4953617810760667,0.6910917255696278,10,2.4,0.0,24.0,2.4,0.4614093984684918,0.7819565719565718,0.1404761904761904,0.082822622,0.0739806639999999,0.002437137,0.3,0.3,C2,C2,C2
plain,no_discretization,auto93,0,0.459321069710688,0.3510659784748332,28972667620781.71,1.04148382085563,0.7960216953789823,289726676207.81714,0.9261122113542736,-0.660141375975752,0.1032116970831652,0.0665467478374861,3490682845877.557,0.438136366137104,0.28249269317086,34906828458.77557,0.4458715596330276,0.6717231805819341,19,3.263157894736842,0.0,62.0,3.263157894736842,0.4567747973048202,0.7315531991228588,0.1077996195307546,0.211240694,0.188756174,0.016318832,0.5789473684210527,0.3157894736842105,C2,C2,C2
plain,no_discretization,auto93,0,0.3526238972824969,0.2513304427397487,43153757897332.53,1.0199674944197306,0.7269753522895664,431537578973.3253,0.7651376146788991,-0.1784905038218467,0.0950839029636503,0.0611971128039813,4028928617965.168,0.4246357504317542,0.2733005388904755,40289286179.65167,0.4098101332438693,0.7087269810939232,16,2.75,0.0,44.0,2.75,0.4739370385624081,0.7261290692891241,0.1101190476190476,0.245744343,0.210118088,0.02473661,0.5625,0.375,C2,C2,C2
plain,no_discretization,auto93,0,0.4314182996543494,0.3169118564846424,46243323423659.84,1.0151018815396458,0.7456749564344527,462433234236.59845,0.8917431192660551,-0.4865954415067897,0.1121611544069437,0.0738219296396417,4954641795392.596,0.4916918173656882,0.3236204097388486,49546417953.92596,0.4477064220183487,0.6097554652267374,15,2.533333333333333,0.0,38.0,2.533333333333333,0.4651886822219045,0.7357218506131549,0.1444444444444444,0.142493195,0.126989445,0.009164215,0.6,0.4,C2,C2,C2
