model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,bodyfat,0.0,0.158120091363233,0.1060511851923223,72816095027801.28,0.3812646612097032,0.2557143045177882,728160950278.0128,0.4455135634403022,0.4840702730020412,0.0873574364965228,0.0530140133672362,8342722223746.886,0.2162327676186859,0.1312237090820285,83427222237.46886,0.5045986077088476,0.7552630280628214,26,2.6538461538461537,2.730769230769231,140.0,5.384615384615385,0.6587817530368786,0.8612754257429652,0.1092849881396137,41.30131459236145,6.352837202999999,4.790305893999999,0.9615384615384616,0.8076923076923077,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.034482758620689655,0.1502639659878861,0.1189010183866823,23487790837406.85,0.3063073152829986,0.2423751528651601,234877908374.0685,0.3769840075933265,0.7034253995946362,0.0502993316383136,0.031218084892431,3314246581856.392,0.1268531985944879,0.078730945195754,33142465818.563915,0.3965742590379715,0.915999637627682,29,2.6551724137931036,2.2758620689655173,144.0,4.9655172413793105,0.6065024692188795,0.8257900920172726,0.0784253890753738,9.432101011276243,3.749086711,3.608243236,1.0,0.896551724137931,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.05,0.1478521812462715,0.1175078304850871,81320153088466.81,0.4208930707010647,0.3345113422568173,813201530884.6681,0.4514175316242902,0.5018308914787191,0.0878830472736117,0.0551074670369603,11336333274969.893,0.1819154097595236,0.1140708903234427,113363332749.69891,0.5713979630379836,0.8128524813925296,20,2.95,1.55,91.0,4.55,0.5928570559581394,0.8195702028285086,0.1083700440528634,89.73559474945068,5.77966786,4.885738326,0.95,0.9,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.0,0.2447311351435333,0.2139874272247755,52700454418682.84,0.4262603584872961,0.3727125172982601,527004544186.8284,0.3927819548872181,0.2352454021817331,0.0741733246052737,0.0461299803329618,6580158885508.983,0.1862451382228039,0.1158298432630434,65801588855.08984,0.4652631578947368,0.8246417825616286,26,3.3846153846153846,2.4615384615384617,152.0,5.846153846153846,0.5854705397194683,0.8393325123291392,0.0696374110471026,47.67472219467163,7.771994106999999,8.724560121,0.7692307692307693,0.6923076923076923,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.0,0.1861931904966253,0.1492351670599607,43234556422757.12,0.37787330848634,0.3028681455484329,432345564227.5712,0.3810526315789474,0.5287911252471162,0.0836384634092582,0.0507976411945335,8344998024077.932,0.206189522088419,0.1252287635877401,83449980240.77931,0.5653141775395418,0.775784634277755,14,3.357142857142857,2.0714285714285716,76.0,5.428571428571429,0.6369344054791727,0.862476026877108,0.1211453744493392,9.016237497329712,2.203063952,1.770162659,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.03333333333333333,0.1598337740964523,0.126649306212288,25104023215491.0,0.3088624588726087,0.2447368608566535,251040232154.91,0.3437693243008513,0.611411088925679,0.0593951837947275,0.0371166754332729,3363213384667.566,0.1477684746808145,0.0923420749559911,33632133846.67566,0.3436131046129089,0.8875114239859219,30,3.066666666666667,1.9333333333333333,151.0,5.033333333333333,0.6097867693455796,0.8348182568394378,0.0615271659324522,24.898812294006348,6.353328066,5.6557817550000005,0.8666666666666667,0.7666666666666667,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.07692307692307693,0.1636602108216904,0.1407415206133813,41338303948074.75,0.3351975644069441,0.2882570826694957,413383039480.7475,0.3676520017658992,0.6311417537346309,0.06633712243093,0.0450953994411898,6267679220420.305,0.1640400015162607,0.1115129677264997,62676792204.20305,0.4105263157894737,0.8565550049004063,13,1.8461538461538463,1.3076923076923077,42.0,3.230769230769231,0.6727804639201828,0.818511456005671,0.121653676719756,1.9803037643432615,0.8956812599999999,0.500689602,0.9230769230769232,0.8461538461538461,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.1111111111111111,0.2330643845641838,0.2158945719356046,80200691340229.23,0.3880519670950589,0.3594642462485953,802006913402.2924,0.4630114014072432,0.1476561106590498,0.0658104263148405,0.0398783477218579,7877296829509.49,0.1669978448326109,0.1011936633441009,78772968295.09491,0.5124711834321238,0.8650164932256822,18,2.0555555555555554,1.6111111111111112,68.0,3.7777777777777777,0.6476536630779216,0.819644277466106,0.1268436578171091,19.053582668304443,3.350784965,3.416528001,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.20588235294117646,0.1420050429896925,0.1117811411346396,47406311867058.24,0.3312007862412036,0.2607090639268271,474063118670.5824,0.3229966309401662,0.6330322746528856,0.0841078457395691,0.0541741962746891,5220959456724.726,0.2060885914525404,0.1327424772939065,52209594567.24725,0.5035874336622982,0.77588712301675,34,3.0588235294117645,2.323529411764706,190.0,5.588235294117647,0.5680720688418588,0.8218632697004127,0.0713915522155999,15.663524866104126,5.3050871200000005,3.691054161,0.8235294117647058,0.7058823529411765,C2,C2,C2
at_least_M-of-N,no_discretization,bodyfat,0.125,0.1743580187782193,0.1408834474435947,23892781180997.47,0.3425406567031979,0.2767771103623472,238927811809.9747,0.3647923352823708,0.637132389644382,0.0697455129141136,0.0403972681516769,9183003804783.553,0.1734948998745974,0.1004899053766106,91830038047.83553,0.4628612745718042,0.8431355821369666,24,2.8333333333333335,2.0833333333333335,121.0,5.041666666666667,0.5818631526328799,0.819322665935061,0.0791116005873715,23.86978578567505,5.561488125999999,7.457522478000001,0.8333333333333334,0.75,C2,C2,C2
