model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,bodyfat,0,0.116431692709723,0.0699060512044309,43133454566185.61,0.2807441451135345,0.1685599008903873,431334545661.8561,0.4535194331568023,0.72025723611489,0.0651064661805019,0.0343671595751881,7527603667810.949,0.1611557291134874,0.0850678125202511,75276036678.1095,0.4248598697900614,0.8640597491266606,46,0.9130434782608695,2.9130434782608696,176.0,3.8260869565217392,0.727775311867949,0.867366670455074,0.0532465045010534,1484.328059849,1430.290441774,54.018453219,0.9782608695652174,0.9782608695652174,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1409197259286295,0.1073743567593707,30066957813820.68,0.2872594413160525,0.218878496471025,300669578138.2068,0.3663331251832578,0.7391638151924881,0.0598800574097027,0.0292854740977368,1552242069983.4414,0.1510154621747776,0.0738569666962375,15522420699.834414,0.6303253408816671,0.8809522622340477,35,0.8857142857142857,1.9714285714285715,100.0,2.857142857142857,0.726609134797473,0.8591460863403172,0.0576485461441213,353.318538929,325.200398329,28.101373987999995,1.0,0.9428571428571428,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1863918104721846,0.1187871776102378,61994688137369.78,0.5306044239719123,0.3381532793284141,619946881373.6978,0.7531172069825436,0.2082738765837097,0.0708946238536254,0.0380152954129202,6827608825701.594,0.1467498561801925,0.0786905809107877,68276088257.01594,0.5190235635321387,0.8782131314622775,53,1.150943396226415,2.641509433962264,201.0,3.792452830188679,0.6935879999274556,0.8354697919739462,0.0590973318926107,903.713511881,846.1216091359996,57.57224625499999,0.9622641509433962,0.9622641509433962,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1935165102958815,0.1700628059562546,19721025736696.496,0.3370573057798878,0.2962068254607369,197210257366.96497,0.3415419943695189,0.5218328960938176,0.0582587958579058,0.0280106359785068,10329220544797.451,0.1462846319076591,0.0703331662331168,103292205447.97452,0.52063532677704,0.8918183404875719,52,0.7115384615384616,2.3846153846153846,161.0,3.0961538461538463,0.7332133142530698,0.8514107802964112,0.0637919349373093,1373.662154344,1311.531628223,62.11009914900001,0.9615384615384616,0.9615384615384616,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1699613155416509,0.1422860063304197,43234556422757.1,0.3449312214217548,0.2887650392582885,432345564227.57104,0.3285469699944121,0.6073676840820497,0.067561870236586,0.0326363402766082,4761515024532.898,0.1665567391801155,0.0804566598912909,47615150245.32899,0.5662500141736582,0.8536958627907736,48,0.5416666666666666,2.2083333333333335,132.0,2.75,0.7189104221502198,0.834358500562734,0.0479074889867841,667.196794185,622.510019541,44.668353509,1.0,1.0,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1652102486291783,0.146127675086493,31005809226243.0,0.3192519472872515,0.2823768211173941,310058092262.42993,0.301196724206661,0.5848287573096975,0.0551837963968996,0.0258025253735499,4594444321917.638,0.1372910209159137,0.0641937540009927,45944443219.17638,0.5926229633373146,0.9028977915720066,45,0.8666666666666667,2.533333333333333,153.0,3.4,0.7345798323797588,0.8537489628307778,0.0601076847772883,984.678689241,933.649864124,51.009248808,0.9777777777777776,0.9111111111111112,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1522800898630827,0.1239472552523673,20514723220326.207,0.3118895849730318,0.2538602258113001,205147232203.2621,0.3639145729551729,0.6806554319400528,0.0569205424772595,0.0283212893677963,5095656429763.148,0.1407544604304767,0.0700335525658801,50956564297.631485,0.5983206163591503,0.894388745034724,33,0.5151515151515151,1.7878787878787878,76.0,2.303030303030303,0.7648278232519182,0.8694700803348134,0.0710185556000534,439.972944196,415.88605844000006,24.065460008,0.9393939393939394,0.9393939393939394,C2,C2,C2
complex,no_discretization,bodyfat,0,0.2301461969363362,0.220234718499733,50850257589838.086,0.3831931876146323,0.3666905859351169,508502575898.38086,0.3619209037678964,0.1688667964603403,0.0577078894695851,0.027960894489766,3876483730742.133,0.1464371788925189,0.0709524216883851,38764837307.42133,0.5864279936865636,0.8962085256923498,43,0.6046511627906976,2.372093023255814,128.0,2.9767441860465116,0.7249690643446702,0.8395886026244056,0.0628730191397407,562.865582993,525.3375495340001,37.504620768,1.0,1.0,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1411738543045857,0.1077105933389626,47093383857238.09,0.3292621906799028,0.2512152558058124,470933838572.3809,0.2926315789473682,0.6373155978327814,0.0682880983057412,0.0269567732389534,3675555457534.152,0.1673256266291683,0.0660519048855846,36755554575.34152,0.8147368421052632,0.852264852885937,38,0.7631578947368421,2.5526315789473686,126.0,3.3157894736842106,0.6789283337679312,0.8392085676711716,0.0416183630883375,1253.798552156,1204.756317262,49.026201910000005,1.0,0.9473684210526316,C2,C2,C2
complex,no_discretization,bodyfat,0,0.1665178829944679,0.1345720112017031,19505392999768.848,0.3271380656504489,0.264377775188736,195053929997.68848,0.3447756631023324,0.6690319162332811,0.0594663575233485,0.0260367718930825,7573070079661.464,0.1479250680559926,0.0647675663122693,75730700796.61464,0.5409208297154404,0.8859659438218368,52,0.4230769230769231,2.3653846153846154,145.0,2.7884615384615383,0.7438438241507082,0.8288921128021466,0.0567604201965435,1086.200843351,1040.4479374240002,45.73295755,0.9807692307692308,0.9807692307692308,C2,C2,C2
