model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,bodyfat,0.38235294117647056,0.1232152795835024,0.0843136046394127,30309064618647.438,0.2971009656093991,0.2032998945995378,303090646186.4744,0.3926902511925386,0.6867106928122544,0.0888086814808705,0.0517158642414264,7716296553404.486,0.2198249829130384,0.1280104465423614,77162965534.04486,0.446560572269307,0.7470639893683857,34,2.823529411764706,2.235294117647059,185.0,5.4411764705882355,0.6320836726485946,0.8669131346271506,0.0904379372894532,44.26998782157898,7.585428067000001,6.228099628000002,0.9411764705882352,0.8235294117647058,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.4411764705882353,0.2026733756474407,0.1577296803647255,25809120370538.15,0.4131418811274753,0.3215258868973251,258091203705.38147,0.5065077788811652,0.4604674366818539,0.0681023951283204,0.0445739808399405,3146436628344.712,0.1717519174229479,0.1124140591826249,31464366283.44712,0.4602204449883831,0.8460139058893261,34,2.6470588235294117,1.8823529411764706,169.0,4.970588235294118,0.6092261503919811,0.8245455324508137,0.1021603331598125,8.031507730484009,3.511303982,2.528257826999999,0.9117647058823528,0.8823529411764706,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.8709677419354839,0.1178896206246357,0.1008294642808891,43126739573822.5,0.3355981900993279,0.2870327815295382,431267395738.225,0.2859018068711384,0.6832822075782514,0.0736851559680191,0.042314273192501,10880927733130.176,0.1525261783354378,0.0875893427150378,108809277331.30176,0.5484436450365934,0.86843696827295,31,2.935483870967742,2.096774193548387,183.0,5.903225806451613,0.5900687072171495,0.8293987826345773,0.0839846525508029,96.19798731803894,8.552358584999997,6.753616843999999,0.8387096774193549,0.7096774193548387,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.36,0.2177108651585509,0.190881334800422,23134280191124.69,0.3791978138565646,0.3324674898959682,231342801911.24692,0.3653577724803486,0.3947931223218247,0.0602304649870656,0.0383488645264218,5745270055803.934,0.1512353846404534,0.096291889468619,57452700558.03934,0.4273684210526316,0.8843719868406712,25,2.72,2.52,140.0,5.6,0.5711672978995,0.8304007066733248,0.0833480176211453,40.64340806007385,5.734665446,5.150380765000001,0.88,0.8,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.44,0.1815896391320714,0.1514862425885798,43234556422757.13,0.3685305436931114,0.3074366335548048,432345564227.57135,0.3855229108669025,0.5518039704816022,0.0731598382614641,0.0485976976269366,4779816992952.451,0.1803571164786311,0.1198053579638858,47798169929.52451,0.4842751773554037,0.828446827241628,25,3.08,1.36,122.0,4.88,0.5930926577895582,0.8264521230822902,0.0958590308370044,9.34760594367981,2.807178363,1.492117292,0.8,0.68,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.10810810810810811,0.1759712669672427,0.1463329888339578,20883486426048.72,0.3400465171624651,0.2827735689839874,208834864260.4872,0.3557388803098327,0.528982745993416,0.0549233692586755,0.0343067710367459,3862086982627.317,0.1366431077599607,0.0853513518005799,38620869826.27317,0.3439418178913299,0.9038121316992552,37,3.2162162162162162,2.081081081081081,200.0,5.405405405405405,0.5610902986967201,0.8124557571366083,0.0446481724014763,27.334529161453247,7.112447718,6.817602571,0.8648648648648649,0.6756756756756757,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.5517241379310345,0.1581312691951879,0.1355321739492235,36408047513900.73,0.3238735672200469,0.2775876578581128,364080475139.00726,0.3660331399141409,0.6556430933694921,0.0667552551917352,0.0384102049892591,4077530980048.918,0.1650739700726735,0.09498166115418,40775309800.48918,0.605434845978946,0.8547409955473526,29,2.0344827586206895,1.6551724137931034,123.0,4.241379310344827,0.6596616513747201,0.8867105388618894,0.0838523469542761,3.7206995487213135,2.040608832,1.110438138,0.896551724137931,0.7931034482758621,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,1.04,0.230508458590997,0.2089422980424891,79037077366314.02,0.3837963529071633,0.3478887171730057,790370773663.1401,0.4562936720740388,0.1662482465374679,0.0822775716071292,0.0473650233865734,11624335321384.24,0.2087841988854117,0.1201915451536935,116243353213.8424,0.5833333333333334,0.7890137133315784,25,2.24,1.88,129.0,5.16,0.6321897140570774,0.8511912811769207,0.1014159292035397,18.855920791625977,3.896670947,3.1471135689999987,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.75,0.1600535398458728,0.1345175830021023,45841709810085.61,0.3732956036039412,0.3137376554774642,458417098100.8561,0.3263157894736842,0.5338229362986228,0.088340231891392,0.0547497900983357,5048646454855.476,0.2164591638152333,0.1341528489342814,50486464548.55476,0.631834592397248,0.7527644821505453,44,3.0681818181818183,1.7727272727272727,246.0,5.590909090909091,0.4939710331549672,0.7937261469833444,0.0558670404485382,16.246660232543945,5.645854673999999,3.7804285550000007,0.7727272727272727,0.4090909090909091,C2,C2,C2
exact_M-of-N,no_discretization,bodyfat,0.375,0.1758508826668979,0.1452099469609517,36861420015791.88,0.3454735104966728,0.2852768742176971,368614200157.9188,0.3563015193451095,0.6308919994299262,0.0650256585276378,0.0390836774287938,6718303257346.781,0.1617540633678436,0.0972222931472268,67183032573.46781,0.4814550506207439,0.8636480305016361,16,2.0,1.5625,63.0,3.9375,0.622839194753019,0.8228568674656169,0.1164647577092511,17.828155755996704,3.4503237080000004,3.454494376,0.875,0.75,C2,C2,C2
