model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,bodyfat,0,0.1203291371665229,0.0944058289010306,23977280229358.9,0.2901417986792153,0.2276346165870109,239772802293.589,0.3790990699462802,0.7012155138271079,0.0696217751213042,0.0480498698703643,2542675041680.2124,0.1723323133641245,0.1189361405562782,25426750416.802124,0.3440172017560218,0.8445502584764287,42,2.857142857142857,0.0,120.0,2.857142857142857,0.6201210138954781,0.7864683987895301,0.0674428361653031,87.586836779,68.19035047799998,19.389494826,0.8809523809523809,0.8333333333333334,C2,C2,C2
plain,no_discretization,bodyfat,0,0.1300375667297766,0.1004355732166351,20785844434018.01,0.2650765783337753,0.2047340530954485,207858444340.1801,0.3609485571496574,0.777893162575813,0.0546420463752594,0.0322127722584331,2391291837541.98,0.1378053770235422,0.0812395128023022,23912918375.4198,0.3093511151348433,0.9008687364040036,37,2.72972972972973,0.0,101.0,2.72972972972973,0.5645296881945989,0.7634013005661466,0.041616838077015,257.740630604,205.402144339,52.33186867999999,0.8648648648648649,0.7297297297297297,C2,C2,C2
plain,no_discretization,bodyfat,0,0.1353753249749176,0.1041032090001052,42228265832701.34,0.3853750127023201,0.2963522008032194,422282658327.0134,0.3794466824392011,0.5823616745400261,0.1075033393988435,0.0743942639366493,4650690069680.955,0.2225288567472093,0.1539940116739369,46506900696.80955,0.3840399002493765,0.7199614833082775,16,2.0625,0.0,33.0,2.0625,0.5426117939069516,0.7751065432254876,0.1095814977973568,105.723862457,73.895859275,31.822533055,0.75,0.6875,C2,C2,C2
plain,no_discretization,bodyfat,0,0.2278572954098889,0.2014214155895777,23134280191124.656,0.3968703547605451,0.3508256714695368,231342801911.24652,0.4519998388156491,0.337067174667196,0.0826756258848468,0.056525316097277,2547828214881.734,0.2075939490716223,0.1419319595777768,25478282148.817337,0.351578947368421,0.7821359293153757,26,2.9615384615384617,0.0,77.0,2.9615384615384617,0.5306255889535376,0.7762657481407484,0.0662487292443239,108.283528867,87.41389065099999,20.863777764,0.8076923076923077,0.5769230769230769,C2,C2,C2
plain,no_discretization,bodyfat,0,0.1958914631515024,0.1524060802302226,46863223681322.18,0.3975556522118342,0.309303415535342,468632236813.2218,0.4318173220239555,0.4784248472744005,0.0927676449714585,0.0651961005731936,5179191781070.98,0.2286952151229483,0.1607245311697974,51791917810.70979,0.3326371568376625,0.7241669229113622,36,3.8333333333333335,0.0,138.0,3.8333333333333335,0.4563243256108933,0.7743846995869056,0.0666911404796867,445.236542761,313.714570994,131.51511263799998,0.5833333333333334,0.4722222222222222,C2,C2,C2
plain,no_discretization,bodyfat,0,0.2008860423578524,0.150986054386464,21617278211378.66,0.388191778280799,0.2917651433615981,216172782113.7866,0.4117700191071739,0.3861633428562815,0.1018051813746172,0.0740284298246257,2380757512266.586,0.2532797342343816,0.1841743296225258,23807575122.66586,0.2983663243624679,0.669519589110431,28,3.392857142857143,0.0,95.0,3.392857142857143,0.4933435075024159,0.779078481816199,0.0578980490874764,217.674985698,162.778903378,54.889727204,0.6785714285714286,0.5,C2,C2,C2
plain,no_discretization,bodyfat,0,0.1936536332238885,0.1669859854186137,40959053453138.35,0.3966280250361261,0.3420091867252714,409590534531.38354,0.3314250116254918,0.483554398086315,0.1060650298138694,0.0835729674183577,4510908970610.264,0.2622801082396219,0.2066612056665541,45109089706.10264,0.36,0.6332952131178841,10,1.6,0.0,16.0,1.6,0.5615336839087574,0.7817852022529441,0.1162995594713656,24.879119109,18.52940208,6.34412063,0.5,0.4,C2,C2,C2
plain,no_discretization,bodyfat,0,0.2868251709633363,0.2471227931237444,43673960883442.086,0.4775636226565856,0.4114592032798787,436739608834.4208,0.5299145299145298,-0.2909147090585431,0.0948395039092927,0.0705559120652621,5024437977741.365,0.2406608442570492,0.179039795286069,50244379777.41365,0.4207414219864271,0.7196698266958556,31,3.4516129032258065,0.0,107.0,3.4516129032258065,0.485863872051795,0.7741433576700156,0.0782186697116757,136.364029318,109.785835569,26.571717015000004,0.7096774193548387,0.4516129032258064,C2,C2,C2
plain,no_discretization,bodyfat,0,0.1505903874549858,0.1186335761013966,19453403327992.53,0.351224531716659,0.2766911149925867,194534033279.92532,0.315342277261782,0.5873186562400379,0.0695182205105297,0.0440959448472093,2008745892475.3345,0.1703397824462643,0.1080478412260049,20087458924.753345,0.3541973572927315,0.8468943966555134,46,2.608695652173913,0.0,120.0,2.608695652173913,0.5412010755264103,0.7813964814823169,0.0514269297069526,213.361832769,171.296994992,42.057623448000015,0.6956521739130435,0.6086956521739131,C2,C2,C2
plain,no_discretization,bodyfat,0,0.2208798009992056,0.1869665648185643,15170019797458.955,0.43393652105544,0.3673111815749327,151700197974.58957,0.4435466149339451,0.4176603536157688,0.1026217047191302,0.0738574840238972,8019393725529.092,0.2552758111784297,0.1837236011368226,80193937255.29092,0.4042105263157894,0.6603979159754731,21,3.380952380952381,0.0,71.0,3.380952380952381,0.4973272900791267,0.7736738570071905,0.0646108663729809,82.038465138,68.69129324699999,13.339335358,0.7142857142857143,0.5714285714285714,C2,C2,C2
