model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,bolts,0.5,0.5739089161867149,0.4599152526751587,92867182367353.14,0.8244370271634116,0.66068177888224,928671823673.5314,0.9072177517678616,-0.9760051166614117,0.0989827890830379,0.0645076049389386,10318575818595.717,0.3286906746378928,0.2142094437131579,103185758185.95715,0.3171462854693434,0.9080622273894386,4,1.0,0.0,6.0,1.5,0.6963686204146731,0.8003947368421053,0.4027777777777778,0.0935266017913818,0.04750644,0.003067996,0.75,0.75,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.0,0.1516581296019407,0.1148523268612778,129858731025741.02,0.5388275439523117,0.4080598736269692,1298587310257.4102,0.2729821994635455,0.867351245439803,0.2474698198172569,0.1245969880057498,11166338740446.023,0.7443227494584053,0.3747542740975826,111663387404.46024,0.9022818781994764,0.4204831835570629,6,1.5,0.5,12.0,2.0,0.628877103288868,0.8285917785917786,0.3796296296296296,0.1816873550415039,0.10668247,0.017009691,0.8333333333333334,0.3333333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.125,0.5520925611528456,0.4456985788753207,51421544291162.11,1.1671460152391242,0.9422248313685504,514215442911.6211,0.9389173372348208,-1.369922051774815,0.1751476033825349,0.090827452437518,5518153676289.001,0.506143096254224,0.262473976884532,55181536762.89001,0.6235064618385759,0.7359788574761172,8,2.25,0.375,22.0,2.75,0.6124960818446077,0.7941919191919191,0.2222222222222222,0.2345235347747802,0.141158602,0.01375602,1.0,0.625,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.0,0.4318882606992925,0.3184385421918108,66343230454758.68,1.136171625023925,0.8377186158440821,663432304547.5868,0.8011293886570097,-0.3082974372430584,0.1807219352754258,0.0935141709039125,7371470050533.575,0.528851464891085,0.2736530360591718,73714700505.33575,0.627792781733366,0.7185198287191457,8,2.125,0.375,20.0,2.5,0.6059864863085279,0.7621657754010694,0.2256944444444444,0.1770057678222656,0.105219828,0.0094576089999999,0.875,0.875,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.5,0.2121298524484828,0.2016056229726812,152645781078890.7,0.7707384638961541,0.7325004301340752,1526457810788.907,0.3022176465589885,0.7450987695160916,0.1054122493121295,0.0719483107394239,12115602718024.596,0.3219679501705884,0.2197567197187519,121156027180.24596,0.2735642220897825,0.8997229893511186,6,2.3333333333333335,0.0,17.0,2.8333333333333335,0.616578011982662,0.808169934640523,0.2546296296296296,0.1740133762359619,0.1007464999999999,0.022826376,1.0,1.0,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.5,0.1171940474342996,0.1004000736145029,122312246147250.16,0.2581835991227602,0.2211857421556705,1223122461472.5017,0.1862496834641679,0.9323562956637176,0.1902163877481493,0.1073890285783805,13590249571917.564,0.5915004658572298,0.3339389480793325,135902495719.17564,0.7004304887313244,0.6525661331151676,4,1.25,0.0,7.0,1.75,0.5685003941849678,0.7601495726495726,0.3194444444444444,0.4594433307647705,0.160638294,0.233381529,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,1.75,0.1041729838073148,0.0732435557263835,34592389237300.96,0.2174746022703088,0.152905413364381,345923892373.0096,0.2010485247500611,0.9432030653037584,0.2168872226257918,0.1255237350316148,16960642342099.707,0.7068356548328164,0.4090819660742035,169606423420.9971,0.6836137527432331,0.5290701365877818,4,0.0,0.0,7.0,1.75,0.5113056835637481,0.8041666666666666,0.2777777777777777,0.0966293811798095,0.0510593319999999,0.023513778,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.0,0.4671395847308719,0.3104870448233769,104463524641214.3,0.8763445381408802,0.5824674996258932,1044635246412.143,0.9072177517678616,0.000828571460185,0.1866743330350825,0.1092924489961797,11607058293469.406,0.5994073715316388,0.3509357634546581,116070582934.69406,0.6533772250670566,0.6732357950829242,2,2.0,0.0,4.0,2.0,0.6820082091821222,0.8490909090909091,0.5,0.1841306686401367,0.067396017,0.046950414,0.5,0.5,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.8181818181818182,0.2449699596725577,0.2040506199851215,146743111486804.6,0.628354717623878,0.52339548029934,1467431114868.046,0.4164227130649821,0.6446856331202391,0.1707106892943422,0.0957896619278063,6979457653642.716,0.49905534141876,0.2800313362647371,69794576536.42715,0.5977810290173129,0.7499592397683481,11,1.8181818181818181,0.18181818181818182,31.0,2.8181818181818183,0.6338050531513044,0.7943473193473193,0.1868686868686868,0.7072415351867676,0.349249477,0.293846272,0.8181818181818182,0.7272727272727273,C2,C2,C2
at_least_M-of-N,no_discretization,bolts,0.0,0.2220451136407055,0.2086772710030469,117778849069858.05,0.5582280014754705,0.5246208485987194,1177788490698.5806,0.3189633364296688,0.6400462166747076,0.1799458799094574,0.0975940720767224,11694104960127.111,0.5596538814673141,0.3035296016414539,116941049601.27112,0.6435015849792733,0.7135962556326647,5,2.2,0.0,11.0,2.2,0.48699144766967,0.7416755793226381,0.2833333333333333,0.2935853004455566,0.134412714,0.076879714,0.8,0.8,C2,C2,C2
