model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,bolts,0,0.5764250669009494,0.4731887680090325,152645781078883.4,0.8280515516223133,0.6797495738114037,1526457810788.834,0.9072177517678616,-0.993369634231801,0.0980393547721949,0.0613800662876111,11607058293469.287,0.3255578263621447,0.2038238726579867,116070582934.69289,0.3262881841349073,0.9098064475861724,9,0.1111111111111111,1.7777777777777777,17.0,1.8888888888888888,0.6605137596661792,0.803370140326662,0.2098765432098765,0.799285743,0.7572601529999999,0.030478714,0.8888888888888888,0.6666666666666666,C2,C2,C2
complex,no_discretization,bolts,0,0.4099707193198041,0.2719117084298251,882243196937033.4,1.4565886864308637,0.9660775746719008,8822431969370.334,0.7835893684467202,0.0306570288979886,0.0988195213860384,0.061101374325777,5018663509786.744,0.2972225781411858,0.1837765225975169,50186635097.86744,0.3039675026180848,0.9075925361862198,10,0.3,2.1,24.0,2.4,0.6051966210434057,0.7671906035141329,0.1944444444444444,0.982023738,0.94089106,0.033996741,0.6,0.6,C2,C2,C2
complex,no_discretization,bolts,0,0.3065819021771113,0.2674189870371501,70535823177098.5,0.64812654733702,0.5653345599657227,705358231770.985,0.4774846474231545,0.2691919881593604,0.1901320847881895,0.1063940913328001,4705258203127.488,0.5494453833991828,0.3074585879015685,47052582031.27488,0.6098512557912704,0.688870544849889,10,0.2,3.1,33.0,3.3,0.6217153446728082,0.7896732026143791,0.2027777777777777,1.015312104,0.961799576,0.040886999,0.9,0.9,C2,C2,C2
complex,no_discretization,bolts,0,0.3925406107120596,0.2927507087168032,81743735238856.86,1.0326594727035965,0.7701414433240716,817437352388.5686,0.7256595857693214,-0.080769000217342,0.1625762953165563,0.0984814378194786,9658387872978.443,0.4757513901325383,0.2881888829711618,96583878729.78444,0.5448072673704885,0.7722069260533706,9,0.2222222222222222,2.888888888888889,28.0,3.111111111111111,0.6499261977632946,0.7918663761801017,0.2469135802469136,0.721344746,0.6713453739999999,0.03878122,0.8888888888888888,0.8888888888888888,C2,C2,C2
complex,no_discretization,bolts,0,0.1821696784929057,0.1664127165324294,152645781078886.4,0.6618831651908909,0.6046328700678267,1526457810788.864,0.2461911286797383,0.8120161517454927,0.1127465852532124,0.0748866682808711,9752035135293.326,0.3443697215417758,0.228731549121042,97520351352.93326,0.3058396506399444,0.8852834672081452,8,0.5,2.375,23.0,2.875,0.5718090635797424,0.779936974789916,0.2256944444444444,0.552566663,0.5147207,0.0263129709999999,0.875,0.875,C2,C2,C2
complex,no_discretization,bolts,0,0.1069200181441378,0.086649229671619,91474944303466.12,0.2355494643889657,0.1908920330648613,914749443034.6613,0.1862496834641679,0.943696638637379,0.1310612344446927,0.0789364631106551,10163882700387.262,0.4075504857788659,0.2454623140299267,101638827003.87262,0.4760844895914118,0.8350604527045034,10,0.3,2.1,24.0,2.4,0.6435578412746175,0.7981313131313131,0.2111111111111111,0.805675637,0.7588864059999999,0.037242838,0.7,0.6,C2,C2,C2
complex,no_discretization,bolts,0,0.3511559588367829,0.2433461939091976,113386164722264.02,0.7330835663124767,0.5080167122051862,1133861647222.64,0.6647406882467692,0.3546210813225706,0.1298584666864346,0.0760445879935391,12598462746919.33,0.4232088604604416,0.2478293810956522,125984627469.1933,0.5313461200472696,0.8311780789041368,4,0.0,2.5,10.0,2.5,0.573959156249256,0.780982905982906,0.3055555555555556,0.240638832,0.219941459,0.009380285,0.75,0.75,C2,C2,C2
complex,no_discretization,bolts,0,0.2676895774975504,0.2384408946320929,66142804467270.17,0.5021803050417339,0.4473103597089582,661428044672.7017,0.3914631566465625,0.6718974613798786,0.1550555455053359,0.1035635289331407,7006093453519.222,0.497880107359435,0.3325403211843181,70060934535.19221,0.4890270665691293,0.7745553851264524,13,0.3076923076923077,2.076923076923077,31.0,2.3846153846153846,0.6363335819399878,0.7931471306471305,0.2350427350427351,1.386137379,1.311492606,0.062457179,0.7692307692307693,0.6923076923076923,C2,C2,C2
complex,no_discretization,bolts,0,0.2426408953896464,0.2280522403568009,118839375580279.08,0.6223806033619792,0.5849602999667026,1188393755802.7908,0.3384188281978524,0.6514098536365672,0.1776753827727865,0.0966849066644703,4422496763811.907,0.5194159145974497,0.282648493219325,44224967638.11907,0.6068032187271397,0.7291406086240813,8,0.5,2.125,21.0,2.625,0.6025180774785655,0.7375,0.2395833333333333,0.706078711,0.670092649,0.0290272369999999,0.75,0.75,C2,C2,C2
complex,no_discretization,bolts,0,0.2072728003439093,0.1923121313771071,77558333012202.67,0.5210899677055244,0.4834784021946178,775583330122.0267,0.2818188267879234,0.6863473713706817,0.0957548650328706,0.0595334557513534,8617592556912.746,0.2978094408829437,0.1851563903834423,86175925569.12746,0.2705908001092179,0.9189007993345876,9,0.4444444444444444,2.5555555555555554,27.0,3.0,0.5787833904967719,0.7719135802469137,0.1728395061728395,0.654786823,0.61692543,0.026860928,0.7777777777777778,0.7777777777777778,C2,C2,C2
