model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,bolts,1.0,0.3824512096393092,0.3155550428860918,234896727288461.0,0.5494024041395118,0.4533040943012528,2348967272884.61,0.5752034349158472,0.122485707708683,0.21405089442622,0.1283473610158246,12598462746920.992,0.7107956195978232,0.4262011716490803,125984627469.20992,0.6098512557912703,0.5700591628858793,11,1.2727272727272727,0.36363636363636365,29.0,2.6363636363636362,0.5806345525732225,0.7511363636363636,0.2323232323232323,0.1711087226867675,0.117704966,0.0115694309999999,0.6363636363636364,0.6363636363636364,C2,C2,C2
exact_M-of-N,no_discretization,bolts,0.4444444444444444,0.127544864593355,0.098863532822111,107103501293849.3,0.453155306035689,0.3512531422931719,1071035012938.4928,0.2316464930270486,0.9061795007132732,0.2092716931548097,0.1172170780456647,8175273646911.387,0.6294330441903109,0.3525574871265395,81752736469.11386,0.6280175566934895,0.5855782552862043,9,1.6666666666666667,0.2222222222222222,21.0,2.3333333333333335,0.5412713536463536,0.7317615935262993,0.1975308641975308,0.2136528491973877,0.137308773,0.0192188729999999,0.4444444444444444,0.4444444444444444,C2,C2,C2
exact_M-of-N,no_discretization,bolts,1.1111111111111112,0.4775187608098941,0.3865919237174322,113386164722264.3,1.0094939836128232,0.8172709705565336,1133861647222.643,0.8307729821994636,-0.7729282031778171,0.1771648365373999,0.090670000692723,10454861173281.49,0.5119725145000454,0.2620189714372287,104548611732.8149,0.8701536210680321,0.7298621968694687,9,1.8888888888888888,0.3333333333333333,30.0,3.3333333333333335,0.5825892414192652,0.7957190957190957,0.1944444444444444,0.2455778121948242,0.1485062639999999,0.015884521,0.8888888888888888,0.4444444444444444,C2,C2,C2
exact_M-of-N,no_discretization,bolts,0.25,0.4782908147533332,0.3368531273679804,97441619730426.5,1.2582431653790074,0.8861620005516778,974416197304.265,0.9134544561748096,-0.6045297464832979,0.213542572615715,0.1181186403688245,10826846636721.51,0.6248953795914115,0.3456537574965324,108268466367.2151,0.7269825681315982,0.606997773876687,4,2.0,0.25,10.0,2.5,0.6147219422043011,0.7708333333333334,0.3194444444444444,0.1232857704162597,0.054892403,0.004483846,0.75,0.75,C2,C2,C2
exact_M-of-N,no_discretization,bolts,0.8888888888888888,0.1793949130617584,0.1711598118775182,175158288360305.75,0.6518015174577221,0.6218806498216496,1751582883603.0576,0.234682572883817,0.817699189227258,0.1134854993159407,0.0654049480336392,899890196208.771,0.3466266380546224,0.199770872804832,8998901962.08771,0.4159960985125578,0.8837748906776751,9,1.5555555555555556,0.0,22.0,2.4444444444444446,0.5358823824470293,0.7601851851851852,0.1574074074074073,0.1895442008972168,0.126231295,0.014702235,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,bolts,2.111111111111111,0.1144491788959523,0.0911255737411172,122312246147249.66,0.2521365339870787,0.2007536143318005,1223122461472.4966,0.1940997720942009,0.9354878318199144,0.2655040406916061,0.1513108706181729,13590249571917.846,0.8256163709931973,0.4705191362292764,135902495719.17844,0.7110660926816916,0.3231092804231797,9,0.5555555555555556,0.0,24.0,2.6666666666666665,0.4160825146925329,0.707716049382716,0.1481481481481481,0.6393914222717285,0.324087233,0.253204249,0.4444444444444444,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,bolts,1.7777777777777777,0.1094772777638448,0.0818712102786206,34592389237301.05,0.2285480032266914,0.1709167602001778,345923892373.0105,0.2029352851471334,0.9372718224969196,0.2437289181758935,0.1373769624590147,21170298175211.125,0.7943127649238698,0.4477116449879496,211702981752.11124,0.7225067056815412,0.405293865409074,9,0.6666666666666666,0.0,22.0,2.4444444444444446,0.4746519437721467,0.7253086419753086,0.1666666666666666,0.1292371749877929,0.07797629,0.028174605,0.4444444444444444,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,bolts,1.6666666666666667,0.4686637483060636,0.3139618070764859,104463524641214.3,0.87920383858985,0.5889860842660805,1044635246412.143,0.9072177517678616,-0.0057021751307071,0.184644176121734,0.1079411525644151,11607058293469.4,0.5928885802257212,0.3465967789292821,116070582934.694,0.6533772250670566,0.6803045262288532,3,1.0,0.0,8.0,2.6666666666666665,0.5483347268673356,0.7655555555555554,0.3333333333333333,0.3053655624389648,0.1749056279999999,0.059117848,0.6666666666666666,0.6666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,bolts,1.625,0.1265853183467945,0.1080410377036111,134663229530921.88,0.3246948404263429,0.2771282480055385,1346632295309.2188,0.2025115825408439,0.9051245643485644,0.2579307686971909,0.1435143695113523,10097073048987.242,0.7540343745706262,0.4195496659936441,100970730489.87242,0.7906608144355034,0.4291845970003629,8,0.625,0.25,20.0,2.5,0.5642386303049112,0.7772727272727272,0.2222222222222222,0.3485140800476074,0.1926795479999999,0.097429029,0.5,0.375,C2,C2,C2
exact_M-of-N,no_discretization,bolts,1.2,0.1654761271540591,0.1549683418575914,117778849069857.8,0.4160118916310946,0.3895950077384278,1177788490698.578,0.2151277758247437,0.8000897797274062,0.1440473588072293,0.0717967779083132,899890196210.4681,0.448005053031191,0.2232968348786429,8998901962.104681,0.6235064618385759,0.8164706713071843,10,1.2,0.1,25.0,2.5,0.5376243286367793,0.7235930735930737,0.1499999999999999,0.4179179668426513,0.254792984,0.0804017049999999,0.6,0.5,C2,C2,C2
