model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,bolts,0,0.5981017105972118,0.538531406467263,157280239121312.47,0.8591906874394905,0.7736161945906335,1572802391213.1248,0.8369373169897074,-1.1461111452081871,0.193994370895482,0.0944680977733609,7709313305333.501,0.6441942203921636,0.3136988063938621,77093133053.335,0.710192635942453,0.6468551636495594,10,2.7,0.0,27.0,2.7,0.5828425794558744,0.8016865693645879,0.2083333333333333,0.085875391,0.0767995539999999,0.0066908249999999,0.8,0.6,C2,C2,C2
plain,no_discretization,bolts,0,0.4185922664930733,0.2455815573229405,102118510248709.08,1.487220259566012,0.8725289420331247,1021185102487.0908,0.8307729821994636,-0.0105415772252344,0.1248454780800546,0.0747300971658154,9426800869481.371,0.3755016654985068,0.2247680603268243,94268008694.8137,0.5145086564252621,0.852508432175341,9,2.0,0.0,18.0,2.0,0.6160462613391244,0.7986154526222727,0.2685185185185185,0.075261855,0.068927305,0.003856205,1.0,1.0,C2,C2,C2
plain,no_discretization,bolts,0,0.5143392718294252,0.4247116893521911,72878097836146.28,1.0873340338858724,0.8978576976617749,728780978361.4628,0.8617870804921663,-1.05688325359535,0.148311349177304,0.0724371507759656,6886966098484.277,0.4285914510533771,0.2093295201847865,68869660984.84277,0.5769324554986588,0.8106875921442905,9,2.2222222222222223,0.0,20.0,2.2222222222222223,0.6545864958027285,0.7967268388837015,0.2376543209876543,0.079334013,0.071602276,0.0051857369999999,0.8888888888888888,0.6666666666666666,C2,C2,C2
plain,no_discretization,bolts,0,0.4747981936256141,0.3339905758123063,103887512790157.95,1.2490551012814828,0.8786314651130459,1038875127901.5796,0.9077293530634616,-0.5811818032071896,0.1710852108078859,0.0982297879491526,11543056976691.64,0.500651258625901,0.2874524731802931,115430569766.91638,0.6308617726491528,0.7477384801902865,6,1.8333333333333333,0.0,11.0,1.8333333333333333,0.6045674158188417,0.7554302422723476,0.3055555555555556,0.046299568,0.042599924,0.001490161,1.0,1.0,C2,C2,C2
plain,no_discretization,bolts,0,0.2663928612944002,0.1971783434732114,566955669111026.5,0.9678940627029874,0.7164146479526682,5669556691110.265,0.503557790231055,0.5980116034120251,0.1033888284800449,0.0519387793230881,7687197608289.778,0.3157876754692138,0.1586402189701971,76871976082.89778,0.5081687393318701,0.903535737955385,10,2.5,0.0,25.0,2.5,0.601273622362283,0.7657843137254903,0.1611111111111111,0.094131857,0.084683146,0.006878999,0.8,0.7,C2,C2,C2
plain,no_discretization,bolts,0,0.0997251811961316,0.0873621168542062,103345551379409.84,0.2196989247156171,0.1924625546280153,1033455513794.0984,0.163738737663335,0.9510191921228968,0.2589971145813804,0.1405204789218984,9173467078638.955,0.8053823108732404,0.4369651307585228,91734670786.38956,0.7894403646492784,0.3558809535221993,8,2.25,0.0,18.0,2.25,0.5641369645358454,0.8157762096774194,0.2951388888888888,0.081170421,0.0724524829999999,0.006479842,0.75,0.75,C2,C2,C2
plain,no_discretization,bolts,0,0.1040953763069439,0.0722011788186339,85656815766823.61,0.2173125865570258,0.1507293164998821,856568157668.2361,0.1932268372332775,0.9432876597171588,0.2532671943067215,0.1433049853850171,9517423974092.531,0.8253980154669246,0.4670310770689916,95174239740.92532,0.7644476956839793,0.3578356744529212,6,2.0,0.0,12.0,2.0,0.5550181337311966,0.8135789082658152,0.3333333333333333,0.059513226,0.0542477289999999,0.003075187,0.6666666666666666,0.6666666666666666,C2,C2,C2
plain,no_discretization,bolts,0,0.1547768285781524,0.1351022976822488,55327164115670.58,0.2903582414951511,0.2534492141836627,553271641156.7058,0.2164106315532796,0.8903121425675492,0.1625217218459972,0.0930336306915872,4790399531568.458,0.5218538431322391,0.2987290385894097,47903995315.68458,0.5455986344793953,0.7523216253004361,10,2.2,0.0,22.0,2.2,0.5880712672982955,0.7500396825396826,0.186111111111111,0.115137477,0.101383168,0.011248241,0.8,0.5,C2,C2,C2
plain,no_discretization,bolts,0,0.5116723813489291,0.3750778601070461,89617777422932.86,1.3124538009811344,0.9620850784706776,896177774229.3286,0.915242402074882,-0.5501404819658096,0.1708668341533321,0.0925814564970628,7476306593674.598,0.4995118150364118,0.2706524739146435,74763065936.74597,0.6308217507924895,0.7495016183381736,11,2.272727272727273,0.0,25.0,2.272727272727273,0.6276388021881751,0.7899891774891774,0.2651515151515151,0.089123352,0.0797656799999999,0.007090161,1.0,1.0,C2,C2,C2
plain,no_discretization,bolts,0,0.1620282674088723,0.146512232864214,78643086595219.66,0.4073438699693447,0.3683360989237531,786430865952.1965,0.2158490796516999,0.8083336476365114,0.0769353653561558,0.0531564531647844,5867471353025.879,0.2392784756469191,0.1653231257846854,58674713530.25879,0.2690926291588517,0.9476463557187458,11,2.3636363636363638,0.0,26.0,2.3636363636363638,0.5927639451334822,0.7759018759018759,0.2121212121212121,0.096611085,0.0849352259999999,0.009273727,1.0,1.0,C2,C2,C2
