model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,breasttumor,0,0.270530618040189,0.220941044318045,155296538874845.06,0.5114333717839297,0.4176851554904372,1552965388748.4507,0.5,0.0050867106181419,0.1894309147633383,0.1401227040878548,52571201875920.54,0.3873010747349081,0.2864879471008648,525712018759.2054,0.5,0.0829783408511928,22,0.4090909090909091,1.7727272727272727,48.0,2.1818181818181817,0.4866496069376103,0.9467425882198608,0.0320127343473647,2.80408481,2.743776373,0.051203898,0.7272727272727273,0.5909090909090909,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2441558292679436,0.193103448275862,77648269437423.11,0.6293794710018102,0.4977777777777777,776482694374.2311,0.5999999999999999,-0.4594447072522833,0.2069590563766633,0.1568928969461159,70094935834560.63,0.4213282437325924,0.3194033152340921,700949358345.6062,0.5,0.0397679564270507,8,0.0,1.625,13.0,1.625,0.4628978506236437,0.901830808080808,0.0291828793774319,0.577074492,0.553100839,0.01489251,0.625,0.375,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2337581167421938,0.1857142857142857,160842843834661.03,0.5792236521045512,0.4601769911504424,1608428438346.6104,0.5,-0.2050632911392402,0.2042975174121062,0.1565512352797005,69823250036752.25,0.4169996795278749,0.3195428694791354,698232500367.5225,0.5,0.0547017771536336,12,0.3333333333333333,1.5,22.0,1.8333333333333333,0.4778801028567825,0.9266203703703704,0.0239018087855297,1.184244422,1.151646012,0.023010852,0.9166666666666666,0.5,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2800545214601148,0.2248886266488779,80421421917330.61,0.4290849029211062,0.3445626017055312,804214219173.3062,0.5,-0.3166396302580794,0.2036513571111694,0.1513832741719889,61095343782158.25,0.4156150145125906,0.3089454574938549,610953437821.5825,0.5,0.0392842558376849,22,0.4090909090909091,1.6818181818181819,46.0,2.090909090909091,0.4491526148186494,0.9059348727286012,0.0355884425651867,2.643079156,2.586917385999999,0.0465501609999999,0.5909090909090909,0.4545454545454545,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2588025848367506,0.2250294125870533,80421421917330.75,0.4830981583619345,0.4200549034958329,804214219173.3075,0.5,0.0377486691077656,0.202388218411895,0.1520071502387066,61095343782158.25,0.4094100701761714,0.3074944704530837,610953437821.5825,0.5,0.0076066100688444,18,0.2777777777777778,1.7777777777777777,37.0,2.0555555555555554,0.4876257331955876,0.9532882947490118,0.0376830318690783,1.869940478,1.807058014,0.053659357,0.9444444444444444,0.8333333333333334,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2037259138193186,0.1468258007197913,139766884987360.52,0.4428824213463449,0.3191865233038943,1397668849873.6052,0.5,0.0223983179954703,0.1999674354004681,0.1495942469551721,52571201875920.55,0.4024403359273321,0.3010628149371905,525712018759.20544,0.5,0.0627519663551384,18,0.16666666666666666,1.9444444444444444,38.0,2.111111111111111,0.479542100272557,0.9340556593007574,0.0319930825767401,2.013118089,1.9610410490000003,0.047375616,0.7222222222222222,0.6111111111111112,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2729712126833354,0.2066293175567601,155296538874844.94,0.4609120912848167,0.3488937530798279,1552965388748.4497,0.5,-0.0527401098532973,0.202061749004945,0.1522142868099501,52571201875920.56,0.4079329889573517,0.3072982852329707,525712018759.2056,0.5,0.0378298075582062,11,0.36363636363636365,1.4545454545454546,20.0,1.8181818181818181,0.470207218293687,0.9252525252525252,0.0208701804032543,0.981968205,0.953479406,0.0188332389999999,0.6363636363636364,0.4545454545454545,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2932778051579222,0.238639474196414,232944808312267.9,0.7460575745245389,0.6070653290961411,2329448083122.679,0.5,-0.2123941842329173,0.1998489187257242,0.1476358250425752,70094935834560.59,0.4072405020021497,0.3008436967645246,700949358345.606,0.6,0.0583015762558107,25,0.16,2.0,54.0,2.16,0.4738418690995561,0.9358988625753332,0.0329961089494163,2.439764603,2.371589664,0.056742928,0.72,0.48,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2958383253432269,0.229641946900306,108707577212392.8,0.6961283401168474,0.5403636162807638,1087075772123.928,0.7,-0.3627160614986977,0.199303107350488,0.1471652181563368,70094935834560.59,0.4024269216614977,0.2971516425689705,700949358345.606,0.5,0.0885451645729676,25,0.2,1.92,53.0,2.12,0.4736666576726684,0.9205200746965452,0.0275486381322957,2.498305895,2.4337548260000004,0.054766928,0.64,0.4,C2,C2,C2
complex,no_discretization,breasttumor,0,0.2764193283569108,0.2292410714285714,160842843834661.5,0.6270170081209927,0.52,1608428438346.615,0.54375,-0.1477888591583553,0.1963745493289687,0.1465122856155759,53404437485083.42,0.3937869868403071,0.2937989249869312,534044374850.8342,0.5,0.1262745356155198,19,0.42105263157894735,1.5263157894736843,37.0,1.9473684210526316,0.4663662173340482,0.9268244139761168,0.0558955528355773,1.874641685,1.819406174,0.048490787,0.7894736842105263,0.5789473684210527,C2,C2,C2
