model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,breasttumor,0.0,0.2642485814587719,0.2041454047787641,171372238751420.53,0.4995572921971568,0.3859332945622007,1713722387514.205,0.6035161504116399,0.0507563256116491,0.1891000421110663,0.1414218042659367,48545366241027.67,0.3866245888826098,0.2891440230417322,485453662410.27673,0.5,0.08617900537232,20,1.2,1.15,47.0,2.35,0.1991108630689703,0.6922628923364218,0.0883268482490272,0.4094679355621338,0.150831419,0.224227182,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.2310955915066168,0.1724137931034483,77648269437423.06,0.5957130803281678,0.4444444444444445,776482694374.2306,0.5,-0.3074851715730871,0.2113841727341247,0.1645914396887159,70094935834560.63,0.4303369169254598,0.3350760456273764,700949358345.6062,0.5,-0.0017336361528239,3,0.0,1.0,3.0,1.0,0.0355617174905079,0.7361149379474871,0.5226977950713358,0.0110950469970703,0.002588332,0.000452406,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.2337581167421938,0.1857142857142857,160842843834661.03,0.5792236521045512,0.4601769911504424,1608428438346.6104,0.5,-0.2050632911392402,0.210366973562609,0.1655813953488372,69823250036752.25,0.4293882846451989,0.3379746835443038,698232500367.5225,0.5,-0.0023001171018197,4,0.75,0.5,5.0,1.25,0.1019196895266129,0.7792988705300128,0.3265503875968992,0.0593593120574951,0.033039305,0.008780901,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.8333333333333334,0.2736067086281576,0.2267156331721804,80421421917330.61,0.4192059010445098,0.347361845626323,804214219173.3062,0.6,-0.2567104577485493,0.1965995457273454,0.1478182593288198,54811329345718.44,0.4012235627088681,0.3016699169975915,548113293457.1844,0.6,0.104665517778086,30,1.1,0.5666666666666667,75.0,2.5,0.3373289391750213,0.8181703564939515,0.1002583979328165,0.2378532886505127,0.1464786279999999,0.038032013,0.5,0.2666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.2642367383635181,0.2275229400699981,80421421917330.73,0.4932419116119004,0.4247094881306632,804214219173.3074,0.5251410539188379,-0.0030849192649538,0.2016832545671035,0.1500506856341905,60899948589272.09,0.4079840024957873,0.3035367484210533,608999485892.721,0.5599999999999999,0.0145080298283311,21,1.4761904761904763,1.5714285714285714,64.0,3.0476190476190474,0.2122019068774913,0.7478992298593423,0.1170173495754891,0.2015509605407714,0.098832791,0.0817419489999999,0.0952380952380952,0.0952380952380952,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.2272473967075196,0.1710344827586206,145978746542354.38,0.4940160797989559,0.3718140929535232,1459787465423.5437,0.6,-0.2163742690058478,0.2034134249973598,0.1551609724475864,52571201875920.56,0.4093754911849763,0.31226601346147,525712018759.2056,0.6,0.0301709044991602,14,0.5,1.6428571428571428,30.0,2.142857142857143,0.108989644277855,0.6866672390392344,0.0808782657031684,0.2798445224761963,0.114847,0.133816754,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.279941487877863,0.2194021005862073,155296538874844.97,0.472681406023757,0.3704606065211069,1552965388748.4497,0.5,-0.1071896181980811,0.2055634788602968,0.1590277445613433,52571201875920.58,0.4150024671413691,0.3210536555558934,525712018759.2058,0.5,0.0041920236423186,6,0.5,1.0,9.0,1.5,0.1209426379567507,0.7335390602143179,0.2872892347600518,0.0656383037567138,0.038022255,0.010228288,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.2963560442413195,0.2314712180408931,213393311193493.2,0.7538881827191461,0.5888302915075353,2133933111934.932,0.6,-0.2379782878210508,0.1993801362538588,0.1499961277064971,58682785186015.03,0.4062852443485705,0.3056533842417521,586827851860.1503,0.6314378311807554,0.0627142492336457,21,0.7619047619047619,1.5714285714285714,49.0,2.3333333333333335,0.2197815716301391,0.7489347918166219,0.0813414860107467,0.5997829437255859,0.206845665,0.3563048399999999,0.0952380952380952,0.0476190476190476,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.275309255988445,0.2142266114600899,93177923324908.1,0.6478219992885997,0.5040902502120098,931779233249.0808,0.6108108108108108,-0.1801524964921725,0.2022459442958236,0.1491440780514128,66736539362839.65,0.4083690107167401,0.3011472977625164,667365393628.3965,0.7,0.0614300266544362,20,0.5,1.65,43.0,2.15,0.1638461093853648,0.6726412147653651,0.103112840466926,0.7538573741912842,0.256046413,0.4519092749999999,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,breasttumor,0.0,0.2856030339043096,0.2346023611435142,160842843834661.53,0.6478489072867376,0.5321613052774399,1608428438346.6152,0.5822453783607411,-0.2253236709409189,0.2021217321034445,0.150660454268255,63199402429892.68,0.4053117276751801,0.3021171863921171,631994024298.9268,0.8,0.074384511488506,19,1.7894736842105263,1.263157894736842,58.0,3.0526315789473686,0.2431604973688726,0.7316479580906987,0.1254589963280294,0.285280704498291,0.115909032,0.1418471949999999,0.0,0.0,C2,C2,C2
