model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,breasttumor,0,0.3182204523771286,0.2762744129799683,155296538874845.2,0.601590164207088,0.5222919150208005,1552965388748.452,0.6,-0.3766025196499265,0.1613335216026128,0.1100639270403789,41996570342296.41,0.3298545350188663,0.2250312589449276,419965703422.96405,0.6,0.3348384940597126,71,3.76056338028169,0.0,267.0,3.76056338028169,0.3741547911196192,0.8279679352902574,0.0242231599715021,1.087432535,0.948149353,0.134365573,0.323943661971831,0.2816901408450704,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2194101736799968,0.1679713872745385,91484439317873.2,0.5655906699306584,0.4329929094188104,914844393178.732,0.5890951593686252,-0.1786014555020509,0.1804009031749948,0.1229947616704675,56035975459035.65,0.3672610275346458,0.250393328178946,560359754590.3564,0.6000000000000001,0.270400145942727,64,3.84375,0.0,246.0,3.84375,0.3535909308690036,0.8002099823669365,0.029669260700389,1.364712304,1.2235195490000002,0.13623967,0.296875,0.234375,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2500721096016602,0.1942362375326417,128674275067728.95,0.6196477052076536,0.4812933319392892,1286742750677.2898,0.501568611150628,-0.3791356129533001,0.1647087202943476,0.1204925521227885,32929301417494.203,0.336193432246374,0.2459420763265778,329293014174.942,0.6000000000000001,0.3855651378943228,57,3.5789473684210527,0.0,204.0,3.5789473684210527,0.3588988188031407,0.801691116474398,0.0327077383380933,1.07300683,0.951909755,0.1162621939999999,0.2631578947368421,0.2456140350877192,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2817988672275324,0.2342554146457646,84096400083352.39,0.4317574983513493,0.3589139047924164,840964000833.5239,0.6,-0.3330923358311597,0.1800102926793752,0.1265608628422825,40979624920993.84,0.3673679442436229,0.2582874751883317,409796249209.9384,0.6000000000000001,0.2493889267725493,48,3.5208333333333335,0.0,169.0,3.5208333333333335,0.3820345871762558,0.8310063200688198,0.0377099483204134,0.700014084,0.628169363,0.067716971,0.4166666666666667,0.25,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2382248155196885,0.1992089448035193,64337137533864.63,0.4446863223034186,0.3718566969665694,643371375338.6462,0.4888888888888888,0.184685248996181,0.1814457361799932,0.1252647218174407,47384476237742.73,0.3670456322286205,0.2533973516457559,473844762377.4273,0.6,0.2023599678893203,54,3.8333333333333335,0.0,207.0,3.8333333333333335,0.3244789568856654,0.7826251206332506,0.0338070628768303,1.02215633,0.8776574309999998,0.139989945,0.1666666666666666,0.1296296296296296,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2215719340408295,0.1688214440128457,139766884987360.52,0.4816781174800643,0.3670031391583603,1397668849873.6052,0.6,-0.1563755171241212,0.1846528707933341,0.130666432782614,42653977468975.39,0.3716193249325519,0.2629700330863885,426539774689.7539,0.64,0.2008135491428664,50,3.58,0.0,179.0,3.58,0.3275343524973836,0.7682389037108901,0.0325291828793774,0.906043577,0.7681822500000001,0.133467259,0.18,0.18,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2638990787897513,0.2039114560070229,124237231099876.05,0.4455937866027823,0.3443046418750315,1242372310998.7605,0.6,0.0160722252100081,0.1777601017039684,0.1208457518143784,44748847424678.88,0.3588715328980353,0.243969821023529,447488474246.7888,0.6,0.2553498813698498,65,3.7846153846153845,0.0,246.0,3.7846153846153845,0.3592475227519812,0.8104323995249689,0.0263992816521999,1.073795399,0.935157383,0.13390633,0.2769230769230769,0.2307692307692307,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2677610576096005,0.2200169940771687,186355846649814.44,0.6811465500595102,0.5596923533542013,1863558466498.1443,0.5,-0.0106022923572541,0.1765071076815724,0.1217425850025841,44593510126339.2,0.3596759171754211,0.2480799583385991,445935101263.392,0.7,0.2654309353472126,77,3.7662337662337664,0.0,290.0,3.7662337662337664,0.3673042719664386,0.8237999311403738,0.0293597453130526,1.341743656,1.180182618,0.155341194,0.3246753246753247,0.2337662337662337,C2,C2,C2
plain,no_discretization,breasttumor,0,0.269291120284807,0.2265677571105536,77648269437423.61,0.6336609036526271,0.5331298319728597,776482694374.2361,0.5,-0.1291212216961945,0.171287384946054,0.1139086860094928,36701046937666.12,0.3458584061214321,0.2300010394754845,367010469376.6612,0.6000000000000001,0.3267788186708139,75,3.68,0.0,276.0,3.68,0.3651760097388931,0.807474866801545,0.025006485084306,1.261285698,1.0942456160000005,0.161996133,0.2933333333333333,0.2533333333333333,C2,C2,C2
plain,no_discretization,breasttumor,0,0.2622280787989614,0.2129078090160125,120101301304898.44,0.5948262243135933,0.4829503718439171,1201013013048.9846,0.6,-0.0329601715545546,0.1738964831857959,0.1205212632149626,58538976844551.305,0.3487120524011763,0.2416795111880955,585389768445.5131,0.64,0.3148491691775056,73,3.684931506849315,0.0,269.0,3.684931506849315,0.3596564073126342,0.814888294808919,0.0260698736327917,1.993320952,1.729303492,0.259027947,0.3150684931506849,0.2328767123287671,C2,C2,C2
