model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,cholesterol,0.2711864406779661,0.2637480710420368,0.2139437861094767,60312259297568.016,0.6369369156007217,0.5166623387922024,603122592975.6802,0.7517119578376696,-0.581952548481462,0.1055267545676712,0.0737133297832093,4400434136326.614,0.3843248787042701,0.2684614593131702,44004341363.26614,0.6016294163593043,0.2010386870868278,59,1.7796610169491525,2.0847457627118646,244.0,4.135593220338983,0.3307612969780549,0.7786857443198203,0.0459247258225324,3.43578577041626,2.254741439999999,0.8675859099999998,0.0847457627118644,0.0338983050847457,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.22580645161290322,0.255507195788041,0.1872440281305575,40465396563500.36,0.6738690477478182,0.4938332736330325,404653965635.0036,0.7671232876712328,-0.2256037465777853,0.1134735829750813,0.0758444415035017,4271645496683.771,0.4116812467665292,0.2751630240258596,42716454966.83771,0.7507042521676459,0.1092525880311399,62,2.2580645161290325,2.2419354838709675,293.0,4.725806451612903,0.332908991330077,0.7841734710584026,0.0448292220113852,6.554351568222046,3.905328572999998,2.375335605,0.0161290322580645,0.0161290322580645,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.13333333333333333,0.3324794610505448,0.2711624557693967,37871743414822.46,0.6740303794774687,0.5497233795578822,378717434148.2246,0.7437492854394829,-0.8678641188061786,0.1010686952799199,0.0690141079058955,4316613292757.681,0.366573288322044,0.250312209983607,43166132927.57681,0.3865035154016784,0.2661880611717429,75,2.92,2.7733333333333334,437.0,5.826666666666667,0.3646829684819893,0.8150873158999754,0.0319902319902319,32.7432656288147,15.661922243999996,13.178687045000002,0.1333333333333333,0.0533333333333333,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.2537313432835821,0.3025077305014611,0.2461218004993266,102496868947501.02,0.9940222424060652,0.8087414613563972,1024968689475.01,0.7357010297759556,-0.1765811052677526,0.1017578940105937,0.0658673707225573,4444316958785.016,0.3752999111200374,0.2429297364911346,44443169587.85016,0.7711903921562363,0.2234375063591989,67,2.3134328358208953,3.208955223880597,387.0,5.776119402985074,0.3710924215392866,0.8100911511582544,0.0371220818982012,23.281518936157227,11.926550045999996,9.697656348000002,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.33783783783783783,0.3488747482975437,0.2844547111437779,40601534584744.08,0.683648460214963,0.5574121550020622,406015345847.4408,0.7598894857529501,-1.072880083789061,0.1053591948563964,0.0677765564316342,4293662146622.867,0.3805074259494018,0.2447767664005628,42936621466.22867,0.7535661028079687,0.2258282749633104,74,2.22972972972973,1.9864864864864864,337.0,4.554054054054054,0.3777189046627023,0.806655432831903,0.0414810414810414,7.779152393341064,4.791320861,2.119595058,0.2027027027027027,0.0405405405405405,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.36,0.4204714722700976,0.3625134313950281,40977371212556.16,0.6949653071573874,0.5991708708273307,409773712125.5617,0.7601955060262231,-2.039853123971479,0.1185921461318594,0.0859184567942674,4152749447025.489,0.4437267433324144,0.32147421451567,41527494470.25489,0.7408027619999766,0.0278921613125444,25,0.72,1.56,66.0,2.64,0.3142802998903631,0.7984101260380102,0.1078388278388278,0.2244181632995605,0.132261518,0.059467189,0.04,0.04,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.0,0.2599315847579777,0.2309051150726272,59841644533218.78,1.2496913099655098,1.110138715929912,598416445332.1879,0.6013745704467354,-1.1764817848258016,0.1681627517544137,0.1288510295817146,6746073985840.501,0.4068136510742071,0.3117120601437364,67460739858.40501,0.5910652920962199,0.0141471677787634,9,0.5555555555555556,1.5555555555555556,19.0,2.111111111111111,0.2831516840279973,0.7816560001689742,0.12006512006512,0.0676741600036621,0.040018625,0.008856979,0.0,0.0,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.46938775510204084,0.2160697924631863,0.153887081367733,39192546135468.82,0.6682741854387115,0.4759516023883072,391925461354.6882,0.744527438699777,-0.0816783836031231,0.1083256688889049,0.0803342640382437,4229949014247.047,0.3910398111913636,0.289994936231864,42299490142.47047,0.4240435381099686,0.1472723487853189,49,1.7755102040816326,1.469387755102041,182.0,3.7142857142857144,0.3174543544656478,0.7862091455969855,0.078406362545018,2.6095073223114014,1.699006568,0.6878020990000003,0.0204081632653061,0.0204081632653061,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.11864406779661017,0.4554344937953129,0.4020695281613092,29475613999533.465,0.704117022833518,0.6216129937409934,294756139995.33466,0.7241787928296601,-2.672317212439936,0.1108317625080311,0.0726963812565802,4481980661825.57,0.4020080437461419,0.2636837072248477,44819806618.25571,0.7306512132581771,0.1489318448590034,59,2.1186440677966103,2.6271186440677967,287.0,4.864406779661017,0.3660036724279288,0.8221413602678619,0.0396101074067175,15.612505435943604,7.910721911,5.5810700870000005,0.2372881355932203,0.0508474576271186,C2,C2,C2
at_least_M-of-N,no_discretization,cholesterol,0.2549019607843137,0.3020513528841019,0.2472494637727882,40100544627272.45,0.7235115171323181,0.592243116729366,401005446272.72455,0.728569445083498,-0.2796619949549896,0.1132691034590539,0.0774503164085519,4595471339285.392,0.4065325902573214,0.2779758714802554,45954713392.85391,0.731769106170957,0.1006095019565939,51,2.215686274509804,2.1176470588235294,234.0,4.588235294117647,0.3577695882972099,0.8233144499105759,0.0430941607412195,8.328360319137573,4.333531741000001,2.475889199000001,0.1764705882352941,0.0392156862745098,C2,C2,C2
