model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,cholesterol,0,0.2624794468929077,0.2111940432669473,36816877201217.54,0.633873258871744,0.5100218628338523,368168772012.1754,0.7397260273972603,-0.5667708137968868,0.1165210782315394,0.0819241792807731,4309447669220.796,0.4243658344397373,0.2983650960746573,43094476692.20796,0.7381098755982866,0.0258864680597418,29,0.41379310344827586,2.310344827586207,79.0,2.7241379310344827,0.3938141503918771,0.8326909186475373,0.0337221095334685,27.813768418,27.275918718,0.524679801,0.3448275862068966,0.1034482758620689,C2,C2,C2
complex,no_discretization,cholesterol,0,0.2624616822803832,0.2003225890768523,37811927936385.63,0.6922106571718337,0.5283263820701923,378119279363.8563,0.7397260273972603,-0.2932295663617255,0.1204052024004944,0.0824227926950105,4876480257276.129,0.4368291063154059,0.29902922926222,48764802572.76129,0.7785388127853882,-0.002895164033106,34,0.35294117647058826,2.2058823529411766,87.0,2.5588235294117645,0.3709984104257902,0.8065167460678297,0.0274653979238754,36.341338434,35.58126791300001,0.746047916,0.0588235294117647,0.0588235294117647,C2,C2,C2
complex,no_discretization,cholesterol,0,0.3307958586030587,0.2728827549272789,39072325534265.086,0.6706172387289168,0.5532109149699594,390723255342.6509,0.7769671898516223,-0.8489951128430395,0.1054514628697784,0.0731045387487077,4293662146622.888,0.3824694619385735,0.2651480865183808,42936621466.22888,0.4155251141552512,0.2011657585524009,60,0.6166666666666667,2.716666666666667,200.0,3.3333333333333335,0.3582123373619328,0.7798594325064913,0.0269841269841269,50.067918267,48.64805415,1.4053658290000006,0.2,0.1,C2,C2,C2
complex,no_discretization,cholesterol,0,0.3019716678379224,0.2448674691607522,109477387835753.95,0.992260772674374,0.8046198038773535,1094773878357.5396,0.7513387361698232,-0.1724148490113624,0.104511438345557,0.0685743981089466,4368989552703.98,0.3854554371774973,0.2529137003633195,43689895527.0398,0.7031963470319635,0.1808416918520221,61,0.4262295081967213,2.2295081967213113,162.0,2.6557377049180326,0.3770938168938464,0.8191487216111636,0.0317059989191136,47.250100185,45.97674503999999,1.2616329860000004,0.180327868852459,0.0327868852459016,C2,C2,C2
complex,no_discretization,cholesterol,0,0.359612282387697,0.293497651782455,29475613999533.48,0.7046895320697202,0.5751325330850707,294756139995.3348,0.7945205479452055,-1.2024402709784514,0.1111082453913223,0.0760350698059571,4368989552703.997,0.4012702689426431,0.2746025985978892,43689895527.03997,0.3995433789954338,0.1390359890031463,38,0.5,2.3157894736842106,107.0,2.8157894736842106,0.4008252785899932,0.8020496816203188,0.0239059186427607,35.221960614,34.577847444,0.6334578169999998,0.2894736842105263,0.0789473684210526,C2,C2,C2
complex,no_discretization,cholesterol,0,0.4271384782336591,0.3687112090711565,39176809691522.16,0.7059846940905165,0.609414706022925,391768096915.2216,0.7482678983833718,-2.1370173553105536,0.1202393668804108,0.0873959725717188,4152749447025.489,0.4498900173951979,0.3270025170680314,41527494470.25489,0.7482678983833718,0.0006998563511915,11,0.18181818181818182,1.8181818181818181,22.0,2.0,0.426985767205186,0.8196503496503496,0.0266400266400266,10.255707125,10.10959724,0.1361768619999999,0.8181818181818182,0.0909090909090909,C2,C2,C2
complex,no_discretization,cholesterol,0,0.2621149878754037,0.2339277656287965,60357520779194.8,1.2601886102629691,1.1246709249980182,603575207791.948,0.5979381443298969,-1.2131998765609686,0.1676967936456574,0.1288612527824542,6632694591120.505,0.4056864209504541,0.3117367917657818,66326945911.20505,0.5979381443298969,0.0196029502654406,6,0.3333333333333333,1.3333333333333333,10.0,1.6666666666666667,0.4003244990450046,0.7845238095238095,0.0183150183150183,8.135911871,8.093718026,0.033842521,0.8333333333333334,0.1666666666666666,C2,C2,C2
complex,no_discretization,cholesterol,0,0.2055844848842953,0.1423265817974815,36153510044438.88,0.6358445695193479,0.4401965653444747,361535100444.38873,0.7328767123287672,0.0207564641238032,0.1096333414145842,0.0793397388171891,4422854186831.873,0.3957603176307581,0.2864048457329529,44228541868.31873,0.3789954337899543,0.1265603785326283,30,0.3333333333333333,2.4,82.0,2.7333333333333334,0.3939063583924945,0.8045889647200389,0.0276960784313725,24.788797608,24.239515389,0.531563565,0.4666666666666667,0.0333333333333333,C2,C2,C2
complex,no_discretization,cholesterol,0,0.4453775824012956,0.3953570304189062,30846572790209.414,0.6885687000645393,0.611235246797035,308465727902.0942,0.7172541172849007,-2.5119235621649616,0.1041878417857607,0.0707308483910161,4293662146622.824,0.377909269965739,0.256554342823132,42936621466.22824,0.410958904109589,0.2479097735646677,53,0.5094339622641509,2.5660377358490565,163.0,3.0754716981132075,0.3707740706146787,0.7634466821763504,0.0212868892114175,45.155030849,44.102183942,1.040332785,0.3773584905660377,0.1132075471698113,C2,C2,C2
complex,no_discretization,cholesterol,0,0.2995707825394438,0.2491579706890473,45927119487645.26,0.7175697420126891,0.596814613335011,459271194876.4526,0.7031963470319635,-0.2587300754684953,0.116494054463575,0.0818871078264473,4406653255744.587,0.4181072178060849,0.2938998988846084,44066532557.44587,0.7031963470319635,0.0486662803815739,40,0.55,2.475,121.0,3.025,0.3547639139073351,0.7920034156456572,0.0305860805860805,37.722282379,36.878247853,0.832847197,0.025,0.025,C2,C2,C2
