model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,cholesterol,0.5797101449275363,0.2621393051499782,0.2135686390581864,63082109138727.51,0.633051835489375,0.5157563795379734,630821091387.275,0.7511157370722775,-0.5627127524215849,0.1051731659859917,0.0744455147061767,4094963381012.015,0.3830371210230836,0.2711280520920481,40949633810.12015,0.5657816979520631,0.2063838776233748,69,1.8695652173913044,2.0,307.0,4.449275362318841,0.3234804970613982,0.7841507612861535,0.0382033248081841,3.6610045433044434,2.3963750070000005,0.9479042950000004,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.5625,0.2614869881905483,0.1911947084005112,34495092152492.21,0.6896400204579176,0.5042527107187822,344950921524.9221,0.731795044159268,-0.2836421655458645,0.1122637614881599,0.0753937521333551,4158238979072.757,0.4072920241382977,0.2735279266142699,41582389790.72757,0.7237442922374429,0.1281451014015253,64,2.421875,1.875,311.0,4.859375,0.3515026198246048,0.8171705353675299,0.0379136029411764,4.882012844085693,2.9976944950000006,1.5965631210000002,0.03125,0.03125,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.4805194805194805,0.3284787490977718,0.2759224562956228,36049154757396.26,0.6659197990909778,0.5593732537211389,360491547573.9626,0.7202870797806045,-0.8231827035115675,0.1022907717677393,0.067983376089212,4368989552703.941,0.3710057250471871,0.2465737749481753,43689895527.03941,0.7357580984080225,0.2483349364808812,77,2.324675324675325,2.116883116883117,379.0,4.922077922077922,0.3663034787056493,0.816596824906354,0.0344893202036058,25.713846921920776,11.443171665,10.350826129,0.0909090909090909,0.0519480519480519,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.5087719298245614,0.2934977849991999,0.239136493620665,89253675685467.55,0.9644161023670396,0.7857881622922328,892536756854.6754,0.736021039588058,-0.1075378343536714,0.1036078984149481,0.0668249398631869,4444316958785.054,0.3821230327586752,0.246461409555557,44443169587.85054,0.7579908675799087,0.194944317387391,57,2.3157894736842106,2.456140350877193,301.0,5.280701754385965,0.3671379367449204,0.8177994251216842,0.0410641989589357,17.950812578201294,8.113304266000002,8.206218029000002,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.484375,0.3599591321786045,0.296010675390479,42738365992251.16,0.7053692124611414,0.5800570073512454,427383659922.51154,0.791714339785145,-1.2066908730148644,0.1017344140294684,0.0691634120708234,4519644364866.173,0.3674164373179395,0.2497854309993246,45196443648.66173,0.7136606430589942,0.2781811899092341,64,2.375,1.96875,309.0,4.828125,0.3601797064473399,0.7969879785977937,0.0420673076923076,5.293608665466309,3.1100760390000004,1.3299026599999997,0.171875,0.03125,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.5384615384615384,0.4208648285930215,0.3639466302204707,41518214558013.805,0.6956154558971038,0.601539696128519,415182145580.13806,0.7601942694024217,-2.045543425660812,0.1176430349053177,0.0843727208414796,4152749447025.4814,0.4401755298047892,0.3156906579922917,41527494470.254814,0.7408027619999766,0.0433897551104154,26,0.8076923076923077,1.3076923076923077,69.0,2.6538461538461537,0.3518266836872547,0.8268437960314541,0.0924204001127078,0.2057969570159912,0.126311722,0.051983644,0.0384615384615384,0.0384615384615384,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.0,0.2599315847579777,0.2309051150726272,59841644533218.78,1.2496913099655098,1.110138715929912,598416445332.1879,0.6013745704467354,-1.1764817848258016,0.1681627517544137,0.1288510295817146,6746073985840.501,0.4068136510742071,0.3117120601437364,67460739858.40501,0.5910652920962199,0.0141471677787634,9,0.5555555555555556,1.5555555555555556,19.0,2.111111111111111,0.2831516840279973,0.7816560001689742,0.12006512006512,0.0651164054870605,0.0419885829999999,0.008614257,0.0,0.0,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.6349206349206349,0.2155874148868797,0.1583477959455282,39063834175669.54,0.6667822578619536,0.4897479797854786,390638341756.6954,0.7483698167270749,-0.0768540631376475,0.1086903735634275,0.0750971330192371,567032588055.733,0.39235634169174,0.2710896597091125,5670325880.55733,0.7420091324200913,0.1415208536558184,63,2.0634920634920637,1.2380952380952381,248.0,3.9365079365079363,0.3199806796808451,0.7804907935184182,0.0486111111111111,2.2835614681243896,1.646143035,0.405774186,0.0158730158730158,0.0158730158730158,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.5483870967741935,0.464661748944522,0.4164362582996427,63406844068763.25,0.7183826691846403,0.6438244410307158,634068440687.6324,0.7333239574353032,-2.822629379051678,0.1047605960005829,0.0711875493998144,4143007334460.631,0.3799867592723929,0.2582108849097074,41430073344.60631,0.408675799086758,0.239618079237213,62,1.8870967741935485,1.8870967741935485,268.0,4.32258064516129,0.3628779486271424,0.8174645933659482,0.04295167198393,11.923044204711914,6.040845070999998,3.78256779,0.1935483870967742,0.0483870967741935,C2,C2,C2
exact_M-of-N,no_discretization,cholesterol,0.38596491228070173,0.3104724488295101,0.2574635695866112,42012486391727.92,0.7436827888223903,0.6167092319211913,420124863917.2791,0.7031963470319635,-0.3520097877735801,0.110439175370682,0.0746908950680129,4858617692231.12,0.3963757340549267,0.2680720700823201,48586176922.3112,0.7284630884784966,0.1449890448937136,57,2.0701754385964914,1.7894736842105263,242.0,4.245614035087719,0.334646327643213,0.8035902916014236,0.04061435640383,7.501477241516113,3.764247071,2.135946448,0.0350877192982456,0.0175438596491228,C2,C2,C2
