model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,cholesterol,0,0.2433355451606394,0.1948990470427915,37811927936385.53,0.5876418014292709,0.4706703536693169,378119279363.8553,0.6349054597159938,-0.3465608212950302,0.1054669584357943,0.0613936922176563,3370145837355.277,0.3841071032100388,0.2235937550758957,33701458373.55277,0.8949771689497716,0.2019438842677656,73,5.041095890410959,0.0,368.0,5.041095890410959,0.3476755178312993,0.7751053900837601,0.0236704270749395,10.695723205,9.014861531999996,1.6717704190000005,0.0,0.0,C2,C2,C2
plain,no_discretization,cholesterol,0,0.2568324634663196,0.2013238172305786,37948374093516.75,0.677364279518564,0.5309669991395037,379483740935.1675,0.6932746722620433,-0.2383506703886744,0.0898695505076436,0.0603373117190026,4044832461461.587,0.326046006738493,0.218903281836747,40448324614.61587,0.3538812785388128,0.4412852047093489,72,4.833333333333333,0.0,348.0,4.833333333333333,0.3494359986138231,0.7663731878095911,0.025173611111111,16.250578516,13.579388734000004,2.6615224739999994,0.1666666666666666,0.0277777777777777,C2,C2,C2
plain,no_discretization,cholesterol,0,0.3346003517287454,0.2694051965967622,31874791883216.37,0.678330027774963,0.5461609156895021,318747918832.1637,0.7845929488424799,-0.8917703831387294,0.0891934666229892,0.05837709117201,2749450321960.346,0.3235021711349586,0.2117320522871247,27494503219.603462,0.3721461187214612,0.4284982797281939,76,5.368421052631579,0.0,408.0,5.368421052631579,0.3485003405844626,0.7695345955214375,0.0240987083092346,11.458441383,9.722007286,1.7281129959999997,0.2105263157894736,0.0131578947368421,C2,C2,C2
plain,no_discretization,cholesterol,0,0.2701859801608983,0.2211719442821288,82257527440559.52,0.8878149111132205,0.7267577316063636,822575274405.5952,0.618537016853212,0.0614129997900325,0.1002776877276395,0.0607910387425489,2636459212838.749,0.3698406659987283,0.2242073861571681,26364592128.38749,0.8242009132420092,0.245865493404042,71,5.126760563380282,0.0,364.0,5.126760563380282,0.3577371540351513,0.7741525297863323,0.0241448692152917,3.651922597,3.1708088059999997,0.4726940259999999,0.0422535211267605,0.0422535211267605,C2,C2,C2
plain,no_discretization,cholesterol,0,0.3410071213008877,0.2816311063342059,53492007431231.484,0.6682312048588309,0.551879071596802,534920074312.3148,0.766442140316355,-0.9804414325626152,0.0995915500103527,0.0608903255244675,3750278754125.924,0.3596774291261564,0.2199069674186078,37502787541.25925,0.8835616438356164,0.3082687395177869,70,4.828571428571428,0.0,338.0,4.828571428571428,0.3448354251878187,0.7555572797186911,0.0229722658294086,7.941968833,6.535375341000001,1.3987468110000003,0.0,0.0,C2,C2,C2
plain,no_discretization,cholesterol,0,0.4121610045815649,0.3499843999138992,33282953366248.96,0.6812295673731847,0.5784625878975577,332829533662.4896,0.7482678983833718,-1.9208774041273564,0.1038714196633717,0.0722107076245258,4028459452756.981,0.3886473790709178,0.2701850263535461,40284594527.56982,0.605080831408776,0.254247491313331,53,5.018867924528302,0.0,266.0,5.018867924528302,0.3254521158566018,0.7668122573957413,0.0325523533070702,5.468630354,4.701975217000001,0.759415991,0.0566037735849056,0.0188679245283018,C2,C2,C2
plain,no_discretization,cholesterol,0,0.2818471937691207,0.2561292018872664,58294015795290.695,1.3550565204278249,1.2314103271633856,582940157952.907,0.5534736253035377,-1.5589650701643096,0.1315958175240283,0.0900280864667543,4875313972960.392,0.3183521584567551,0.2177929070062538,48753139729.60391,0.5120274914089347,0.3962784887084024,71,5.084507042253521,0.0,361.0,5.084507042253521,0.3511447877256955,0.764371875018105,0.0248671516277149,5.3887263,4.601818632999999,0.7791602370000001,0.0140845070422535,0.0140845070422535,C2,C2,C2
plain,no_discretization,cholesterol,0,0.2106657005251752,0.1622402211908661,35956979192162.41,0.6515600714631283,0.5017867163462705,359569791921.6241,0.591324200913242,-0.0282476008971956,0.096182598452621,0.064386535286867,2759558595202.921,0.3472051040587662,0.2324259693947881,27595585952.02921,0.591324200913242,0.3277348492553131,63,5.174603174603175,0.0,326.0,5.174603174603175,0.3511625587790843,0.7900403298494109,0.0276027077497665,5.528180997,4.790617466999998,0.7257060870000002,0.0793650793650793,0.0476190476190476,C2,C2,C2
plain,no_discretization,cholesterol,0,0.4456570036824904,0.3954429938769482,43870681301630.93,0.6890006947494207,0.6113681491901863,438706813016.3093,0.7397260273972603,-2.5163315703191453,0.1039728018561767,0.0671621443001077,4030016225338.983,0.3771292789283043,0.2436099691361125,40300162253.38983,0.7295143087881433,0.2510111436424774,67,4.6716417910447765,0.0,313.0,4.6716417910447765,0.3405256754135618,0.7677082971274107,0.0279372368924607,5.582832464,4.813471352,0.76154835,0.0298507462686567,0.0149253731343283,C2,C2,C2
plain,no_discretization,cholesterol,0,0.3066863825949429,0.2495800680307547,25503801668945.004,0.7346139252030766,0.5978256741535117,255038016689.45004,0.7259060694243266,-0.3192365871331484,0.0859962363204712,0.0568293696391036,4030016225339.016,0.3086479157697212,0.2039655134237657,40300162253.39016,0.3812785388127854,0.4815770035638839,85,4.988235294117647,0.0,424.0,4.988235294117647,0.3534537969039952,0.7631072848719905,0.0214177978883861,12.457557558,10.473648645000004,1.9753827,0.0470588235294117,0.0117647058823529,C2,C2,C2
