model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,cloud,0,0.3095185670695369,0.2393027519408819,35170823484518.004,0.8674110251526396,0.6706345514201555,351708234845.18005,0.6050230782148744,-0.1668289104142573,0.1417264739483518,0.0772099660356814,3988443900306.986,0.677103988162377,0.3688737500637544,39884439003.069855,0.7333333333333333,0.4178105878488128,14,0.5714285714285714,3.642857142857143,59.0,4.214285714285714,0.6342119643228074,0.8671291803434661,0.1782032400589102,18.275606372,18.051970842000003,0.2098499339999999,0.8571428571428571,0.8571428571428571,C2,C2,C2
complex,no_discretization,cloud,0,0.2143142827147528,0.1311075604166706,29732025591470.55,0.9747371681868764,0.5962990919206632,297320255914.7055,0.6516666666666666,0.2983177246966628,0.1417819099035278,0.0747804040930597,3315419672262.528,0.6872413722316413,0.3624735169664427,33154196722.62528,0.665,0.3451228997181675,25,0.68,3.8,112.0,4.48,0.5821829701277228,0.8282669552669555,0.1142268041237113,31.817696704,31.43551029599999,0.3691854009999999,0.8,0.68,C2,C2,C2
complex,no_discretization,cloud,0,0.3664050868968932,0.2217398762204656,85732562437902.3,1.6486890688713385,0.9977484569160469,857325624379.023,0.9114688128772636,-0.1865429572622379,0.1489355751844355,0.0771640895681529,3315828025431.6016,0.6241880504274062,0.3233942096836549,33158280254.316017,0.7283702213279677,0.3600127633944776,26,0.8846153846153846,3.269230769230769,108.0,4.153846153846154,0.6278536895132003,0.8419872602457742,0.1225218080888184,28.118873971,27.76729277,0.340631492,0.8461538461538461,0.6538461538461539,C2,C2,C2
complex,no_discretization,cloud,0,0.3830946704573157,0.3100631807351746,16425595457916.8,0.8068548240465792,0.6530395550445969,164255954579.168,0.734768958127808,-0.5098400562778833,0.1374815567502497,0.0773505872798558,2689679662787.625,0.675410273433786,0.3800028348519297,26896796627.87625,0.7692307692307693,0.4389121110099798,15,1.0,3.6,69.0,4.6,0.5983076256689773,0.8286560846560849,0.1292517006802721,23.849800849,23.611164597,0.226775392,0.7333333333333333,0.6666666666666666,C2,C2,C2
complex,no_discretization,cloud,0,0.350731340417682,0.2260891204592231,26308542786063.67,0.824081048322278,0.5312207320292993,263085427860.63672,0.7016666666666667,0.1154996309224958,0.1380653128530609,0.0722420948761423,3933843086829.607,0.6739412235216093,0.352636913678729,39338430868.29607,0.6068699521478532,0.4209745571488255,23,0.8695652173913043,3.391304347826087,98.0,4.260869565217392,0.6100638080394212,0.8456799882457527,0.1649484536082474,28.981114027,28.680003276,0.2891816299999999,0.8695652173913043,0.8695652173913043,C2,C2,C2
complex,no_discretization,cloud,0,0.3469356917103806,0.2760020953966058,39766598604443.24,0.9122278385104086,0.7257160359222159,397665986044.4324,0.6215533751922305,-0.110699946653975,0.1387899633055663,0.0744088370451505,4558894036637.891,0.6613916207634454,0.3545889065772342,45588940366.37891,0.6373879840480029,0.4290891077648447,18,0.3333333333333333,3.7222222222222223,73.0,4.055555555555555,0.6166219353216357,0.8490363419253907,0.1741122565864834,19.773555485,19.533596409,0.2286660609999999,0.7777777777777778,0.6666666666666666,C2,C2,C2
complex,no_discretization,cloud,0,0.3227354398459804,0.216299924986234,36847633314850.02,0.8810252234155646,0.5904702930261105,368476333148.5002,0.6950000000000001,0.1866909216410965,0.1347843972438691,0.0656490527288253,3368272963130.7803,0.659086869399528,0.321019565519882,33682729631.307804,0.7552449201331628,0.4122499733008589,24,1.0,2.75,90.0,3.75,0.589358700138661,0.8424384327433369,0.1353092783505154,27.831783833,27.49974712600001,0.318630058,0.75,0.7083333333333334,C2,C2,C2
complex,no_discretization,cloud,0,0.4226360170730821,0.3493853923396425,26386587812013.84,0.8031488430757574,0.6639483203264968,263865878120.1384,0.7958333876647707,-0.4760399976634422,0.121786984817373,0.0614548035944788,3401592169757.327,0.5747650434942516,0.2900315901069307,34015921697.573277,0.7567570601555754,0.5665240025781997,26,0.7692307692307693,4.346153846153846,133.0,5.115384615384615,0.5991393364146809,0.8506047588032882,0.1110229976209357,33.632937096,33.24343597199999,0.3762004490000001,0.9230769230769232,0.7307692307692307,C2,C2,C2
complex,no_discretization,cloud,0,0.2918291587103742,0.2225689882854599,40064203029241.01,0.7955861675348952,0.60676873135177,400642030292.4101,0.5858333333333333,0.0184748958252252,0.1558241388761258,0.0712229730704737,4543363230120.811,0.7791876348990915,0.3561454620415478,45433632301.20811,0.9083333333333332,0.2133656738488492,14,0.42857142857142855,2.7857142857142856,45.0,3.2142857142857144,0.6429240280397613,0.8478232980537129,0.158321060382916,17.686494341,17.521017463000003,0.152627041,0.9285714285714286,0.9285714285714286,C2,C2,C2
complex,no_discretization,cloud,0,0.3874155007462753,0.3576969486781744,32322608469321.727,0.7275130777372804,0.6717057204185566,323226084693.2173,0.6399999999999999,-1.257516789417401,0.1343192285113268,0.0696637818814752,3292015975730.89,0.6591529491291955,0.3418653292130482,32920159757.308903,0.7216666666666667,0.4696889586948745,21,0.7619047619047619,2.9047619047619047,77.0,3.6666666666666665,0.5976482097942049,0.8386104636104638,0.1496598639455782,26.208930401,25.900407571,0.292850447,0.8095238095238095,0.6666666666666666,C2,C2,C2
