model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,cloud,0.6,0.3155397567548997,0.2420473790675398,35818883317339.36,0.8842851221319195,0.6783262380680238,358188833173.3936,0.7029750375396749,-0.2126680672658343,0.1589453287058011,0.0799021773300179,4061935221554.794,0.7593677664322463,0.3817358989170124,40619352215.54794,0.8092882274061407,0.2677525364903654,10,0.4,1.5,25.0,2.5,0.7397977407077853,0.933998325412126,0.3855670103092783,1.226489782333374,0.1891106659999999,0.0180112469999999,0.8,0.7,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.0,0.261219810075481,0.1357204627908232,36699811505003.055,1.188071344205193,0.6172793427016555,366998115050.0305,0.8329160896656498,-0.0424386254646544,0.1469335918434831,0.0772048122775602,4618115714358.721,0.7122124631707104,0.3742250416052305,46181157143.5872,0.818746052028251,0.2966680440125071,8,0.875,1.625,20.0,2.5,0.6504772859192398,0.9094665943754134,0.3092783505154639,5.78965163230896,0.59188068,0.194554111,0.5,0.25,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.5,0.3581616746856823,0.2243303065840973,101740983029175.06,1.611596724663114,1.009404447449262,1017409830291.7506,0.8863362454421306,-0.1337536574318263,0.1596652636430998,0.0923278488904288,5533900961624.956,0.6691561066652352,0.3869454287715103,55339009616.24956,0.8058949107187471,0.2644786157242086,10,0.9,1.7,31.0,3.1,0.6218564270374907,0.8716839788502142,0.3484536082474226,3.942098617553711,0.446643686,0.088821619,0.7,0.5,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.14285714285714285,0.3551818051750816,0.2701861673852671,24176763702241.81,0.7480661440081753,0.5690525850574286,241767637022.4181,0.7148890683267495,-0.2978369752591847,0.1571030893401926,0.0875590013395844,2467016704311.7617,0.7718056373285813,0.4301540543637361,24670167043.11762,0.8399491066620326,0.2673248484241717,14,2.0,0.7857142857142857,41.0,2.9285714285714284,0.4712496164086946,0.8040913085092194,0.1800291545189504,1.1500349044799805,0.376305936,0.0589177979999999,0.4285714285714285,0.2857142857142857,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.35294117647058826,0.4014248213621466,0.281698155517923,42436578174937.42,0.9431908400793244,0.6618801474462097,424365781749.3742,0.7292248379926816,-0.1586634676636014,0.1603966242493058,0.0816790242002881,4459071687969.901,0.7829475409971987,0.398701602655101,44590716879.69901,0.8156098029246168,0.2185180846510317,17,1.2352941176470589,2.176470588235294,64.0,3.764705882352941,0.6174962514406488,0.8781282359576122,0.2795633717404487,5.672349214553833,1.240649078,0.3972637599999999,0.7058823529411765,0.7058823529411765,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.0,0.368298046093426,0.2892887085009599,51859632072753.0,0.9683977133026708,0.7606516699400241,518596320727.53,0.7232285695381542,-0.2516924093370223,0.1629979658744173,0.0914363146096662,5880989204127.7295,0.7767527727741823,0.4357318848999077,58809892041.2773,0.8466666666666667,0.2125616241488415,4,0.75,1.0,7.0,1.75,0.6349260155304689,0.8771181896181895,0.2912371134020618,1.710002899169922,0.184423973,0.03285097,1.0,1.0,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.3333333333333333,0.3275235724943864,0.2200309168821403,41270305337668.79,0.8940961946058325,0.6006554092631783,412703053376.6879,0.6950000000000001,0.1623792480095935,0.1492606514270316,0.0857997888051753,4680137718705.586,0.7298748036509196,0.4195553443506305,46801377187.05586,0.7525309982511159,0.2792177530599298,6,0.3333333333333333,1.5,13.0,2.1666666666666665,0.6645086265298753,0.8999640934723335,0.4261168384879725,2.395591735839844,0.2045229069999999,0.018074149,0.8333333333333334,0.8333333333333334,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.2,0.473249467924668,0.387417210982704,28790021466569.75,0.8993312147937211,0.7362214109040088,287900214665.6975,0.832743395202042,-0.8507398874505578,0.1554174586395526,0.0785120612537301,3680431912301.5767,0.7334816812213723,0.3705321087388172,36804319123.01577,0.7718718404147096,0.2940679429080252,10,0.9,1.7,28.0,2.8,0.7008399992234392,0.9318946284424844,0.3412371134020618,13.666566133499146,0.92198634,0.463971086,0.9,0.8,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.3076923076923077,0.3158364624343101,0.238187623350591,36487194804881.375,0.8610350035832768,0.649348335351951,364871948048.8137,0.6425986843893029,-0.1496577700854495,0.1530522224953819,0.0723484060368368,4137723122203.831,0.7653268622073403,0.3617731103483038,41377231222.03831,0.8560509148033076,0.2411032316406239,13,1.1538461538461537,1.6923076923076923,41.0,3.1538461538461537,0.6070317268654738,0.8934878689686384,0.2038065027755749,0.6987168788909912,0.394116033,0.116032367,0.3846153846153846,0.3846153846153846,C2,C2,C2
exact_M-of-N,no_discretization,cloud,0.625,0.4479517108036626,0.4022016554594266,41695456153311.49,0.8411917622725269,0.7552794446031982,416954561533.1149,0.8479519583690618,-2.018140143183638,0.1636826761991405,0.086867985142911,4222478691835.932,0.803249988358326,0.4262925660493382,42224786918.359314,0.7716666666666667,0.2124833832357029,8,0.75,1.375,22.0,2.75,0.7364774019174182,0.9363343697565388,0.413265306122449,3.5960419178009038,0.415912015,0.107126231,0.875,0.875,C2,C2,C2
