model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,cloud,0,0.329222677425842,0.2482639859370336,32813594532551.79,0.92263085485689,0.6957479823875725,328135945325.5179,0.7183333333333333,-0.3201195231159814,0.0972137477622529,0.062922297814735,3721129276888.125,0.4644426300905532,0.3006138345770462,37211292768.88125,0.500175996223916,0.7260838045776843,18,2.111111111111111,0.0,38.0,2.111111111111111,0.5323799664238117,0.7992574511886906,0.1597938144329896,0.85210966,0.7472740629999999,0.101999363,0.5555555555555556,0.4444444444444444,C2,C2,C2
plain,no_discretization,cloud,0,0.123745101278156,0.0694539525172933,46386819090240.14,0.5628133975438726,0.3158881813126682,463868190902.4014,0.375292119655002,0.7660654827486594,0.0896798372771636,0.0613966590423215,3141567489668.5684,0.4346936395045326,0.2976001962407856,31415674896.685684,0.3275559004805096,0.7379960838024794,20,2.5,0.0,50.0,2.5,0.5004877625109359,0.7744747015358173,0.1278350515463917,0.573770343,0.5056811670000001,0.06359018,0.65,0.55,C2,C2,C2
plain,no_discretization,cloud,0,0.1240007880075029,0.1011397261712441,101486598811811.06,0.557958257214184,0.4550918284988048,1014865988118.1106,0.292750288427013,0.864103157226796,0.1193278279438919,0.0766949917997511,4450996417142.991,0.5001021696381021,0.3214282239132576,44509964171.42991,0.6973677845550854,0.5891740295212597,15,2.0,0.0,30.0,2.0,0.4757791405890023,0.7049145980724929,0.1704467353951889,0.358344345,0.3204528299999999,0.0350375079999999,0.6,0.3333333333333333,C2,C2,C2
plain,no_discretization,cloud,0,0.3329540179800997,0.2772094293691514,25864503183608.004,0.7012510909437651,0.5838446279889458,258645031836.08005,0.5886287625418061,-0.1404788691367515,0.0823123187678756,0.0536095838325953,2601080255933.712,0.4043785002156578,0.2633696077563431,26010802559.33712,0.3229571413470829,0.7988723939009374,23,2.260869565217391,0.0,52.0,2.260869565217391,0.5048896219286523,0.7753571220683216,0.1175687666370896,1.22222277,1.055347421,0.16385738,0.6521739130434783,0.391304347826087,C2,C2,C2
plain,no_discretization,cloud,0,0.2887666951903886,0.2012254914067328,42988905533991.445,0.6784884424918024,0.4728009584491237,429889055339.9144,0.686262129699015,0.4004256109419587,0.0879425846699257,0.0570190310320581,3343117365296.468,0.4292760570149858,0.2783282400457755,33431173652.964672,0.515426351758209,0.765076243965009,15,2.2666666666666666,0.0,34.0,2.2666666666666666,0.531116172151837,0.8102225280265208,0.1168384879725086,0.379947482,0.350583618,0.026810647,0.5333333333333333,0.3333333333333333,C2,C2,C2
plain,no_discretization,cloud,0,0.2810946558066461,0.2282956615745579,39822124236899.97,0.7391063427898436,0.6002774083945064,398221242368.9997,0.5047115842009067,0.2708716806332112,0.1092337636124559,0.0795236086859916,4515910995938.178,0.5205440958196131,0.378962910466283,45159109959.381775,0.5138911162709161,0.646356238108263,11,2.1818181818181817,0.0,24.0,2.1818181818181817,0.5027071133880127,0.7668250978077181,0.1677600749765698,0.125407872,0.113211114,0.009745383,0.4545454545454545,0.2727272727272727,C2,C2,C2
plain,no_discretization,cloud,0,0.2451484623075626,0.1746555160602664,44920799771026.09,0.6692229984955353,0.4767865442084434,449207997710.2609,0.5711197109704699,0.5307323129628896,0.1187958606430788,0.0669371069114517,4141593757968.9,0.5809039732336743,0.327318066060031,41415937579.689,0.6640567008812625,0.5434208950947754,20,2.5,0.0,50.0,2.5,0.5288844585459817,0.8063092537991057,0.1711340206185567,0.677334256,0.6074567470000001,0.067159361,0.75,0.6,C2,C2,C2
plain,no_discretization,cloud,0,0.5115163113651005,0.4108240609565544,28562434345185.41,0.9720509305675664,0.7807022022164422,285624343451.8541,0.8905880531619916,-1.1621413903975588,0.0970372474838879,0.061940602820922,3188215608140.5405,0.4579604122252901,0.2923242851263108,31882156081.405407,0.5155226802727291,0.72480519210031,24,2.7083333333333335,0.0,65.0,2.7083333333333335,0.5124595131538533,0.7838878990461978,0.1228522336769759,4.205427265,3.544608519,0.6565266940000001,0.7083333333333334,0.4583333333333333,C2,C2,C2
plain,no_discretization,cloud,0,0.2884046178720281,0.2093947296130041,28281174470320.625,0.7862501665225685,0.5708529989635112,282811744703.20624,0.7183333333333333,0.0413756297876565,0.1119503002930726,0.0737958239277009,3207143496635.0464,0.5597995942140072,0.3690108215991231,32071434966.350464,0.5466666666666666,0.593973903096168,7,2.0,0.0,14.0,2.0,0.4963737711744129,0.7611471861471861,0.2371134020618556,0.564882615,0.485493724,0.077130464,0.7142857142857143,0.7142857142857143,C2,C2,C2
plain,no_discretization,cloud,0,0.3687806849321259,0.338350706202867,36470796674190.42,0.692519454147351,0.6353761353122541,364707966741.9042,0.5480816315319728,-1.0455652429853468,0.103930606500266,0.0656029563864469,3721509864713.925,0.5100250093653516,0.3219373923821633,37215098647.13925,0.5619884202958365,0.6825018380762687,20,1.9,0.0,38.0,1.9,0.5257906571400477,0.7814129414427451,0.1841836734693877,6.651339088,5.239897025,1.408280609,0.5,0.4,C2,C2,C2
