model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,concrete,0.0,0.2541663952126002,0.2128194867541031,190849559497311.6,0.4993473461459115,0.4181152501687131,1908495594973.116,0.4661482654256639,0.1940433401059977,0.11002435073545,0.0799952660676992,9917338428234.145,0.2410806991053513,0.1752822401569123,99173384282.34145,0.3722786647314949,0.6792866379555551,13,2.5384615384615383,0.6153846153846154,41.0,3.1538461538461537,0.4323845878423557,0.763753644016802,0.1145484949832776,1.4737870693206787,0.746368611,0.130022628,0.6153846153846154,0.2307692307692307,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.25,0.3088569772785923,0.2811277888297686,122596486598015.23,0.6221450250817083,0.5662888265428366,1225964865980.1526,0.50349591276813,0.22205317469667,0.1265476172996326,0.0900381802801502,22982881986896.234,0.2824492685115132,0.2009616514392485,229828819868.96237,0.4869568028636406,0.5357838071664809,16,2.0625,1.0,53.0,3.3125,0.4715381411912618,0.823420902014652,0.1256793478260869,0.9307751655578612,0.5046973090000001,0.091792236,0.3125,0.1875,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.75,0.2738877596766602,0.2456843837996267,170526818924542.47,0.674765235330838,0.6052818178051429,1705268189245.4248,0.4431741921695223,0.4227978522083764,0.1122631438532355,0.0701970705907199,2342806117312.502,0.2474212941310493,0.154710169817358,23428061173.12502,0.5147556845670052,0.6621406136990028,16,2.1875,0.75,59.0,3.6875,0.515548022315365,0.7888592998007959,0.0907258064516128,0.5784282684326172,0.358199228,0.0751312569999999,0.625,0.375,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,1.2727272727272727,0.3110876375968059,0.2716553951822339,147902759085846.3,0.844861824975358,0.7377704710835503,1479027590858.4631,0.5263330030476221,0.0662844545730545,0.1255873097860188,0.0876140615615295,18016179042131.668,0.2782608722673159,0.1941244321144587,180161790421.31668,0.4227068826575529,0.5688425542119044,11,1.3636363636363635,0.7272727272727273,37.0,3.3636363636363638,0.457567736571266,0.7726059472800935,0.1436950146627565,0.3892936706542969,0.220085889,0.079134012,0.7272727272727273,0.2727272727272727,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.0,0.3942145261400624,0.3606307243953304,289736829582011.44,1.083400760650661,0.9911040187927612,2897368295820.1143,0.6433449985676849,-0.7797204672395324,0.1358741069186903,0.0923939454404099,17179825007223.707,0.2592937360405525,0.1763188869760689,171798250072.2371,0.4678510998307953,0.5953185400287022,14,2.5,1.1428571428571428,51.0,3.642857142857143,0.4381540046482897,0.7578079274894843,0.1013824884792626,1.43019700050354,0.606441139,0.107084879,0.5,0.2142857142857142,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.07692307692307693,0.2482464841166399,0.2228549030196948,204977585459208.75,0.598832825216993,0.5375819587682028,2049775854592.0876,0.4551416698177667,0.2136782171557463,0.136995441947769,0.1004188562814933,18965015519643.15,0.2946547781936961,0.2159845276850098,189650155196.4315,0.3916303821964199,0.4932665175579469,13,2.3846153846153846,1.0,45.0,3.4615384615384617,0.4549857760257594,0.7855705697810961,0.1133167907361455,2.982616186141968,0.964828903,0.168232054,0.3846153846153846,0.2307692307692307,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.2777777777777778,0.2224321588619747,0.1676467044133664,152378474367714.1,0.6115077588250285,0.460892260429997,1523784743677.1409,0.4414165846018077,0.3926513725449813,0.1339003559330561,0.0840478767634917,14736250477894.488,0.293535099286881,0.1842489639307414,147362504778.9449,0.5333943743535201,0.5006027247691958,18,2.388888888888889,1.1111111111111112,68.0,3.7777777777777777,0.4824074209620406,0.7881477092261407,0.09557945041816,0.6878950595855713,0.450289057,0.092840229,0.6666666666666666,0.2777777777777778,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.1,0.1888004204621303,0.1471143345869609,131124728562223.4,0.4234863962172691,0.3299829483093232,1311247285622.234,0.3979196903725207,0.5490753462091673,0.1057086934350276,0.0674795611754233,14615025058051.764,0.2290302834496821,0.1462023843154062,146150250580.51764,0.5532172230285439,0.6651691524005147,20,2.95,1.05,82.0,4.1,0.4647055040761859,0.7850779857397505,0.0923913043478261,1.8101723194122317,1.088081555,0.20413724,0.7,0.35,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.0,0.2485971058296178,0.1941944315418962,137047129444414.42,0.4501263854947042,0.3516213001009857,1370471294444.1443,0.4987673458391859,0.4350461740245614,0.1119083770303858,0.074353489487186,1910912115880.4675,0.2514421542148441,0.1670616808692749,19109121158.804672,0.4724238026124819,0.6398316640815254,15,2.7333333333333334,0.8666666666666667,54.0,3.6,0.483129924243892,0.7785181640971115,0.1025089605734766,1.3595247268676758,0.6371166639999999,0.0935656649999999,0.4666666666666667,0.2,C2,C2,C2
at_least_M-of-N,no_discretization,concrete,0.13333333333333333,0.288900860048171,0.2141049931208186,329023169167862.75,0.5434768654371532,0.4027717692371834,3290231691678.6274,0.7305781960905977,-0.1260893809930043,0.1259271943052943,0.0823899572508633,15363389530112.61,0.2820355410520917,0.1845264344901633,153633895301.1261,0.4046927914852443,0.5794185320252958,15,2.4,0.8666666666666667,51.0,3.4,0.4853648519424485,0.8192588308377782,0.1283154121863799,1.3388574123382568,0.6606801669999999,0.109074421,0.6,0.2666666666666666,C2,C2,C2
