model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
complex,no_discretization,concrete,0,0.2499780312146346,0.1902965732647794,186192696243459.28,0.4911186877297278,0.3738656668634132,1861926962434.5928,0.5597484276729561,0.2203869215474883,0.0936534542747626,0.0530068796427785,1574900481795.5945,0.2052094838939699,0.1161464304606605,15749004817.955944,0.5147556845670052,0.767626271527786,26,0.5769230769230769,2.5384615384615383,81.0,3.1153846153846154,0.5225531290653597,0.7852514315749611,0.072324414715719,9.890552301,9.461588970000005,0.413244348,0.7692307692307693,0.5,C2,C2,C2
complex,no_discretization,concrete,0,0.3035214925547778,0.2729265542600614,117787871545833.56,0.6113975091713699,0.5497686969604343,1177878715458.3354,0.5645072669376117,0.2486989814169167,0.1030074535420277,0.071124298823747,10825721347374.053,0.2299085555699663,0.1587466173195182,108257213473.74052,0.4184036603965428,0.6924259844129443,19,0.42105263157894735,2.8947368421052633,63.0,3.3157894736842106,0.4675609649574322,0.7743832921464501,0.0903890160183066,10.005240923,9.442640753,0.5462532349999999,0.4210526315789473,0.2105263157894736,C2,C2,C2
complex,no_discretization,concrete,0,0.2451284541171029,0.2316497237882708,167880216735941.25,0.6039121982810779,0.5707052428003642,1678802167359.4126,0.3727689639986047,0.5376507643765169,0.1040194462369271,0.0709547144848778,1557966068012.8818,0.2292526747369712,0.1563799719122298,15579660680.12882,0.4658925979680695,0.7099381160850278,14,0.6428571428571429,2.5714285714285716,45.0,3.2142857142857144,0.5172726169983897,0.7925452232174921,0.1213517665130568,5.804193913,5.494732074,0.2954094049999999,0.7142857142857143,0.4285714285714285,C2,C2,C2
complex,no_discretization,concrete,0,0.2413219233381024,0.2089349760159999,137047129444417.22,0.6553898513390686,0.5674323367579323,1370471294444.172,0.3906074747093446,0.4381212085503249,0.0763239143601062,0.0554138339788237,1557966068012.776,0.1691091163660186,0.1227791391096452,15579660680.127762,0.3105950653120466,0.8407550581408628,14,0.35714285714285715,2.857142857142857,45.0,3.2142857142857144,0.5217680245358418,0.7619526307026308,0.1059907834101382,7.365504816,7.0255946300000005,0.3237064109999999,1.0,0.8571428571428571,C2,C2,C2
complex,no_discretization,concrete,0,0.3408847551031986,0.3158514156157954,117225675579893.95,0.9368371241647347,0.8680392051538992,1172256755798.9397,0.4867456288776085,-0.3307660326786581,0.1020186397853889,0.0654643853327999,1816309003148.5425,0.1946860579665757,0.1249281812074608,18163090031.485424,0.4529046813310774,0.7718613009859694,18,0.8333333333333334,3.2222222222222223,73.0,4.055555555555555,0.5285838303583803,0.769338377671711,0.0794504181600955,8.771676687,8.4323414,0.3244295239999999,0.8333333333333334,0.5,C2,C2,C2
complex,no_discretization,concrete,0,0.2491758527031897,0.1980437050544592,164289643773321.94,0.6010746955030191,0.4777311220991158,1642896437733.2195,0.5403967102080312,0.2077796386173878,0.1277964125750884,0.0790312192508542,18016179042131.688,0.2748691713087756,0.1699832202272555,180161790421.3169,0.5568456700532172,0.5590344202524211,21,1.2380952380952381,2.8095238095238093,85.0,4.0476190476190474,0.5110250779116847,0.8096952456196153,0.0865335381464413,11.474448093,10.808818228,0.6505060590000001,0.6190476190476191,0.238095238095238,C2,C2,C2
complex,no_discretization,concrete,0,0.2663629047082819,0.2466224266974511,179249397186195.44,0.7322816256679837,0.6780113460092384,1792493971861.9543,0.4305555728889609,0.1290556926465089,0.1261201886207115,0.0784319185293002,14736250477894.586,0.2764794897734949,0.1719377131773188,147362504778.94586,0.6245766811804546,0.5569508285267415,15,0.4,2.8666666666666667,49.0,3.2666666666666666,0.5241043472852192,0.8151358789129689,0.1089605734767024,6.637052641,6.222637795,0.4054376540000001,0.7333333333333333,0.4,C2,C2,C2
complex,no_discretization,concrete,0,0.2160282223063121,0.1706348514359579,80609291019991.78,0.4845593729176747,0.3827403462704533,806092910199.9178,0.5532172230285439,0.4096371102101346,0.0853259007249224,0.0544566437065432,1267025199640.077,0.1848685722394228,0.1179867060933245,12670251996.400766,0.3981615868408321,0.7818446764506872,24,0.625,2.5416666666666665,76.0,3.1666666666666665,0.4906006389754973,0.7909992784992789,0.0738224637681159,8.346621412,7.799695861000001,0.5249675549999999,0.75,0.3333333333333333,C2,C2,C2
complex,no_discretization,concrete,0,0.2664035040155237,0.2124570759211318,123443641347590.48,0.4823678294461662,0.3846888536292823,1234436413475.9048,0.4627054597748868,0.351215175004695,0.1050066531272253,0.0654556733386631,1557966068012.7998,0.2359349654586748,0.147069557673844,15579660680.127998,0.4758103531688438,0.6828870574959507,20,0.75,2.85,72.0,3.6,0.5241855582785798,0.7696336996336995,0.0908602150537634,11.997815707,11.518316364,0.463973241,0.7,0.4,C2,C2,C2
complex,no_discretization,concrete,0,0.241365655524452,0.2046975073217324,210087392095433.84,0.4540542034618404,0.3850745187240509,2100873920954.3384,0.4664877197756069,0.2139934947167235,0.0981884360697096,0.0637739191171751,2342806117312.5376,0.2199098363522818,0.1428326254900814,23428061173.125378,0.3902740748010913,0.7442993903971654,21,0.7142857142857143,2.5714285714285716,69.0,3.2857142857142856,0.4430668539719815,0.7108815212969016,0.0972862263184843,11.589182703,10.949924477,0.6241891540000001,0.7619047619047619,0.3809523809523809,C2,C2,C2
