model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
exact_M-of-N,no_discretization,concrete,0.55,0.2322022190858848,0.1995097907229134,173711882824622.44,0.456195484744318,0.3919663905382962,1737118828246.2244,0.4242896503183418,0.3273205489210248,0.1007206044142844,0.0639946280896786,14896427113523.688,0.2206947240697107,0.1402223196566957,148964271135.23688,0.3330951705966658,0.731232920472201,20,2.4,1.2,83.0,4.15,0.5055983774311426,0.7904081225791754,0.0880434782608695,1.9985220432281492,1.130605773,0.2674308969999999,0.6,0.3,C2,C2,C2
exact_M-of-N,no_discretization,concrete,1.0,0.2955445973801052,0.267904415417043,141737533360554.94,0.5953292769033182,0.5396523682830504,1417375333605.5493,0.5678698525673616,0.2876701744695261,0.1215301652514018,0.0844468597072249,19577423569319.21,0.27125051431088,0.1884820454258312,195774235693.1921,0.4560244026436197,0.5718652123307864,19,1.8421052631578947,0.7368421052631579,68.0,3.5789473684210527,0.4347112854830754,0.7732109879963065,0.0955377574370709,0.9595236778259276,0.591668552,0.1037620839999999,0.4210526315789473,0.1578947368421052,C2,C2,C2
exact_M-of-N,no_discretization,concrete,1.0714285714285714,0.3017611212684872,0.2895737588804281,198271681708136.2,0.7434356111671826,0.7134101421226755,1982716817081.3616,0.440251572327044,0.2993368765377434,0.1331243140554625,0.0864766844516168,14736250477894.53,0.293398072897114,0.1905894708164701,147362504778.94528,0.5568456700532172,0.5249094909567698,14,2.2857142857142856,0.35714285714285715,52.0,3.7142857142857144,0.4632861827720887,0.7683804290947148,0.1159754224270353,0.4917120933532715,0.295466482,0.061047725,0.6428571428571429,0.4285714285714285,C2,C2,C2
exact_M-of-N,no_discretization,concrete,1.7777777777777777,0.2464597583821424,0.2059417165362402,142189570099167.88,0.6693433492191609,0.559303146262834,1421895700991.6787,0.4250225583111871,0.413941295937914,0.1193708122377791,0.0719648548791273,2342806117312.554,0.2644871236842135,0.159450849973427,23428061173.12554,0.6279632317368167,0.6104702129935897,18,1.6111111111111112,0.3333333333333333,67.0,3.7222222222222223,0.4776850208375955,0.7692440275773609,0.0925925925925925,0.561671257019043,0.40030691,0.072162665,0.6111111111111112,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,concrete,0.2,0.3453311176639556,0.2981961220067951,324785346645706.1,0.9490568478456964,0.8195180136270662,3247853466457.061,0.7211683398138482,-0.3657083883903163,0.1428658729475415,0.0956959200613737,17179825007223.738,0.2726363895913658,0.1826201709748896,171798250072.2374,0.4303440496333898,0.5525990505403683,15,2.7333333333333334,1.2,62.0,4.133333333333334,0.4896491697311739,0.8008520037467407,0.1125448028673834,1.3599894046783447,0.5664183730000001,0.1006769229999999,0.6,0.2666666666666666,C2,C2,C2
exact_M-of-N,no_discretization,concrete,0.3333333333333333,0.2901489659150311,0.241254225567898,173433251252391.16,0.6999121281051028,0.5819657426627707,1734332512523.9116,0.6138812797295661,-0.07417773972614,0.1162957436562061,0.0840378827099859,10323857797518.328,0.2501331143919011,0.1807517340556455,103238577975.18327,0.3884857281083696,0.6348300718391958,21,3.380952380952381,0.7619047619047619,94.0,4.476190476190476,0.4363109563633393,0.7669861884147599,0.0819252432155657,3.1267192363739014,0.973771462,0.1861034459999999,0.0476190476190476,0.0476190476190476,C2,C2,C2
exact_M-of-N,no_discretization,concrete,0.9375,0.2125398654231674,0.1813738629089546,137047129444414.9,0.5843119872182875,0.4986307959440183,1370471294444.1492,0.3884526744665877,0.4454717154875888,0.1067361662032338,0.071907242526696,11280611454858.855,0.2339860183764651,0.1576343798897161,112806114548.58858,0.3756652152878567,0.6826738192629658,16,1.875,0.9375,60.0,3.75,0.5072244151608967,0.7651240024595287,0.1249999999999999,0.5858972072601318,0.366596823,0.068924506,0.75,0.375,C2,C2,C2
exact_M-of-N,no_discretization,concrete,0.08333333333333333,0.2175422421985002,0.1740914160069639,138805076676593.02,0.487955376095923,0.3904935497319954,1388050766765.9302,0.410982099661345,0.4013330720320901,0.1194656824856004,0.0861125737152804,14118582777771.707,0.2588364138565766,0.1865729915460019,141185827777.7171,0.3806859211901046,0.572348116334213,12,2.0,1.0,37.0,3.0833333333333335,0.4451242357118355,0.7835091107149931,0.1204710144927536,1.0972521305084229,0.510133256,0.084688321,0.6666666666666666,0.3333333333333333,C2,C2,C2
exact_M-of-N,no_discretization,concrete,0.35714285714285715,0.2324094452669014,0.1865721132083195,132776278781066.58,0.4208159350999009,0.337819825666547,1327762787810.6658,0.3900489051318936,0.5062258321920495,0.117293791253985,0.076769847962854,8262720466996.626,0.263542411493648,0.1724908935573678,82627204669.96626,0.4726656990807934,0.6043324964995634,14,2.4285714285714284,1.2142857142857142,56.0,4.0,0.4999353324568064,0.7772161172161173,0.1175115207373271,1.156590461730957,0.5112156,0.101389936,0.5714285714285714,0.3571428571428571,C2,C2,C2
exact_M-of-N,no_discretization,concrete,0.6190476190476191,0.3029962045610968,0.2150142925478397,279521922215978.7,0.5699928600654296,0.404482332515738,2795219222159.787,0.6206633478633228,-0.2386527479337203,0.1226561815159125,0.0735710179584063,17231338992831.977,0.2747095471162226,0.1647749079944356,172313389928.31976,0.5824866956942429,0.6009843235066094,21,2.3333333333333335,1.0476190476190477,84.0,4.0,0.4972283334720495,0.7971463304170072,0.1121351766513056,1.6371655464172363,0.8878726830000001,0.1741847179999999,0.5238095238095238,0.238095238095238,C2,C2,C2
