model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
plain,no_discretization,concrete,0,0.2871431197041306,0.217728844293869,161628064209628.94,0.5641349820001977,0.4277604066683083,1616280642096.2893,0.6245766811804547,-0.0286609618495992,0.1296525980126936,0.094737535324362,6587569450281.319,0.2840892835158015,0.2075848763918787,65875694502.8132,0.417513304305757,0.5546495729706091,13,3.5384615384615383,0.0,46.0,3.5384615384615383,0.4157613800424811,0.7272441326789152,0.1028428093645485,4.796665266,3.891421003000001,0.9005036580000001,0.3076923076923077,0.0769230769230769,C2,C2,C2
plain,no_discretization,concrete,0,0.3558305888535664,0.2910200641886299,158446784432562.97,0.7167661633476895,0.5862152985153399,1584467844325.6296,0.5678698525673616,-0.0325750759538636,0.1506206884060594,0.0955972628978717,20978609388153.816,0.3361794095440116,0.2133693036137875,209786093881.53815,0.8162175902389426,0.3423700300303512,21,3.4285714285714284,0.0,72.0,3.4285714285714284,0.3593892770751492,0.6846284667713239,0.0817805383022774,7.533977309,6.122968379999999,1.405841099,0.0,0.0,C2,C2,C2
plain,no_discretization,concrete,0,0.3556743212780164,0.3316204077578898,177087732581005.2,0.8762591923845967,0.8169986228863572,1770877325810.0518,0.6052249637155298,0.0266081311728108,0.1362318671424567,0.0885025976133827,1557966068013.0835,0.3002469351325258,0.195054462968628,15579660680.130836,0.56966618287373,0.5024703053311046,26,2.8846153846153846,0.0,75.0,2.8846153846153846,0.3740475128119807,0.7052702639241102,0.0665839536807278,11.993215593,9.852310016000002,2.135428554,0.3461538461538461,0.1153846153846153,C2,C2,C2
plain,no_discretization,concrete,0,0.3045824742316679,0.2618547133319077,187903575541062.53,0.8271948928050848,0.7111534636767779,1879035755410.6248,0.5667337070778851,0.1049260778445979,0.1422952631044457,0.1012866442717617,8049781216510.229,0.315280294628608,0.2244184546361498,80497812165.10228,0.44008176434164,0.4464902676070295,19,3.3684210526315788,0.0,64.0,3.3684210526315788,0.3835159559189582,0.7076657260867786,0.1120543293718166,9.401045077,7.649823039,1.7465054279999996,0.3157894736842105,0.2105263157894736,C2,C2,C2
plain,no_discretization,concrete,0,0.3134234273541344,0.2517754077473645,205621201260939.44,0.8613664821690548,0.6919422045084913,2056212012609.3943,0.5926083695986384,-0.1249920651423721,0.1788814248574735,0.1155269818650064,1816309003148.656,0.3413662397597804,0.2204645419247729,18163090031.48656,0.6943034404963339,0.2985925182106542,20,3.65,0.0,73.0,3.65,0.3994333429890295,0.7213537430376515,0.0838709677419354,7.845010529,6.4851813730000005,1.3552183829999995,0.25,0.15,C2,C2,C2
plain,no_discretization,concrete,0,0.2914660740708807,0.2333153952907428,206986920464537.3,0.7030893235481336,0.5628152915266599,2069869204645.373,0.612105755781658,-0.0839521634408513,0.1671444249089068,0.1050937578345881,1557966068013.073,0.3595003070731645,0.2260394759418261,15579660680.13073,0.5986937590711177,0.2456877574630964,22,3.409090909090909,0.0,75.0,3.409090909090909,0.4122844874894169,0.7309427149140068,0.0918866080156402,10.206456145,8.180060334,2.021694175,0.4545454545454545,0.2272727272727272,C2,C2,C2
plain,no_discretization,concrete,0,0.2278719742287757,0.1846696183275493,173433251252391.3,0.6264628324096831,0.5076914462563272,1734332512523.913,0.4105148224779998,0.362581402670142,0.1180759800290325,0.0754292593884201,1557966068013.0298,0.2588450514541272,0.1653553120858418,15579660680.1303,0.5341074020319304,0.6116656359388492,22,3.3181818181818183,0.0,73.0,3.3181818181818183,0.4259941733523104,0.7388888888888889,0.0674486803519061,9.968523802,8.311575228,1.651156873,0.3636363636363636,0.1363636363636363,C2,C2,C2
plain,no_discretization,concrete,0,0.2395231593213832,0.1844601874930968,13171894938652.738,0.5372593943557091,0.4137510915272669,131718949386.5274,0.5532172230285439,0.2742398989284155,0.1506925343874063,0.1058758543009669,1574900481795.7915,0.3264930512617836,0.2293924570729073,15749004817.957914,0.5534591194968552,0.3195636185072155,15,2.8666666666666667,0.0,43.0,2.8666666666666667,0.3116783057509557,0.6479526499865482,0.0905797101449275,4.001226723,3.380749538,0.6142508959999999,0.0,0.0,C2,C2,C2
plain,no_discretization,concrete,0,0.3666787674718444,0.3030885618730271,165943129461800.88,0.6639328631318692,0.548792225015677,1659431294618.0088,0.6052249637155298,-0.2291145033703019,0.1337909281495895,0.0984640827350695,1557966068013.0034,0.3006091240086697,0.2212347433916598,15579660680.130032,0.4123621726517567,0.4852057732874215,16,2.875,0.0,46.0,2.875,0.3627932297145343,0.6871388953835763,0.1014784946236559,4.322490362,3.604584418,0.7131513619999998,0.3125,0.1875,C2,C2,C2
plain,no_discretization,concrete,0,0.2246405650600002,0.1959585611720523,180732263710877.2,0.4225911619940597,0.3686349170563361,1807322637108.772,0.4013062409288824,0.3191498156406414,0.1677879222559622,0.1140590709609484,1557966068013.0632,0.3757898180494685,0.2554548441092169,15579660680.130632,0.5986937590711177,0.2533235220028298,10,2.8,0.0,28.0,2.8,0.3573034392520527,0.6261111111111111,0.1129032258064516,1.353510378,1.095918082,0.253346623,0.0,0.0,C2,C2,C2
