model_type,variant,dataset,M-of-N count,RMSE (test),MAE (test),MAPE (test),rRMSE (test),rMAE (test),rMAPE (test),maxError (test),R2 (test),RMSE (train),MAE (train),MAPE (train),rRMSE (train),rMAE (train),rMAPE (train),maxError (train),R2 (train),rules,plain conditions count,complex conditions count,conditions_count,avg conditions per rule,avg rule quality,avg rule precision,avg rule coverage,training time total (s),training time growing (s),training time pruning (s),pvalue significance fdr,pvalue significance fwer,induction measure,pruning measure,voting measure
at_least_M-of-N,no_discretization,cpu,0.14285714285714285,0.2243738477555264,0.1292267498087685,2020001813353.6396,1.2936979324154445,0.7450974376591715,20200018133.536392,0.7989036800939353,0.1014939084979118,0.1054223262348361,0.0301474187193559,484401726311.6373,1.5077832133129172,0.4311778490687478,4844017263.116373,0.8053965658217498,0.3466155948383074,14,1.9285714285714286,0.8571428571428571,41.0,2.9285714285714284,0.6458246124061623,0.8773459685777959,0.2796352583586626,14.34106969833374,2.089184711,1.412745732,0.7857142857142857,0.7857142857142857,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.09090909090909091,0.1740328407090159,0.0888396908965135,2315166473906.031,1.426860871250207,0.7283790705120138,23151664739.060307,0.7222635774269017,0.3043440552605386,0.060620304950157,0.0257439483599689,258609021021.87912,0.8301407382584819,0.3525402967669744,2586090210.218791,0.4471085718032108,0.7864103394203401,11,1.7272727272727273,0.6363636363636364,27.0,2.4545454545454546,0.6562243593988917,0.8811441328317291,0.1943907156673114,6.115941762924194,0.941513923,0.4945273189999999,0.6363636363636364,0.6363636363636364,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.06666666666666667,0.201106367070192,0.1064092125428566,3421855263323.119,1.4199858266173564,0.7513415703026051,34218552633.23119,0.755317754159059,0.1801483641850435,0.05485843555861,0.0235130263824201,393551335507.2103,0.750387943207678,0.3216258598341104,3935513355.072103,0.4157051550346267,0.8265002844802611,15,2.4,0.7333333333333333,48.0,3.2,0.6454999266771818,0.8414971367466763,0.1670212765957446,23.31189250946045,3.150214221,2.4739938679999995,0.6666666666666666,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.15384615384615385,0.232781799218871,0.0964964921364883,1919946781474.1816,1.9187659949727696,0.795398043863221,19199467814.741817,0.9787408013082584,-0.1695066005132264,0.0953559829294315,0.0325330966470817,511777120971.1703,1.3666449272190786,0.4662653578052453,5117771209.711703,0.9754701553556828,0.4488153154700733,13,1.3076923076923077,1.0769230769230769,33.0,2.5384615384615383,0.6702756957592892,0.8489363277119791,0.2478632478632478,9.013782262802124,1.123306689,0.390662309,0.8461538461538461,0.8461538461538461,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.08333333333333333,0.1561087371206169,0.0524975618211022,5094491277692.277,1.6734334079624296,0.5627562903165859,50944912776.922775,0.6955343701364338,0.465617054996356,0.1115309846517221,0.0317355390491261,670713024623.6993,1.3308736874035314,0.3786929166629315,6707130246.236994,0.9813084112149532,0.3858971121785562,12,1.8333333333333333,1.25,38.0,3.1666666666666665,0.7256174075867068,0.8864081141509202,0.2624113475177305,10.816605567932127,1.0889724040000002,0.568369684,0.75,0.75,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.0,0.2257811363703722,0.0870440736470557,1987705330388.3213,1.8654363560333729,0.7191707073885184,19877053303.883217,0.9885527391659852,-0.0477315641020987,0.0924028959334487,0.0313516497054481,463921060778.4611,1.39452861467688,0.473153705735179,4639210607.784611,0.7759607522485691,0.4194284962201937,11,1.8181818181818181,1.1818181818181819,33.0,3.0,0.6517992134916819,0.8929556840462873,0.2780464216634429,9.646141290664673,1.074992711,0.478709498,0.9090909090909092,0.7272727272727273,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.0,0.199735735469426,0.1101267074265314,1829930469189.7317,1.1398469553964208,0.6284683703341561,18299304691.89732,0.7334423548650859,0.2258840360447865,0.0817012055788134,0.0257644453487213,204368802520.57025,1.2587153572435736,0.3969354283274858,2043688025.2057023,0.7334423548650859,0.5687692580174366,19,2.5789473684210527,2.1578947368421053,90.0,4.7368421052631575,0.5855939542067917,0.8612885810477768,0.1531354983202687,23.14342141151428,3.2900716,2.662062237,0.8421052631578947,0.8421052631578947,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.058823529411764705,0.2810351665799181,0.1786312440807102,2361194640386.654,1.1174705278723644,0.7102853107196594,23611946403.86654,0.7170891251022077,0.1226347546217301,0.1029686744810806,0.0334555763105096,457047412093.5661,1.5214298252932317,0.4943281233608135,4570474120.935661,0.9762878168438268,0.3701296274623792,17,2.176470588235294,1.1176470588235294,57.0,3.3529411764705883,0.605024497707585,0.8573700006071222,0.2453066332916145,9.058045148849487,1.825547699,1.1245101489999998,0.8823529411764706,0.8823529411764706,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.16666666666666666,0.1631959597178555,0.0546744929360367,5557441724924.128,1.5182420617960166,0.5086468747533456,55574417249.24128,0.7334423548650859,0.4326710238496958,0.0916368131031631,0.0314390820387292,761566677411.3005,1.3685938691738668,0.4695420265458132,7615666774.113006,0.98119378577269,0.4186646046955097,6,1.6666666666666667,1.3333333333333333,19.0,3.1666666666666665,0.7007680134154163,0.8990926243912708,0.3625886524822694,30.640198707580566,0.820661034,0.554118083,0.6666666666666666,0.6666666666666666,C2,C2,C2
at_least_M-of-N,no_discretization,cpu,0.0,0.2108726262611042,0.1088175670095209,2054136225075.1628,1.5054544749575058,0.7768665668612121,20541362250.75163,0.7803914544845232,0.1133807896764975,0.098322296721136,0.0319261951922054,437232872309.7341,1.3672002268709096,0.443943060379356,4372328723.097341,0.7620605069501226,0.437626553535928,16,2.125,1.5625,59.0,3.6875,0.672650103755082,0.8792936798487996,0.1751994680851064,21.448627948760983,2.882001834,2.6422067240000007,0.75,0.75,C2,C2,C2
